time,frequency,confidence
0.0,1323.7624633247199,0.4306191
0.01,1324.5084224532256,0.38997504
0.02,1313.67683459488,0.20605625
0.03,1315.3289844756432,0.034675486
0.04,1310.7109100307835,0.20311654
0.05,1311.5770847679046,0.30718344
0.06,1314.4689484792616,0.17681171
0.07,327.99005310830177,0.15599278
0.08,326.8311450390356,0.83843607
0.09,325.79867078006026,0.70554763
0.1,327.2371190475598,0.931016
0.11,325.7094297262065,0.6963605
0.12,319.82068084844104,0.15599321
0.13,321.96118054379076,0.32656556
0.14,319.44063343734973,0.040847182
0.15,322.4353368572836,0.10724267
0.16,325.80534877280957,0.11244527
0.17,329.08583980599235,0.7069481
0.18,327.1033958727587,0.60441965
0.19,328.377748502655,0.38210794
0.2,200.40990841334985,0.36913604
0.21,200.850795118876,0.64576435
0.22,202.29793881324693,0.46986285
0.23,206.53528233370486,0.4718742
0.24,208.9461426880555,0.31061623
0.25,636.37610183583,0.111470014
0.26,652.31494264244,0.272468
0.27,661.9799545709178,0.20468323
0.28,667.3849984845891,0.3064333
0.29,661.1660106846041,0.5167978
0.3,656.1265396357522,0.06831017
0.31,1307.8896100515449,0.08288357
0.32,1315.1366239476588,0.42488706
0.33,1306.7389334766285,0.1566659
0.34,1298.8520958867448,0.14415666
0.35,1310.3568205228426,0.045768328
0.36,1318.3012296176876,0.19260229
0.37,1315.328337248729,0.40068
0.38,1317.9299923935687,0.17566039
0.39,1321.6909098224787,0.0314065
0.4,1313.258434642195,0.09856384
0.41,1321.2353513234857,0.18859163
0.42,1316.4770629217178,0.19436912
0.43,1312.6788501831306,0.37078753
0.44,1321.374441168314,0.31447944
0.45,1325.7840463995267,0.12362723
0.46,698.1063449670951,0.09072974
0.47,703.0368491666086,0.14698225
0.48,697.859410959572,0.31325057
0.49,692.3910344180324,0.063760936
0.5,1314.4230527522345,0.061844744
0.51,1307.2910744894516,0.239377
0.52,1312.945222909257,0.19942544
0.53,1311.3882867966904,0.08512113
0.54,1318.5605553276807,0.31003928
0.55,1313.698209947662,0.31034148
0.56,1325.1645505961733,0.14554605
0.57,601.3777274744168,0.13875526
0.58,599.044189273343,0.099390544
0.59,603.104424745013,0.11990619
0.6,437.28717865537715,0.20184584
0.61,439.60946082447145,0.15157492
0.62,446.45859883673427,0.04484864
0.63,450.2435648209163,0.08540114
0.64,444.3016566145668,0.09419115
0.65,436.0581848573679,0.29361317
0.66,445.3042238536565,0.15048088
0.67,439.91842573869377,0.17248543
0.68,1311.7748756908186,0.19115233
0.69,1317.729808444903,0.27522597
0.7,1318.2608669474835,0.10570686
0.71,683.1415551801966,0.20485729
0.72,702.5220330487596,0.03678728
0.73,710.2632086539666,0.09252157
0.74,706.909171591331,0.032854687
0.75,724.6796018006797,0.018240217
0.76,700.7170454838308,0.002323651
0.77,679.6868730584765,0.05987787
0.78,694.2900021836542,0.044751532
0.79,701.0847029751579,0.07038312
0.8,735.1980890320585,0.10654408
0.81,1331.7434623078143,0.117156506
0.82,1315.342394388234,0.17474622
0.83,1311.4652340868472,0.11104845
0.84,1315.7032190322861,0.41367134
0.85,1318.6131662299315,0.3262099
0.86,1308.5292934626768,0.23670812
0.87,1305.4469573092829,0.042785797
0.88,1331.962217258291,0.0062755174
0.89,1321.2493755945331,0.0037429393
0.9,1311.997714742039,0.01769922
0.91,1323.2334955103515,0.0011454081
0.92,1349.407783870896,0.008986384
0.93,1304.0601685715865,0.025820564
0.94,1290.1470041617765,0.064313315
0.95,1305.7217885002196,0.10397395
0.96,1316.3742779924155,0.29171613
0.97,1332.5938337252671,0.19732307
0.98,1339.4214986907705,0.07099101
0.99,1283.6541467992618,0.029874507
1.0,1282.8486847116299,0.03313864
1.01,1323.3234482750956,0.122347146
1.02,1317.076128112879,0.2305641
1.03,1315.1588471087405,0.15917858
1.04,1327.335121527184,0.17935148
1.05,1329.2611470903696,0.08225236
1.06,1342.4922849468785,0.07912208
1.07,1333.6564425091324,0.008208346
1.08,1320.7562646204724,0.014764106
1.09,1323.5544433246673,0.17348006
1.1,1311.272948761345,0.1081491
1.11,514.978947634511,0.17106521
1.12,520.4943596747829,0.18497843
1.13,521.5584500716468,0.40711585
1.14,312.7932268628314,0.11456788
