time,frequency,confidence
0.0,1013.2914922717055,0.028870277
0.01,1029.5050622031615,0.07545786
0.02,1022.9803270497523,0.13629083
0.03,1023.2705186911901,0.11189833
0.04,1031.631542135131,0.17349887
0.05,1020.7761515353689,0.07244775
0.06,1062.389380636369,0.15937045
0.07,1060.328623898583,0.043139264
0.08,1053.2983165672367,0.1263882
0.09,390.44048911932475,0.075728245
0.1,389.5133354296635,0.045544587
0.11,390.25229333460584,0.4329588
0.12,392.0911750866537,0.05927526
0.13,387.1916106361442,0.728117
0.14,267.51608649447553,0.0337781
0.15,267.18584800900425,0.11967062
0.16,267.6462553962288,0.091426164
0.17,264.9107488707251,0.021659032
0.18,259.1461640727642,0.01964494
0.19,258.7128771636514,0.030374508
0.2,262.95333989663266,0.029791474
0.21,260.1869516682313,0.051255535
0.22,264.31410174851453,0.08026498
0.23,262.3982632809811,0.026857128
0.24,261.66550307231034,0.041209158
0.25,261.38575863671485,0.01460798
0.26,263.29865452406534,0.025295852
0.27,259.8054918263121,0.0926012
0.28,256.85267065223275,0.021875424
0.29,261.0207572689552,0.03145385
0.3,264.7232835832723,0.031482328
0.31,266.4503959581137,0.16953517
0.32,264.19525600040987,0.1929809
0.33,263.8057884070001,0.2295046
0.34,269.9323278986345,0.22703402
0.35,265.45340341068095,0.32722527
0.36,262.21021180676365,0.083573945
0.37,258.5574667157506,0.00077024254
0.38,258.89986630253503,0.016237425
0.39,258.94432158158656,0.043161735
0.4,259.2734634654074,0.41391596
0.41,263.5570471812732,0.33666474
0.42,264.27632960232427,0.12779349
0.43,265.26099756889465,0.5217722
0.44,263.47125955385604,0.13112989
0.45,265.31178561445915,0.38002175
0.46,631.6496352622162,0.21136618
0.47,610.158551474488,0.19874349
0.48,617.9869652933551,0.105621085
0.49,711.3905805644251,0.04661703
0.5,719.3050742927777,0.0036846043
0.51,707.5993957913704,0.17809422
0.52,708.9949735274912,0.0953574
0.53,698.4910857505101,0.6055265
0.54,694.073444326609,0.5150317
0.55,675.4652302809473,0.075475015
0.56,676.2480456300516,0.0065985993
0.57,704.9526576860465,0.22721247
0.58,699.4582039818982,0.7648961
0.59,695.330071753737,0.53967917
0.6,688.5163453722339,0.436926
0.61,684.6873114515381,0.29822892
0.62,683.9030577829884,0.3466286
0.63,1218.3444333208456,0.117416725
0.64,1215.292080534681,0.4604587
0.65,1247.7483670454515,0.10194503
0.66,1309.0426450163998,0.10825225
0.67,1319.7576057462559,0.22326188
0.68,1334.479847853584,0.050787196
0.69,1317.8631111962231,0.06480165
0.7,724.4413079587265,0.00058899797
0.71,726.8204868911881,0.017441504
0.72,723.8084368762409,0.01904902
0.73,710.6303615136152,0.1964519
0.74,704.3726331017335,0.14534266
0.75,711.0672776992084,0.09051636
0.76,1036.8853170363902,0.0460003
0.77,1038.0195014955182,0.039473735
0.78,1018.5028272869346,0.041049827
0.79,978.8265030494978,0.031056162
0.8,986.9522042095792,0.061469052
0.81,979.0210296664004,0.062559776
0.82,1213.7010221847677,0.43886086
0.83,1227.3305264870557,0.18923467
0.84,1240.6166292134913,0.076406
0.85,1315.2117733066802,0.055234987
0.86,1305.4017394771663,0.15900593
0.87,774.2298297172547,0.20488988
0.88,303.19615544373846,0.29720137
0.89,297.0185706523575,0.013199871
0.9,292.42171061358914,0.04059518
0.91,289.2800681734173,0.15737718
0.92,280.01157208861196,0.08396392
0.93,267.3694161968071,0.15284279
0.94,264.17894994593263,0.18230878
0.95,260.5733271115436,0.36636907
0.96,259.2689951774245,0.14834715
0.97,256.4038779611547,0.046602294
0.98,261.9926542601736,0.1445159
0.99,261.65938387143126,0.23627853
1.0,264.9558782097143,0.068055324
1.01,260.1950043127506,0.16713633
1.02,260.9254557595613,0.0022826446
1.03,259.9974837830653,6.6535256e-05
1.04,261.7869110353664,5.2239364e-05
1.05,259.4862326160369,0.0027666797
1.06,265.74116791105797,0.05122263
1.07,259.65809581567447,0.1348679
1.08,269.62073077561627,0.05060895
1.09,264.55599245887834,0.046383467
1.1,263.5145115055085,0.13096869
1.11,261.6406922292711,0.38294318
1.12,261.00158752944014,0.004556858
1.13,256.15334991314904,0.06276089
1.14,252.35962265240207,0.23610047
1.15,246.3156718713928,0.14771444
1.16,236.0003887669625,0.4110658
1.17,231.4877292611773,0.53301805
1.18,228.48270641882402,0.54045546
1.19,291.8121407057872,0.2542159
1.2,294.5356223560264,0.14832541
