time,frequency,confidence
0.0,1301.623951139774,0.09456123
0.01,1318.0696858870006,0.16438311
0.02,1316.422345842508,0.031101242
0.03,1309.4223162283897,0.07471082
0.04,1325.753111145286,0.12419688
0.05,1319.346270787301,0.35407895
0.06,1335.9393892256876,0.19479036
0.07,1332.4714280706191,0.017360749
0.08,1333.9181748480903,0.028849706
0.09,1275.5491168423018,0.042177115
0.1,1308.877721934089,0.14593153
0.11,1318.6949553921227,0.3536684
0.12,1335.3306841642236,0.22323501
0.13,1352.400913290171,0.09002996
0.14,1351.0215390420485,0.00651744
0.15,1397.495046339755,0.003364866
0.16,1319.6447924613651,0.06869265
0.17,1320.80855678268,0.18135138
0.18,1317.8578495431022,0.2923202
0.19,1303.472860728166,0.0654105
0.2,1309.3704006549583,0.028086573
0.21,1327.0831646398667,0.06481946
0.22,1323.412788930822,0.09884162
0.23,1314.8993945280015,0.23032908
0.24,1318.0782839044412,0.3914405
0.25,1319.8661370093814,0.22089148
0.26,1324.701207813644,0.120859355
0.27,1316.479970955308,0.29937604
0.28,1315.3878658696115,0.28862908
0.29,1052.4424017563322,0.054639485
0.3,1041.3863400511987,0.073163815
0.31,1040.560145312264,0.060154904
0.32,1053.1534524388233,0.29984665
0.33,1050.715355654671,0.27963722
0.34,435.9615317656494,0.046135087
0.35,441.03726924861013,0.019320857
0.36,428.0358396873124,0.07519258
0.37,419.95332731857724,0.15584968
0.38,401.9007117180735,0.09036797
0.39,393.5566403568464,0.08870887
0.4,391.90488466540927,0.54510844
0.41,401.44757413242735,0.11105465
0.42,402.4321280012737,0.190686
0.43,403.95449319643575,0.22515537
0.44,401.95564657287093,0.041795604
0.45,398.40881016288563,0.02602544
0.46,391.22776261951697,0.013220594
0.47,392.4065082655016,0.1556604
0.48,396.2338676993834,0.5938522
0.49,298.0697853757324,0.15656078
0.5,296.5601886981145,0.5096856
0.51,293.42093852649555,0.7501141
0.52,303.81752587122116,0.6075624
0.53,294.99514749678394,0.4184579
0.54,523.3830593942005,0.08909233
0.55,518.4833825359551,0.14149806
0.56,506.60617672828255,0.028048625
0.57,495.8366329356985,0.23907386
0.58,498.17190332091843,0.68578506
0.59,496.5198969634665,0.9694271
0.6,496.6716580732242,0.9819012
0.61,496.06072648455756,0.9926737
0.62,494.6693587151066,0.9907415
0.63,493.22938954281017,0.93635124
0.64,492.49356515672736,0.8983224
0.65,492.92828261264754,0.9216921
0.66,494.0813723841791,0.9784889
0.67,495.4799845105731,0.99515235
0.68,497.68383257800787,0.9367688
0.69,500.63596560025496,0.9853188
0.7,504.04700289886944,0.9286517
0.71,505.35025039632853,0.95711386
0.72,506.7359933132826,0.9851655
0.73,507.4673956395103,0.98924494
0.74,507.4907271720758,0.98957634
0.75,504.7725371081469,0.9280637
0.76,501.7531547051452,0.9873515
0.77,499.26005724515164,0.9572686
0.78,496.96703092039525,0.9669644
0.79,497.0713394233321,0.96533495
0.8,498.9210137072872,0.94400734
0.81,501.13706730787163,0.9911773
0.82,502.80898959916493,0.9837452
0.83,503.57502673582997,0.96099555
0.84,504.88877843246416,0.9228815
0.85,507.118693612455,0.9499564
0.86,505.72698513960296,0.85217804
0.87,502.48410466468636,0.96021396
0.88,501.0955948206857,0.9674109
0.89,499.7227363094363,0.9472947
0.9,498.20006293202,0.89239573
0.91,500.62443058539037,0.98573387
0.92,502.8056045532203,0.98160535
0.93,503.1906637400583,0.97505945
0.94,503.12099748379785,0.97184336
0.95,503.529635132776,0.9621445
0.96,503.7868578953287,0.94992065
0.97,504.00562162062755,0.9302546
0.98,504.0048731898205,0.93325645
0.99,503.90816887183627,0.92850095
1.0,504.47738298647016,0.9137304
1.01,505.63793836126854,0.9622314
1.02,506.81531269231846,0.98240626
1.03,507.44599078462545,0.98336905
1.04,506.5215188944179,0.97375214
1.05,502.7309187633557,0.9458156
1.06,495.2505315734217,0.84455854
1.07,485.9761584655612,0.8850664
1.08,482.412833606577,0.8398524
1.09,479.169420816161,0.8703587
1.1,479.0928319975615,0.9258436
1.11,480.8848260047457,0.7714844
1.12,483.2975065791195,0.7807752
1.13,966.5528977996694,0.9790385
1.14,969.3489950221729,0.9888524
1.15,969.2878621525022,0.9910165
1.16,970.3256223448925,0.9870862
1.17,971.272462270427,0.9838493
1.18,972.1465690716736,0.9752098
1.19,974.3683832259271,0.9198985
1.2,973.4836873436602,0.92296964
1.21,972.0911859646038,0.911005
1.22,970.0533645931806,0.69390947
1.23,989.0402391220334,0.5388543
1.24,1007.8039459674188,0.74979824
1.25,1004.5797815484751,0.8557143
1.26,993.8091598283456,0.8187554
1.27,1004.3803020481269,0.9282349
1.28,1004.4771659818565,0.91017234
1.29,1003.1644458596772,0.90408444
1.3,1007.026260903111,0.9087596
1.31,1001.6184449244371,0.8965761
1.32,998.4024916055357,0.79108566
