time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,1006.8862156538761,0.043661304
0.06,994.7016648827052,0.18561824
0.07,1010.1192661013646,0.01744672
0.08,1003.712271892163,0.023497518
0.09,1037.006364351089,0.14002685
0.1,1032.5403933899183,0.024210222
0.11,1054.0917630955387,0.062877744
0.12,1055.9652744309578,0.32294685
0.13,1050.5176866897466,0.03353636
0.14,1049.399968156864,0.5059988
0.15,1040.1059806583019,0.08689813
0.16,1052.4420477988522,0.15836203
0.17,1028.168054931866,0.006959085
0.18,1066.5956101201411,0.075141385
0.19,1041.917080035692,0.10953953
0.2,1053.2441516803324,0.12547523
0.21,1044.1913037659529,0.15812768
0.22,1008.0122364140665,0.009787748
0.23,1047.591712244944,0.49867433
0.24,1033.8267806946149,0.12081064
0.25,1045.2364668159053,0.6339447
0.26,1043.7602548109471,0.18321387
0.27,1052.9138563644383,0.029841263
0.28,1050.6441329364534,0.0061832457
0.29,1058.437391240749,0.015221486
0.3,1046.9366187320454,0.051201627
0.31,1052.664890817155,0.10451599
0.32,1039.7359825964522,0.009643161
0.33,1061.230829269701,0.19708623
0.34,1023.6960868213325,0.008214629
0.35,1037.042545128629,0.062441945
0.36,1038.0368613148269,0.26675263
0.37,1045.37490859216,0.6441356
0.38,1038.4455181020458,0.16873498
0.39,1011.9243468038032,0.008251548
0.4,1048.5795148767445,0.01561429
0.41,1050.9447860325922,0.23213018
0.42,1048.3669318002594,0.02019897
0.43,1043.089456406375,0.06928221
0.44,1018.9506938297557,0.046662927
0.45,1056.0912000680285,0.2520062
0.46,1051.4346818177407,0.37196723
0.47,1046.5784296921822,0.1417522
0.48,1045.9130993060528,0.41544554
0.49,1038.8062578815131,0.016770363
0.5,1056.9627097435118,0.032613646
0.51,1045.1357171896484,0.036040068
0.52,1036.5486759455694,0.06861601
0.53,1020.5046225306018,0.037034836
0.54,1063.5019316408868,0.047838807
0.55,1044.6828799142297,0.011842568
0.56,1052.135603644925,0.35741147
0.57,1043.8494766789538,0.092693835
0.58,1027.3792765565727,0.04279823
0.59,1032.345187911895,0.16052948
0.6,1057.7014749839434,0.17728162
0.61,1038.0833931647026,0.023024272
0.62,1057.1068673629939,0.077031896
0.63,1047.4903480154626,0.016054438
0.64,1050.9280363714688,0.029620875
0.65,1041.0226520235203,0.38178483
0.66,1040.4383503514048,0.13196468
0.67,1017.8662638953122,0.08106878
0.68,1065.8858004694098,0.1911179
0.69,1057.0266060831477,0.099770844
0.7,1039.516261392461,0.03885024
0.71,1044.7365313429284,0.17099428
0.72,349.5929336378753,0.25894699
0.73,344.62049062893647,0.3211734
0.74,335.48205379180774,0.25609216
