time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,1320.992659314098,0.58871585
0.34,1335.0377293413826,0.20256552
0.35,1318.2287148870407,0.6348341
0.36,1343.1887534031014,0.037616782
0.37,1427.8788887525443,0.1042412
0.38,1373.9526268359832,0.0104366075
0.39,1405.019876875052,0.05357193
0.4,1407.3275654906772,0.32675183
0.41,1339.0565520753107,0.012016959
0.42,1362.3645463556027,0.0040533193
0.43,1401.4645423603226,0.012528376
0.44,1375.933301491203,0.05701506
0.45,1393.834379523225,0.26619068
0.46,1405.3530746806773,0.11686626
0.47,1412.3410327115741,0.0055875797
0.48,1410.1638582422936,0.059296537
0.49,1348.136425755204,0.11784254
0.5,1327.5303414330156,0.024592068
0.51,695.8126303607578,0.019442532
0.52,671.4562441237349,0.06006984
0.53,681.8588568099417,0.10127928
0.54,670.2996507928092,0.12915829
0.55,678.3871384370284,0.0013321857
0.56,688.572543184757,0.02540495
0.57,703.175959579808,0.05165336
0.58,704.6527092810755,0.2603689
0.59,702.7642867413512,0.29585502
0.6,698.9638559995234,0.17039873
0.61,684.8375198253373,0.39296734
0.62,679.3178834916238,0.2654141
0.63,671.8042879983931,0.020401625
0.64,704.1470570661043,0.008534068
0.65,706.838392445715,0.14951688
0.66,701.0082614279465,0.66155493
0.67,697.6686996105443,0.6016103
0.68,682.7727499694151,0.1595071
0.69,668.8223168201657,0.09159946
0.7,660.8304784675433,0.042304777
0.71,650.5683498427461,0.052486777
0.72,1416.7051639373099,0.024772735
0.73,1395.910876231337,0.0770312
0.74,1377.290592861242,0.09443092
0.75,1385.92036003761,0.13899714
0.76,1388.6502099028191,0.29461718
0.77,1389.4043278625195,0.027726434
0.78,1362.176825228098,0.007979334
0.79,1413.1852229660774,0.13146025
0.8,1378.7861058082817,0.07516089
0.81,1405.6852678684038,0.04968486
0.82,1392.431180000974,0.02901262
0.83,1361.8407937832808,0.022281481
0.84,1330.9272122498603,0.03342439
0.85,1287.4617447419482,0.030872177
0.86,1300.6314017084626,0.05991937
0.87,1331.5046041560472,0.08995637
0.88,1312.7170653736696,0.31654358
0.89,1326.3150760740848,0.03306571
0.9,1311.7944689571327,0.004982681
