time,frequency,confidence
0.0,1376.013418605339,0.12306155
0.01,1379.3833000378636,0.16001004
0.02,1409.6169299120415,0.10042303
0.03,702.801056700863,0.6969351
0.04,698.2904286470176,0.6923871
0.05,694.21118736882,0.6780926
0.06,681.6561939439576,0.26357317
0.07,689.6677718659325,0.08515682
0.08,709.9365090207014,0.03481494
0.09,715.5316568986785,0.011963031
0.1,708.4568035874469,0.020529132
0.11,721.089388666107,0.015360271
0.12,716.7327945466443,0.12512568
0.13,699.9986257979062,0.5888241
0.14,694.4502037818254,0.54219514
0.15,687.3324119950801,0.43467236
0.16,676.8536739082107,0.015587569
0.17,679.9874920390686,0.0074921534
0.18,683.402608040643,0.041485284
0.19,706.636243853505,0.029294709
0.2,705.5286411255013,0.3383942
0.21,697.4333307571235,0.3731273
0.22,691.0615641460563,0.42104104
0.23,685.7105654388681,0.047418118
0.24,727.9977077613001,0.0059953383
0.25,708.7851500285688,0.04784882
0.26,694.8245695918865,0.014887065
0.27,719.9978475195253,0.009116035
0.28,713.1025131418207,0.019419802
0.29,698.1112583840785,0.3088883
0.3,689.7168936253893,0.26663223
0.31,725.9245825727595,0.006533304
0.32,708.9877975769076,0.06582058
0.33,697.5870330965905,0.59142566
0.34,688.0552742064709,0.4595129
0.35,684.1154006956999,0.2742804
0.36,674.1346039137783,0.004242514
0.37,675.0212017438519,0.007489242
0.38,690.4958710447825,0.016056681
0.39,713.0380328724068,0.0072224583
0.4,702.5158229068712,0.67516416
0.41,697.6445334933599,0.34042978
0.42,688.3114444037376,0.11132276
0.43,687.996019553576,0.0013306963
0.44,671.087653799433,0.010086353
0.45,701.2108002092168,0.0037526283
0.46,727.5251105326026,0.001522689
0.47,707.5580907470382,0.070915915
0.48,702.5321115146601,0.5102891
0.49,702.0798646690719,0.17454487
0.5,693.0040634369958,0.27760208
0.51,689.2651757819135,0.48583305
0.52,682.2843704965038,0.37969124
0.53,676.473702887339,0.24770409
0.54,679.9046727195819,0.37648386
0.55,675.6693993313125,0.45841974
0.56,667.3052669936469,0.01354837
0.57,695.8301539025019,0.0009325991
0.58,715.7438316702767,0.002558611
0.59,703.6106512815347,0.042002954
0.6,701.8491782525866,0.077655576
0.61,711.4937759717578,0.03568102
0.62,698.0559804766833,0.35582644
0.63,691.0434682028944,0.56866914
0.64,681.846423122797,0.39549825
0.65,674.7826457119866,0.18238115
0.66,667.0608121039927,0.50717413
0.67,680.8965328357901,0.075156294
0.68,710.7556326253587,0.011891063
