time,frequency,confidence
0.0,1319.5848735881896,0.37110543
0.01,1328.4915683370773,0.10905118
0.02,1322.1655637124059,0.0579938
0.03,883.3744868600618,0.18097773
0.04,898.8388431264004,0.193332
0.05,891.2160036168535,0.10909102
0.06,893.1963468503762,0.17007625
0.07,1320.702635023142,0.14003044
0.08,1293.2949938177944,0.09229843
0.09,1292.763033406434,0.03598963
0.1,1319.1943146912286,0.17449416
0.11,1314.380370902228,0.30798066
0.12,1329.9822924103846,0.090848856
0.13,1309.0513935180334,0.00075421267
0.14,1315.3917383812068,0.006379931
0.15,1333.9414757041027,0.09454052
0.16,1317.470513057397,0.25391206
0.17,1316.2298325604936,0.07971351
0.18,1306.0988559381346,0.17990822
0.19,1304.2216469485902,0.058533043
0.2,1317.278130763318,0.0837285
0.21,1317.0643791572431,0.11932639
0.22,1329.4851682924964,0.19204448
0.23,1333.4248381613509,0.25944424
0.24,888.1102717224361,0.09900769
0.25,875.178051099815,0.038141396
0.26,875.6411036360832,0.06661116
0.27,884.7140351775276,0.027159775
0.28,893.662031240687,0.095240004
0.29,1297.3803151745108,0.04387633
0.3,1318.6199026258432,0.1152705
0.31,1327.1744403489388,0.1782095
0.32,1346.551511516505,0.2075699
0.33,1351.201954468897,0.1655178
0.34,498.62391153366093,0.41300654
0.35,292.86551127802034,0.06555792
0.36,294.929456732803,0.53922516
0.37,295.99016606248955,0.27103907
0.38,314.29397712609324,0.6456905
0.39,321.6674708937619,0.9054621
0.4,322.3556658933288,0.97749364
0.41,323.6722566347101,0.9822307
0.42,324.0728251724353,0.97764516
0.43,324.8469146327568,0.9440248
0.44,324.97431231726375,0.9336
0.45,325.6889615677786,0.9568218
0.46,325.36711174653584,0.94831824
0.47,326.18145835677666,0.9803945
0.48,326.0655324023087,0.975937
0.49,325.8841306975571,0.96616745
0.5,325.7264774311397,0.9638954
0.51,326.5396802282787,0.9873099
0.52,326.6025686913212,0.98808515
0.53,326.5241264560218,0.986227
0.54,327.357384474622,0.985858
0.55,328.2336019905466,0.95454836
0.56,328.8993273267394,0.90623754
0.57,328.9227778199037,0.91048056
0.58,329.70643624384854,0.959185
0.59,329.70674323092805,0.96365666
0.6,329.5196275725962,0.9531414
0.61,329.59711596100215,0.9535774
0.62,328.52827405141693,0.9376784
0.63,327.28396261775,0.9825196
0.64,326.28291558554287,0.97825557
0.65,325.6553499917956,0.95176315
0.66,325.8361027765426,0.96041673
0.67,327.15500569665437,0.9873719
0.68,327.58267537782046,0.98230284
0.69,328.31554901659376,0.9446618
0.7,328.84307904715314,0.9026256
0.71,328.9398127970195,0.9039839
0.72,329.35096835912105,0.9309121
0.73,329.8733428166691,0.9696008
0.74,329.81920688339136,0.96671987
0.75,329.6017473333178,0.95336
0.76,328.3451383654637,0.94585526
0.77,327.1130896868591,0.98763883
0.78,326.05668170532823,0.96961784
0.79,325.8056043817486,0.9607466
0.8,326.47502982842377,0.9841718
0.81,326.5073571188106,0.98522586
0.82,327.15650098094306,0.98795694
0.83,327.4896581700122,0.9845615
0.84,328.0031203135152,0.97059745
0.85,329.09213489418136,0.916195
0.86,329.86001683807154,0.9727348
0.87,330.4742601944573,0.99062777
0.88,330.3925512931919,0.9888094
0.89,329.3779866779568,0.9428925
0.9,328.5685870750544,0.9314897
0.91,328.3503848915566,0.94497687
0.92,327.5049987135036,0.97882915
0.93,325.58472505755987,0.9456056
0.94,324.16240919300947,0.97178394
0.95,323.53722001053,0.9862424
0.96,323.7553522205954,0.9843204
0.97,324.7618722289842,0.94606215
0.98,327.1406585020113,0.9826952
0.99,329.13313056899057,0.9129966
1.0,330.6668235304759,0.98302734
1.01,331.38024769129294,0.9779447
1.02,331.73034257034385,0.9684268
1.03,332.077965993331,0.94819957
1.04,331.3522691549574,0.98167557
1.05,329.57877720595155,0.9478414
1.06,328.2096944203969,0.95298755
1.07,327.2940891222044,0.9861648
1.08,326.22785542206964,0.9784268
1.09,325.04606994762895,0.9092619
1.1,324.2945473689178,0.83470035
1.11,325.0492899839395,0.90820783
1.12,326.0143291176906,0.96718866
1.13,327.375481437229,0.9825614
1.14,328.1597089490663,0.9539641
1.15,329.2670214991548,0.91442806
1.16,330.82024921806743,0.98362976
1.17,331.5549180677636,0.9793443
1.18,332.11280323718535,0.9501885
1.19,331.95320691939924,0.96111006
1.2,329.86698839906745,0.96449775
1.21,328.212486433982,0.9483683
1.22,327.10812771095357,0.98675585
1.23,326.2222595464373,0.97715896
1.24,324.8699512921321,0.92726237
1.25,324.44822514053294,0.96240765
1.26,324.1447029969749,0.97079575
1.27,324.67502300901486,0.94119525
1.28,326.9691994395743,0.9780723
1.29,329.3808970289879,0.9307672
1.3,331.4441535381212,0.9818217
1.31,332.3707513110645,0.9326838
1.32,332.08175961829085,0.95191216
