time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,664.681054100114,0.022634193
0.06,665.1921852847506,0.36336905
0.07,665.3763045054673,0.16448621
0.08,658.6925843364872,0.19732139
0.09,263.3097448800797,0.21726117
0.1,268.15274730473647,0.107706435
0.11,268.4394149053923,0.5703504
0.12,266.1690845786371,0.4711365
0.13,266.46992875838515,0.47008055
0.14,266.33472609794853,0.0417198
0.15,264.23768731918864,0.22346583
0.16,261.9160289075454,0.082210205
0.17,263.9153787985756,0.08823486
0.18,265.3751493278144,0.26689532
0.19,260.01533025339415,0.016354987
0.2,261.53698602227666,0.5915261
0.21,251.81702483080815,0.47163767
0.22,254.21652510732252,0.18912019
0.23,257.90216599920126,0.12006724
0.24,348.64921017737737,0.5397489
0.25,345.1747249173145,0.02844079
0.26,349.80849463749246,0.0006670681
0.27,349.9611338277506,0.06192339
0.28,356.17010208381913,0.013490006
0.29,341.7734713951743,0.006728401
0.3,332.0415796210599,0.10034416
0.31,339.7259166101816,0.14516307
0.32,332.23463790158974,0.030798707
0.33,317.75786667670576,0.09309959
0.34,309.0437081827996,0.49125284
0.35,307.4228698868255,0.58059263
0.36,306.2798786923227,0.38573533
0.37,219.47529900199922,0.87109333
0.38,220.3017537149448,0.97010267
0.39,220.78703100720477,0.9848262
0.4,220.35967539396123,0.9776349
0.41,219.7461330751828,0.9356962
0.42,219.82130838249103,0.9488222
0.43,219.49755350748862,0.91190153
0.44,219.6169755824951,0.92885935
0.45,220.04589425267517,0.96734166
0.46,220.60443287736933,0.98724943
0.47,221.1794282712448,0.9847104
0.48,221.94905680556155,0.9355946
0.49,222.8360393532168,0.96665823
0.5,222.73495919174798,0.97437185
0.51,222.76494697203958,0.98064685
0.52,222.5650394721099,0.9707756
0.53,222.0932729745016,0.9368415
0.54,221.50004981751175,0.9795002
0.55,220.6555405614745,0.9855552
0.56,220.29729386982177,0.9769792
0.57,219.73054490569075,0.9373883
0.58,219.32267242760895,0.94649774
0.59,219.06483946574124,0.96721774
0.6,219.54404054398282,0.91861707
0.61,219.99917443103413,0.95616627
0.62,220.09379902503912,0.96569633
0.63,220.57548786018074,0.9847462
0.64,220.9814865755952,0.98813975
0.65,221.77966878741157,0.94441885
0.66,223.18271413108064,0.9681514
0.67,223.0502946741578,0.9804285
0.68,222.63119159479112,0.97336847
0.69,222.11788240609172,0.93115515
0.7,221.41959666226944,0.980117
0.71,220.17017584878243,0.9720651
0.72,219.63349685072356,0.9203745
0.73,219.15930428228324,0.9585609
0.74,218.43380534730284,0.9833767
0.75,217.90484563746136,0.9750006
0.76,218.17264491008004,0.9777615
0.77,219.04784377412813,0.9665568
