time,frequency,confidence
0.0,1309.8983673904982,0.036654513
0.01,1301.5374871306747,2.1001853e-05
0.02,1311.331365531155,0.11142921
0.03,1303.3443686403875,0.0610284
0.04,1318.3733892945147,0.22962074
0.05,1329.253904369124,0.29235342
0.06,1322.1450988271095,0.6032418
0.07,1329.6739644080833,0.07875431
0.08,1041.4133816037736,0.046327975
0.09,1042.5732132445066,0.49685532
0.1,1040.1449880299724,0.6441799
0.11,1021.7042461041194,0.02076627
0.12,1057.598869729331,0.06665705
0.13,1047.6551758397832,0.057876002
0.14,1307.2477176429763,0.066329665
0.15,1317.083197714006,0.28274146
0.16,1321.5868322366875,0.32480133
0.17,1322.0147214806047,0.26783785
0.18,1319.0101305230546,0.03617779
0.19,702.0529788348837,0.35736087
0.2,696.164826805624,0.117657065
0.21,691.3930198533969,0.2762671
0.22,695.9795232928367,0.07737786
0.23,707.6202782496609,0.08628384
0.24,695.7102101404478,0.42660126
0.25,673.9655773391934,0.21330689
0.26,663.7965799956626,0.29155013
0.27,652.9802817129146,0.011373172
0.28,684.020113948916,0.021681665
0.29,695.2086502887756,0.5032132
0.3,684.0963436361767,0.13438725
0.31,723.1526699991338,0.0030774565
0.32,717.9785322148771,0.020271631
0.33,698.0508582365128,0.34503928
0.34,696.4411990152563,0.506819
0.35,1239.6365242684935,0.09764647
0.36,1301.1363361916888,0.07941004
0.37,1315.6414913306455,0.2165073
0.38,1351.0953027823693,0.07995952
0.39,1335.1418657850277,0.19909562
0.4,1037.5298770904128,0.105058864
0.41,1045.9925980670312,0.5082689
0.42,1044.9078125441822,0.30249476
0.43,1046.9134922809687,0.0336079
0.44,1050.0801314865923,0.05073429
0.45,1039.7463356303786,0.029437136
0.46,1044.7677525475447,0.029250497
0.47,1053.9161167382663,0.035967115
0.48,1048.6560256881805,0.19899036
0.49,1049.8908792832399,0.25431335
0.5,1048.263872628721,0.2752972
0.51,1046.5267236478276,0.06502822
0.52,1305.881907327475,0.09704719
0.53,1307.673123159843,0.046470147
0.54,1316.362604624429,0.1549641
0.55,1315.4370909309491,0.32955018
0.56,1335.942251606884,0.017816642
0.57,1332.0259942147948,0.009405887
0.58,1329.6597678365615,0.0068612397
0.59,1255.144491486914,0.027538156
0.6,1311.358399749619,0.13318527
0.61,1317.381179761133,0.24784833
0.62,1315.189350195939,0.3991361
0.63,1340.9772611957308,0.1627036
0.64,1034.8815664697995,0.19909129
0.65,1049.1313192142052,0.17868564
0.66,1048.9223508859575,0.13047847
0.67,1053.0492475220904,0.03152176
0.68,1048.5597566832198,0.010547677
0.69,1048.5616188869262,0.008923642
0.7,1051.2910694914028,0.042530287
0.71,1048.0358898311952,0.07306401
0.72,1035.5171369275495,0.019316824
0.73,1043.443660174661,0.25514492
0.74,1038.1257149797311,0.25069627
0.75,1026.0241089961237,0.011796128
0.76,1043.5072294759286,0.06593981
0.77,1056.2784187196821,0.011168874
0.78,1056.541574373719,0.034235172
0.79,1049.0764677632055,0.7213453
0.8,1038.5255970601097,0.08525268
0.81,1052.12067841695,0.34145716
0.82,1039.1614000288225,0.060965322
0.83,1042.8897063549914,0.031913944
0.84,1311.7711616135966,0.1744804
0.85,1310.4583089518567,0.18894258
0.86,1312.0430984117618,0.28572202
0.87,1314.238814816591,0.3210061
0.88,1340.7556880171262,0.07663396
0.89,1337.9929232263917,0.08692368
0.9,1307.2658988253493,0.07412912
0.91,1318.2513447288688,0.2746832
0.92,1312.894245670097,0.21877979
0.93,1309.2326570648452,0.28906432
0.94,1321.8370870790345,0.3170736
0.95,1343.4845702328855,0.22240753
0.96,1349.171024019925,0.2668926
0.97,1333.4162393815736,0.039429713
0.98,1343.3880442241582,0.031486284
0.99,703.4488147403629,0.123245105
1.0,700.9394722308178,0.14930983
1.01,659.7663196386757,0.33406144
1.02,662.5490136631469,0.039826665
1.03,652.9248445293082,0.13082382
1.04,637.168318128197,0.28753483
1.05,659.0060805829291,0.17365387
1.06,1043.2367327252227,0.0143468445
1.07,1048.0357091804642,0.06507194
1.08,1021.825124468915,0.038618878
1.09,1047.759923985715,0.095558286
1.1,1035.9509571999688,0.25064102
1.11,1045.6588579284112,0.037308555
1.12,1041.0705407771181,0.09874074
1.13,660.6175763845463,0.14438823
1.14,674.3854960569906,0.26062164
1.15,681.4134410428962,0.02513589
1.16,703.7104158350779,0.10457055
1.17,701.9831913372353,0.52212375
1.18,662.7682421752439,0.13434063
1.19,1055.8537059498785,0.2396427
1.2,1043.5681069478003,0.32748094
1.21,1047.2732642707529,0.5794588
1.22,1040.9586433786428,0.40814966
1.23,1048.4958653548708,0.066583365
1.24,1048.1780075688955,0.31440198
1.25,677.2022952709051,0.19649194
1.26,675.8055530542616,0.20754486
1.27,708.5291587166028,0.34733286
1.28,708.4327726149327,0.06788248
1.29,687.0060152041945,0.021079531
1.3,664.634131530682,0.41498086
1.31,444.7208294458375,0.40789488
1.32,442.07769801094923,0.6312328
1.33,217.92104345937204,0.7739687
1.34,217.83980910004712,0.9691441
1.35,218.769681729363,0.9764532
1.36,219.2082576381244,0.9590862
1.37,219.26803909268017,0.953637
1.38,219.06262077144828,0.97046566
1.39,218.85122019080023,0.9792357
1.4,218.9384139564817,0.9754671
1.41,219.4035339026131,0.93955415
1.42,219.95813945830236,0.9627805
1.43,220.5004781856653,0.98258716
1.44,220.92992076003685,0.9888713
1.45,221.208977650868,0.9835528
1.46,221.29877164922166,0.9785235
1.47,219.97170498650038,0.9552205
1.48,218.91686334128735,0.97470677
1.49,218.35657306954687,0.98054296
1.5,218.03158714855266,0.9826818
1.51,217.74726371614545,0.97729677
1.52,217.90147845965066,0.9835528
1.53,218.30968284845812,0.9903302
1.54,218.58132689578665,0.98678315
1.55,218.92826425435612,0.9776168
1.56,219.4605720153785,0.9311424
1.57,220.19159275664236,0.97408795
1.58,220.4593024384459,0.98121005
1.59,220.66096806720827,0.98353785
1.6,221.076353708162,0.9837051
1.61,221.07316237386948,0.98523474
1.62,220.627396556562,0.98530376
1.63,220.10954298542686,0.97056335
1.64,219.11929709192864,0.9646894
1.65,217.61732922027548,0.9648932
1.66,216.8664449951797,0.89923066
1.67,217.02402648574375,0.9222242
1.68,217.53642517860766,0.9586906
1.69,217.6335193824682,0.96192664
1.7,217.81674150445397,0.9748088
1.71,218.59823930567973,0.98635
1.72,219.0579456517071,0.97004366
1.73,219.59318411077734,0.9171909
1.74,220.5169224283351,0.97431004
1.75,220.41236244851618,0.97951573
1.76,220.36428976752723,0.9817986
1.77,220.11861774054216,0.97173566
1.78,219.49471529386554,0.9276914
1.79,218.46194057731503,0.98471165
1.8,217.72258842220123,0.97266567
1.81,217.352123835206,0.9553775
1.82,217.40462523337487,0.9584755
1.83,217.9022709680063,0.98311204
1.84,218.29069895135558,0.990559
1.85,218.57713819149882,0.9879842
1.86,219.13711846450371,0.9636731
1.87,219.8827036607462,0.95268095
1.88,220.2173022498722,0.971056
1.89,220.40209411772113,0.9789641
1.9,220.44236228037508,0.9840502
1.91,220.49885688371853,0.9858893
1.92,220.33056537553716,0.9778144
1.93,219.9772192575438,0.95668846
1.94,218.87427075410892,0.9706951
1.95,218.66549712413263,0.9822317
1.96,218.7260278848754,0.98408276
1.97,218.73552845126278,0.9844525
1.98,218.8237601053661,0.9817238
1.99,219.0855695787415,0.9691705
2.0,219.3373454854802,0.9492178
2.01,219.6396876840974,0.92819864
2.02,219.79774578603383,0.94639516
2.03,220.12858929581571,0.9684732
2.04,220.0469873857366,0.9639318
2.05,220.31837728450637,0.9714778
2.06,220.03999273301145,0.9553766
2.07,219.52282814584663,0.9260792
2.08,219.00246463010473,0.9700576
2.09,218.40992691658798,0.9845405
2.1,217.80077195871394,0.9773027
2.11,217.39337621569524,0.9571698
2.12,217.28779963532335,0.9510169
2.13,217.40477570645768,0.95587116
2.14,217.5900018355075,0.9632708
2.15,217.7951709935548,0.9763846
2.16,218.0615600566513,0.9868485
2.17,218.56387290566107,0.9870198
2.18,219.1544230066147,0.9609612
2.19,219.82605440839365,0.947347
2.2,220.78646955182455,0.9875966
2.21,220.90387884789865,0.988389
2.22,220.96321285221248,0.98790514
2.23,219.94865721745225,0.95238596
2.24,218.7851830013125,0.97192746
2.25,217.75457861468652,0.96013725
2.26,217.06244447466375,0.9259987
2.27,217.14117059918738,0.9393486
2.28,217.37896159704047,0.95935327
2.29,217.83569786319828,0.98140407
2.3,218.05303822801085,0.9880235
2.31,218.58783883763152,0.98757625
2.32,218.84356644152504,0.9803963
2.33,219.38953256736994,0.94014305
2.34,219.78433336274523,0.94038546
2.35,220.0840401946674,0.9629458
2.36,220.26230328729042,0.9779554
2.37,220.19284991101358,0.9725987
2.38,219.81892234500577,0.9403189
2.39,218.71127175621996,0.97512674
2.4,217.52369475828473,0.9527425
2.41,217.34476630007157,0.95155036
2.42,217.22257882632195,0.9463502
2.43,217.16875577982378,0.9417921
2.44,216.9891226476459,0.92056966
2.45,217.1239602458111,0.9407279
2.46,217.58076244894954,0.9689023
2.47,217.96477553175126,0.98622733
2.48,218.50287863382633,0.988457
2.49,219.04660700000733,0.9697165
2.5,219.58128450097286,0.91747
2.51,219.46740626569334,0.9320106
2.52,219.10944621264008,0.9659059
2.53,219.19217457046273,0.9627092
2.54,219.27520561531597,0.95478135
2.55,219.3667715569755,0.94292027
2.56,219.41831562676356,0.9392544
2.57,218.327408748514,0.79726434
2.58,259.7201784855775,0.8847915
2.59,260.0517876157482,0.94324726
2.6,260.1018736100991,0.9608795
2.61,260.55584785165394,0.9459149
2.62,260.69745563641794,0.9405062
2.63,260.8007229123782,0.92442614
2.64,260.7640211769512,0.92995405
2.65,260.8242964509412,0.9270067
2.66,260.83158780947593,0.92970794
2.67,260.3664966993437,0.9669775
2.68,260.4353260714678,0.9616755
2.69,260.4757035522399,0.95967585
2.7,260.1991944512154,0.9772117
2.71,259.90098114288156,0.9854242
2.72,259.8112711193584,0.9855326
2.73,259.8641162628808,0.98090863
2.74,260.0338383636503,0.9689632
2.75,260.03791317437674,0.92600745
2.76,261.4990573738227,0.5784469
2.77,327.3544209822584,0.8967049
2.78,327.78101810103954,0.90035594
2.79,327.73355107154157,0.9582125
2.8,327.073132528702,0.971667
2.81,327.2126166599128,0.9714138
2.82,327.28136895358557,0.9499789
2.83,439.05732345032555,0.8579966
2.84,439.6769219372135,0.86206937
2.85,439.12102241069454,0.7093865
2.86,439.62430244452554,0.42218497
2.87,439.78323572469066,0.80269814
2.88,439.5876297528153,0.9134187
2.89,438.1188769201663,0.9362516
2.9,261.38508367420843,0.9104705
2.91,261.57826183417905,0.96351373
2.92,261.57169935995046,0.9656948
2.93,262.1088354658895,0.9858366
2.94,262.6139847992104,0.9827892
2.95,263.2950198000671,0.9564991
2.96,264.5602750162054,0.8492349
2.97,266.1694300127023,0.72403836
2.98,266.10185566182156,0.5398563
2.99,265.22108613767955,0.65833735
3.0,265.550076433428,0.5398644
3.01,662.9413755716107,0.6560827
3.02,661.8989168039548,0.8206828
3.03,661.7720444554234,0.8603805
3.04,661.5375647128335,0.11437941
3.05,883.9259215613426,0.09342132
3.06,889.2164884071635,0.15502445
3.07,889.5108348326864,0.61539453
3.08,890.4794303266448,0.9458537
3.09,893.9271478404141,0.9779846
3.1,900.7431645284254,0.86067575
3.11,929.2931675134905,0.5696156
3.12,956.2352256375623,0.35586834
3.13,527.4774980975147,0.0063068448
3.14,531.6920569462587,0.076291375
3.15,531.1793611840823,0.17373829
3.16,529.6762523368662,0.24054389
3.17,530.0687375608824,0.48097825
3.18,531.6577570254366,0.9246859
3.19,528.6282581952324,0.67101955
3.2,1277.1217377267674,0.5028457
3.21,1281.1789377376667,0.93429583
3.22,1281.4506433623749,0.9581006
3.23,1284.4729912843693,0.95065475
3.24,1291.1041871696816,0.98186755
3.25,1294.1732374848723,0.98417354
3.26,1299.352902688038,0.93771005
3.27,1306.2686664294433,0.9642679
3.28,1304.153384197477,0.9108608
3.29,1307.0008828489968,0.046545148
3.3,860.488020394366,0.0053910245
3.31,844.7548896300019,0.103002526
3.32,872.8157664281553,0.7751894
3.33,878.5677105003078,0.6470325
3.34,883.6517025972244,0.52292114
3.35,884.1427021683888,0.28961605
3.36,884.8260102288427,0.29939917
3.37,886.1890702141256,0.3267191
3.38,889.7357767298861,0.2493169
3.39,891.0243242108588,0.4687073
3.4,891.9066638308282,0.68536216
3.41,894.3319289180034,0.29994994
3.42,892.5059036003382,0.6129455
3.43,891.7712449315804,0.16594048
3.44,889.024633420496,0.33334017
3.45,887.347867328711,0.11674173
3.46,888.5548272765236,0.09799528
3.47,890.5949036327856,0.15044807
3.48,1790.005089301961,0.18767092
3.49,1795.414841819466,0.26120558
3.5,1790.8040753124626,0.2012762
3.51,1786.9237192589824,0.43741968
3.52,1784.1400492544767,0.5704232
3.53,1770.6310590412602,0.29282552
3.54,1755.2035224101883,0.5002291
3.55,1751.8661687549604,0.57690245
3.56,1759.3098296968606,0.34470922
3.57,1763.8959012395026,0.52638716
3.58,1783.1418648695146,0.61935323
3.59,1799.0467592060972,0.5105681
3.6,1802.8650610790512,0.63793063
