time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,1323.5597803815504,0.56102705
0.06,1332.4969597815268,0.3151028
0.07,1327.4223852459593,0.07089471
0.08,1340.755138756749,0.08768932
0.09,1322.1172135649251,0.16963854
0.1,1320.2417956738223,0.14179008
0.11,1058.4551654628128,0.19696474
0.12,1019.5534519745628,0.05112085
0.13,1053.3902890251707,0.44245282
0.14,1038.8818500057473,0.28906417
0.15,1027.47993040045,0.124941856
0.16,1036.8722687460229,0.3560665
0.17,1020.7049612940352,0.079624675
0.18,1046.7944584699371,0.70532894
0.19,1045.8896945167626,0.31868765
0.2,1046.197522421786,0.5277845
0.21,1042.1519614944405,0.5140513
0.22,1025.2702939293852,0.06534479
0.23,1053.350070101648,0.3879077
0.24,1041.9531744583933,0.33216166
0.25,1019.6971739080903,0.071190715
0.26,1045.5893005918958,0.56235147
0.27,1031.6077878960998,0.12844302
0.28,1043.4235745396315,0.8077328
0.29,1038.963144705749,0.38041934
0.3,1046.8091229322597,0.34731755
0.31,1028.218650750121,0.19382294
0.32,1034.5634848681714,0.13623273
0.33,1044.9215355736433,0.3724354
0.34,1044.1653043651124,0.45822686
0.35,1033.8919771488095,0.2501658
0.36,1042.085081429266,0.7150406
0.37,1034.4646707223262,0.22929151
0.38,1046.3025433375697,0.6007742
0.39,1042.2418263781603,0.55401903
0.4,1030.7093383342176,0.141706
0.41,1042.784705483861,0.7562876
0.42,1037.1486594177632,0.19755848
0.43,1043.174646138939,0.38962886
0.44,1040.767863856294,0.5888326
0.45,1027.5519953153494,0.18767878
0.46,1043.3067048384592,0.613056
0.47,1038.3346744024152,0.20350678
0.48,1043.4302608504686,0.5216117
0.49,1042.3721223732512,0.7282865
0.5,1019.1431293937354,0.066594996
0.51,1041.505284591505,0.5462132
0.52,1038.105358263792,0.19000892
0.53,1043.555934091964,0.42791322
0.54,1041.1881998301762,0.5666554
0.55,1020.2697634193685,0.10693163
0.56,1044.4346207527576,0.3678845
0.57,1041.5182819732881,0.30890864
0.58,1041.471226571984,0.38616404
0.59,1042.759666203688,0.6697559
0.6,393.3722907614677,0.15519287
0.61,395.0962761414974,0.3982439
0.62,391.97024724707046,0.8215234
0.63,395.7780296302748,0.25028345
0.64,391.96347642823446,0.6849761
0.65,393.7042145839878,0.92231107
0.66,393.3110150466699,0.74744457
0.67,390.71737811722096,0.6639497
0.68,394.3612148150561,0.2822454
0.69,392.1018161261295,0.4992677
0.7,393.6441451718553,0.6573218
0.71,394.5070620061211,0.450066
0.72,391.61889330945814,0.7273427
0.73,395.0424434155933,0.48406577
0.74,393.10044120080886,0.75787103
0.75,393.32386236094356,0.9355676
