time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,664.1066823115609,0.07377767
0.06,667.1915554328232,0.37710667
0.07,588.6079084713102,0.63203734
0.08,592.4814944433114,0.72825575
0.09,611.0168985028931,0.029882893
0.1,237.64526020253552,0.22871731
0.11,239.59659055267235,0.20379333
0.12,239.79503872702364,0.3546111
0.13,240.9759614556904,0.28719786
0.14,240.01998330786537,0.33177283
0.15,309.4503151424672,0.24605869
0.16,306.8622976016532,0.27667326
0.17,314.34047624591875,0.3573417
0.18,265.6776988318526,0.34070805
0.19,263.1033957821597,0.073757604
0.2,260.2285692893803,0.26851782
0.21,257.546836776199,0.3152889
0.22,263.67568176331235,0.33471888
0.23,259.6883350302453,0.59565777
0.24,265.28547271263244,0.17305239
0.25,265.3085836980316,0.053385336
0.26,263.0520269538013,0.18014179
0.27,265.51284354219763,0.48219135
0.28,260.4360282844553,0.25367424
0.29,261.22882281284836,0.6428854
0.3,324.41332663029266,0.37132663
0.31,327.3245229870696,0.7272962
0.32,328.17745720674486,0.27668712
0.33,324.52839381664654,0.03284247
0.34,323.3548416925266,0.32925335
0.35,264.16523726212847,0.41998175
0.36,260.6139973486227,0.73306733
0.37,258.17761045830133,0.67327553
0.38,261.886445112681,0.33445486
0.39,258.98774712108997,0.34473523
0.4,261.08334306010556,0.44409785
0.41,329.51931617299374,0.26712266
0.42,303.9463598142516,0.16485427
0.43,306.5548515314449,0.09550798
0.44,315.8541493446001,0.13288434
0.45,324.4372499498867,0.44322684
0.46,305.2205987460365,0.07738818
0.47,309.91300016021376,0.26256213
0.48,318.1179296311942,0.0015980707
0.49,329.55533699017343,0.20101145
0.5,327.43254284896454,0.14750774
0.51,319.09374399134,0.20614502
0.52,326.1805543314348,0.7728268
0.53,329.4155534940052,0.8250459
0.54,327.9744720986884,0.9392003
0.55,329.5989721579985,0.95129085
0.56,330.19531405643943,0.971447
0.57,329.3533886530479,0.9311724
0.58,329.6819585328123,0.9615711
0.59,330.4345601229667,0.98643714
0.6,329.71168731037517,0.96575814
0.61,329.94890091170504,0.9714996
0.62,330.4992749929777,0.9851495
0.63,330.1018548687119,0.98172003
0.64,330.3150034764981,0.9836871
0.65,330.6644003080416,0.98725116
0.66,330.5571771577365,0.9855041
0.67,330.7625722776329,0.9855816
0.68,330.2168170356081,0.98183894
0.69,330.4629905723933,0.98512185
0.7,330.5751944973312,0.9840937
0.71,330.1625878873486,0.9827654
0.72,330.2572144767373,0.98450816
0.73,330.37543603740016,0.98726255
0.74,330.3940938501233,0.9858484
0.75,330.6617942819792,0.98823684
0.76,330.29501289890436,0.98665255
0.77,330.31840498930086,0.98753047
