time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,1322.167167905207,0.49156362
0.32,1313.0311644155227,0.10137644
0.33,1287.1018760721754,0.029600916
0.34,1295.91088377656,0.021349208
0.35,1322.3310000829601,0.27873522
0.36,1312.4865483300666,0.11988102
0.37,1059.587045642739,0.1543487
0.38,1034.4309188032073,0.07041218
0.39,1051.3535236554758,0.5106605
0.4,1036.6072943526246,0.030689184
0.41,288.5093275705752,0.12470177
0.42,287.95525565457416,0.06497707
0.43,294.061334890187,0.015968837
0.44,301.7884557645582,0.10201255
0.45,306.8077419064413,0.14825355
0.46,306.72037037457676,0.29300344
0.47,310.68820792616685,0.121939525
0.48,316.4800417749008,0.35444993
0.49,321.07081342721045,0.44474342
0.5,333.49855939861044,0.40189162
0.51,331.7578517676912,0.5647154
0.52,330.6884808544502,0.45317194
0.53,320.55849017496774,0.37087533
0.54,323.2188125450776,0.7328483
0.55,322.86899411457046,0.9412073
0.56,321.9290240586141,0.9604265
0.57,320.3633266859516,0.9707529
0.58,319.6705113007,0.98004526
0.59,319.3062290894267,0.98015726
0.6,318.9573348447593,0.9771539
0.61,318.6924155803252,0.9726743
0.62,318.6337461010053,0.9719839
0.63,318.8775986431342,0.9761121
0.64,319.0553968018204,0.9782819
0.65,319.04561783249085,0.97796375
0.66,319.4020909222135,0.9794057
0.67,319.53032033508185,0.9812656
0.68,319.35814445869823,0.9809872
0.69,319.0468186115158,0.9772076
0.7,318.3440791179687,0.9587134
0.71,317.68856490922775,0.9251458
0.72,317.70685415371565,0.9274222
0.73,318.2014326670078,0.957207
0.74,318.63190306520244,0.9703405
0.75,319.10951702109554,0.97644013
0.76,319.32688331012537,0.97823024
0.77,319.6928316102683,0.97807515
0.78,319.80663287649566,0.9784322
0.79,319.6152763413748,0.9783004
0.8,319.35801367204715,0.9756741
0.81,318.454574881195,0.9658133
0.82,317.6446985264305,0.9326094
0.83,316.57839753845616,0.9706265
0.84,316.0615251722469,0.98219645
0.85,316.4292041997623,0.9821279
0.86,316.8413379047416,0.9643693
0.87,317.40322482544065,0.93926716
0.88,318.0680847875454,0.95129937
0.89,318.7845311252205,0.97236156
0.9,319.7886203985728,0.97932696
