time,frequency,confidence
0.0,1330.9309780687238,0.09498435
0.01,1323.8135181357816,0.03069531
0.02,1318.9654821002816,0.105048664
0.03,1328.7120017809725,0.014694862
0.04,1335.6085722325859,0.021247566
0.05,1326.079505546202,0.0100067295
0.06,1307.2284499886666,0.11030267
0.07,1310.7109632851152,0.24783348
0.08,1312.791212747904,0.41900203
0.09,1312.2802610179497,0.3234376
0.1,1324.1182919943894,0.13216847
0.11,446.08613526888183,0.27306867
0.12,448.09016818602566,0.24269329
0.13,442.1380210093014,0.27976874
0.14,440.21845082156585,0.07753113
0.15,439.9682807230813,0.056017447
0.16,441.3858956212574,0.07126023
0.17,441.35655295488914,0.03251524
0.18,898.7081674311166,0.32747963
0.19,887.8803223567071,0.034174375
0.2,889.0019000795018,0.0029621203
0.21,899.49814944386,0.08646935
0.22,897.2586294656526,0.09116261
0.23,897.9093738041553,0.18552527
0.24,1304.5537524874965,0.09368054
0.25,1310.3418073668713,0.30754498
0.26,1314.1512262187107,0.3323289
0.27,1319.5868027863662,0.3084557
0.28,1313.6835813388138,0.10600678
0.29,1317.8058544735836,0.16751431
0.3,1322.5413215756757,0.2959293
0.31,1329.7822217404266,0.077839576
0.32,1319.0991418051558,0.04564972
0.33,1316.8569844381127,0.28085318
0.34,1332.3611961907063,0.0304632
0.35,1348.3540372177235,0.022832943
0.36,1305.0236672066226,0.17269331
0.37,1315.2111336603773,0.30755156
0.38,1317.9335029961317,0.3566887
0.39,456.42153737408853,0.13524212
0.4,460.1464332894057,0.24118209
0.41,459.9042177934512,0.18602481
0.42,451.59985533745675,0.27462476
0.43,291.18696375739034,0.49154508
0.44,293.76015739342665,0.58999544
0.45,304.50847295244915,0.31291717
0.46,316.120425406205,0.6019767
0.47,317.3521433573253,0.9545847
0.48,317.06529733189564,0.9699406
0.49,316.6133057755664,0.97973365
0.5,316.3903561729755,0.98174334
0.51,316.17975675070704,0.98411554
0.52,315.93368418488785,0.9842046
0.53,316.0727237587549,0.98959315
0.54,316.2549089796124,0.9876244
0.55,316.22602817390464,0.9854798
0.56,316.7167140257284,0.98155427
0.57,316.91629718481477,0.9768282
0.58,316.76642144047884,0.98203593
0.59,317.0658107246971,0.9720319
0.6,317.0193323128678,0.97260094
0.61,316.87803106878505,0.9792429
0.62,316.37830610639605,0.9884642
0.63,315.69504764932924,0.9895419
0.64,315.48259129036967,0.98824304
0.65,315.31994851331234,0.9854696
0.66,315.24740539619614,0.9836016
0.67,314.5503743505599,0.9657376
0.68,313.8967758308767,0.9258375
0.69,313.01966426962446,0.9662267
0.7,312.706955923226,0.97157174
0.71,312.5391638208442,0.97328377
0.72,312.36234712024134,0.97410214
0.73,312.93328926108336,0.9642037
0.74,313.3001697692161,0.9449886
0.75,313.32264135039867,0.9526569
0.76,314.12660276403307,0.9361434
0.77,315.81579963363436,0.98971236
0.78,316.43088263841713,0.98655254
0.79,316.3841064765868,0.9857576
0.8,315.4829099214729,0.98568976
0.81,315.0422703221618,0.9813493
0.82,314.2677627414669,0.95271665
0.83,312.74726027714416,0.97258705
0.84,311.36450258662217,0.9669427
0.85,310.4567518280147,0.93278915
0.86,309.7095981247255,0.97466815
0.87,309.0531430914627,0.98557824
0.88,310.17612813812286,0.95493656
