time,frequency,confidence
0.0,1028.1541258986201,0.09589225
0.01,1026.3441372440855,0.007590793
0.02,1037.9016871178526,0.027322331
0.03,1027.9820349878103,0.041642543
0.04,1046.3419389979972,0.041756134
0.05,1039.6021623529743,0.017376674
0.06,1017.7374606395647,0.01616674
0.07,1024.1202456525243,0.048594404
0.08,1034.174060119273,0.15174475
0.09,1046.9510879085835,0.2852467
0.1,1042.1848295646441,0.02813089
0.11,1045.5429653308684,0.01739727
0.12,1048.7103439421621,0.015189776
0.13,1040.6492341909156,0.06132976
0.14,1022.3194863571917,0.024630155
0.15,1024.9743510282628,0.08727386
0.16,1048.2576358846675,0.7856203
0.17,1044.5674833399976,0.33560562
0.18,1045.917922930266,0.047289826
0.19,1337.067198620198,0.09339508
0.2,1328.206714007652,0.1494507
0.21,1346.6383662509065,0.14106683
0.22,1364.3871977428084,0.11667469
0.23,1410.927131127306,0.013055404
0.24,1411.727170405492,0.032397952
0.25,1409.0584290866154,0.035124883
0.26,1396.3387291788358,0.10436893
0.27,1362.8559697469796,0.008167354
0.28,1336.8524920482319,0.010115819
0.29,1316.9447748435323,0.04876098
0.3,1331.7621041955554,0.14471023
0.31,1339.1795567529352,0.2376432
0.32,1342.4549425277528,0.09614669
0.33,1340.7300804981842,0.00336061
0.34,1417.2650599741391,0.2308759
0.35,1426.0500966205266,0.099389605
0.36,1416.460524584218,0.17028429
0.37,1419.190878708454,0.1367886
0.38,1415.3583283563403,0.25266165
0.39,1418.8394000293238,0.27651012
0.4,1421.2924590774173,0.21991406
0.41,435.44874078544575,0.10403613
0.42,435.8519949651078,0.08584973
0.43,256.59889157686985,0.027131408
0.44,262.2074426246845,0.10705835
0.45,262.7116439120724,0.076687634
0.46,260.10966097101436,0.016477393
0.47,259.4822885049864,0.06582971
0.48,259.76495081793325,0.2917567
0.49,260.3961147882956,0.10371019
0.5,263.07688677021724,0.4806131
0.51,258.6373404225973,0.1508518
0.52,262.83583947666045,0.006254712
0.53,262.6606464723192,0.08367448
0.54,267.8523439015686,0.056373537
0.55,267.4197848484582,0.19779564
0.56,262.40265132082766,0.78175324
0.57,260.05780999262595,0.36818463
0.58,262.4915133002292,0.30808905
0.59,258.8887012531834,0.15893266
0.6,261.00241361012684,0.25356606
0.61,254.20434387528704,0.20868397
0.62,258.01184328938814,0.4515108
0.63,261.66092821370364,0.37745234
0.64,260.13055683125646,0.61187243
0.65,258.2861181021332,0.72720414
0.66,260.0570349338751,0.07683928
0.67,267.3396791198936,0.22007173
0.68,268.87025493545946,0.16194163
0.69,268.55589408651264,0.52885365
0.7,272.8498251040536,0.071940675
0.71,260.8558440168009,0.18958242
0.72,257.9955189788581,0.14646867
0.73,261.19214501498425,0.041412126
0.74,260.31611703510674,0.067815565
0.75,261.9504000989057,0.059226673
0.76,261.59947483209777,0.003119875
0.77,268.80505508112014,0.06894569
0.78,259.50511433396395,0.3660068
0.79,252.75355694244595,0.14448266
0.8,253.81533567695496,0.022093588
0.81,256.43129561475524,0.02073915
0.82,258.0901913755583,0.041951176
0.83,259.82574471024384,0.088385366
0.84,261.1972712853121,0.09065489
0.85,260.1791147655309,0.48394525
0.86,263.88966853812593,0.40147004
0.87,259.73486241743194,0.085780896
0.88,261.2583982222351,0.032812282
0.89,260.56554140278524,0.006917946
0.9,267.5076889965305,0.058615543
0.91,264.58703903733203,0.04362771
0.92,269.0069953037929,0.07811727
0.93,266.8116740347384,0.4987424
0.94,262.70512749046753,0.24897075
0.95,260.4360257842678,0.34099495
0.96,256.6713223953361,0.393322
0.97,260.0218400342123,0.106005095
0.98,259.06047114316306,0.037094302
0.99,261.5007060883647,0.72445697
1.0,263.4712549929213,0.43779662
1.01,270.0892836833296,0.47550207
1.02,270.0470746290499,0.46989223
1.03,266.75860426317365,0.62068486
1.04,267.51814210655,0.5683297
1.05,261.55884506899736,0.061630953
1.06,253.4407918294146,0.09681532
1.07,260.59541526008337,0.046020586
1.08,324.7617312498195,0.07008439
1.09,322.33562096727985,0.23283724
1.1,323.7000570815484,0.15225631
1.11,329.5253177423385,0.009385791
1.12,333.69371266420836,0.017851891
1.13,335.2505520550355,0.066416286
1.14,347.81654126108384,0.21695508
1.15,352.01561217475046,0.05268586
1.16,323.85617022153144,0.14181778
1.17,327.85054760995223,0.45694575
1.18,332.0117812684817,0.38571456
1.19,262.94302554314135,0.3360616
1.2,260.64958579413064,0.36288726
1.21,252.34405054828306,0.080965035
1.22,246.02825430091823,0.12282262
1.23,254.90736791142382,0.32332146
1.24,249.21841322404416,0.74747086
1.25,261.4694077181142,0.12085626
1.26,258.0597153176716,0.052469723
1.27,262.42580515544233,0.38382864
1.28,259.756433020572,0.5505428
1.29,263.8421868917884,0.6736601
1.3,264.05012861868266,0.54058737
1.31,258.65992484763655,0.042869214
1.32,308.01787659838305,0.17840254
1.33,317.5881890224233,0.21106462
1.34,322.2608980133525,0.127548
1.35,329.83957848873547,0.20202519
1.36,333.8249919466977,0.0654978
1.37,313.11356506666306,0.05963033
1.38,308.40644283618707,0.27300513
