time,frequency,confidence
0.0,261.2714506884568,0.0053227525
0.01,258.204857096552,0.034482412
0.02,260.26334404229624,0.13677981
0.03,259.67519353823496,0.27036926
0.04,260.7502938621745,0.66099364
0.05,261.00793162813386,0.20499414
0.06,266.8524999885567,0.8259283
0.07,264.87895281766276,0.62255234
0.08,265.6171108135185,0.5659152
0.09,262.1029199012939,0.3486294
0.1,262.0035959139218,0.28139773
0.11,451.5821642319976,0.2456289
0.12,1300.1130497372171,0.05256548
0.13,1310.8126136530916,0.21626587
0.14,1315.6860343688286,0.26131186
0.15,1336.3935798444434,0.23683311
0.16,668.7751258828758,0.15664612
0.17,304.4193440646472,0.12968585
0.18,303.9788419063526,0.15730166
0.19,300.1990666684559,0.1582278
0.2,306.1658018228243,0.16839789
0.21,308.35106775162114,0.07689039
0.22,315.99674996635684,0.13511324
0.23,327.8568614877415,0.1525083
0.24,1189.3644952736754,0.05490128
0.25,1194.0458228364062,0.10468349
0.26,1224.286352754966,0.2709585
0.27,1285.3279556340872,0.040717512
0.28,1304.157547557581,0.019588094
0.29,1320.7717696254942,0.14581178
0.3,1320.0205692720583,0.14952219
0.31,1312.9139098814558,0.26032665
0.32,1328.4477702340462,0.29069734
0.33,1338.6534246964127,0.1028278
0.34,1297.4268551695523,0.03864636
0.35,1293.4188315944798,0.07555494
0.36,1315.0538718526668,0.27180496
0.37,1318.7926031542434,0.21000162
0.38,1315.7137106464459,0.3444351
0.39,659.7767224105429,0.09315544
0.4,690.5283409841272,0.11369298
0.41,687.722220668905,0.17414461
0.42,676.4529698176989,0.4100407
0.43,663.474502232343,0.30624473
0.44,658.0003934705826,0.107760504
0.45,619.2377501521424,0.11525069
0.46,619.1261821668359,0.055619135
0.47,596.8961006312775,0.0149212
0.48,585.8551427882435,0.051957905
0.49,588.736476401351,0.041577514
0.5,1317.498588691727,0.106692575
0.51,1320.162509105918,0.068491206
0.52,1310.8022459759554,0.08363727
0.53,705.9415523130298,0.0885673
0.54,703.2548262333964,0.13186452
0.55,688.1173499194424,0.56353164
0.56,685.8702419756202,0.44900858
0.57,671.5597018671782,0.28717306
0.58,674.5042791287703,0.4083247
0.59,1208.4882077873856,0.18115418
0.6,1219.8614218602986,0.07061221
0.61,1302.4216437601676,0.038269527
