time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,1322.3029789408579,0.6077194
0.34,1336.7855859370006,0.32571203
0.35,1333.5776848486162,0.073386505
0.36,1305.8444899683034,0.014499027
0.37,706.4241681303986,0.065637596
0.38,702.8945197845206,0.3503586
0.39,703.0923123889794,0.48426664
0.4,704.9860889658801,0.14412852
0.41,289.017263876418,0.01838362
0.42,290.0662275602111,0.12741533
0.43,289.93599434456235,0.21644947
0.44,298.4973894567992,0.29966456
0.45,291.6610374394212,0.013138892
0.46,296.2409146999759,0.0032857317
0.47,303.0106229859984,0.007286303
0.48,299.23142706507207,0.023175243
0.49,294.12032864359287,0.07573974
0.5,288.3280761476448,0.10743068
0.51,300.74711812949323,0.04305995
0.52,284.2269746973154,0.41807637
0.53,280.6310119192651,0.36607546
0.54,285.82196708431076,0.1928374
0.55,272.77602106828135,0.15540601
0.56,261.4533060056213,0.3868148
0.57,259.2466027741779,0.09226221
0.58,265.24596509630277,0.07723402
0.59,266.9089126570137,0.015244619
0.6,277.8484296223394,0.07515671
0.61,287.2708489726453,0.20902485
0.62,286.8938630886725,0.1547622
0.63,283.33928365600025,0.31854475
0.64,277.13873595256985,0.16998193
0.65,272.042103839376,0.27579138
0.66,273.8543879889587,0.5514437
0.67,276.60758650552737,0.2463016
0.68,284.15547803165765,0.32234076
0.69,288.37071450143185,0.5811588
0.7,285.5104357321645,0.31110543
0.71,901.0042199457562,0.15751438
0.72,898.5958160674054,0.09699349
0.73,890.2959847284021,0.038463436
0.74,884.1517279735999,0.0015032836
0.75,882.2510057439033,0.0092472825
0.76,899.9965154626434,0.063991
0.77,896.4704235993374,0.14434686
0.78,891.1686119468226,0.0074768187
0.79,896.6915728303152,0.004221918
0.8,887.6357045635414,0.030035866
0.81,900.844329299449,0.08096037
0.82,916.9169472342468,0.06676275
0.83,928.7063997377946,0.11793956
0.84,926.4188381632152,0.16164836
0.85,984.6329223370183,0.009184707
0.86,987.9917866997204,0.5208503
0.87,992.1343762721399,0.7719535
0.88,1006.0757379139293,0.8354111
0.89,1015.4006919514852,0.94904655
0.9,1019.7436403316422,0.8389927
0.91,1023.6622144965161,0.032972902
