time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,257.54242137091114,0.00025263362
0.15,259.66393032948775,0.027983604
0.16,260.6906954104223,0.041633382
0.17,263.43471567626756,0.0536683
0.18,267.6106166521878,0.086051956
0.19,264.18672676751237,0.02890424
0.2,270.50042434939655,0.12179788
0.21,264.61114092890017,0.13739344
0.22,260.4024737065957,0.21010554
0.23,263.81232108507754,0.43358782
0.24,262.1787360100742,0.118125826
0.25,258.78674337303113,0.12400475
0.26,259.73611028956,0.2291104
0.27,260.9433009409515,0.29852465
0.28,262.4336025669373,0.4104343
0.29,252.55221830032485,0.022142962
0.3,241.86399528094245,0.20997235
0.31,242.50834123977685,0.026909696
0.32,239.3196174664055,0.0661383
0.33,242.78786722473603,0.04035393
0.34,236.5781476516908,0.087787
0.35,241.80706704715973,0.1787619
0.36,236.69393221690842,0.25315472
0.37,289.98502111759365,0.13558906
0.38,293.72218308602714,0.07660315
0.39,290.4367282865048,0.24837935
0.4,290.9455173553439,0.19758739
0.41,290.80217149270595,0.33580709
0.42,297.17507934085245,0.2514799
0.43,294.9205296475319,0.07716063
0.44,302.1721709692421,0.08927744
0.45,296.4621746257345,0.09266506
0.46,292.4970829100113,0.25332242
0.47,290.8840773046073,0.063904636
0.48,293.59596410546726,0.13360153
0.49,293.24395958791035,0.6994033
0.5,297.8524854075976,0.22417746
0.51,290.5083430806139,0.14573738
0.52,292.2715999276033,0.053813055
0.53,295.3824253275708,0.09343665
0.54,290.7404619054647,0.3017214
0.55,291.99589769635236,0.0630049
0.56,291.280014569537,0.22466615
0.57,261.42373332755966,0.036578834
0.58,260.42851896037035,0.009109607
0.59,260.1785075390962,0.042024985
0.6,260.611159704669,0.07201772
0.61,260.9153267466361,0.29587415
0.62,264.31753134950816,0.25853783
0.63,266.72665145285794,0.30590114
0.64,263.4567141629972,0.20117836
0.65,266.04847988931317,0.46259516
0.66,261.84767739833694,0.4933694
0.67,261.6653469095431,0.084310755
0.68,664.2503078578421,0.0740933
0.69,666.997447324801,0.25480753
0.7,662.8705353381237,0.14363997
0.71,670.0780024164227,0.3380624
0.72,663.2388073337386,0.4181925
0.73,674.0836606670941,0.032808043
0.74,676.0010206326976,0.06662708
0.75,678.083765261486,0.10653882
0.76,668.059610357798,0.049939513
0.77,686.101480773864,0.046373196
0.78,685.2723684240391,0.04507096
0.79,1314.150015299118,0.31292614
0.8,1309.4397150175596,0.17587774
0.81,1322.6732139593128,0.32439765
0.82,1319.6910155800072,0.2737032
