time,frequency,confidence
0.0,1053.2381470767778,0.014997374
0.01,1051.6211665229753,0.37693146
0.02,1052.2479103941382,0.07003641
0.03,1048.2186940865863,0.021348236
0.04,1049.5800017509632,0.0049591525
0.05,1062.0028588728017,0.034356892
0.06,1042.3858567234956,0.062536664
0.07,1047.52662228027,0.16741522
0.08,1040.9025847139078,0.03005909
0.09,1026.8764002296318,0.0023003684
0.1,1051.2302104266364,0.15252453
0.11,1049.121545520575,0.14650951
0.12,1041.9712831139477,0.07850998
0.13,1046.3964748821086,0.0011509664
0.14,1048.247961295668,0.08158206
0.15,1049.4002899842058,0.015730465
0.16,1053.2382188026972,0.08379089
0.17,1048.9480669069922,0.32526243
0.18,680.5567892960727,0.027502034
0.19,685.1512764189104,0.06245524
0.2,670.887289717781,0.09562451
0.21,708.3749373434962,0.010500985
0.22,704.7263684742239,0.6514011
0.23,700.8109179485308,0.89003223
0.24,697.4342702012807,0.8353976
0.25,675.6679569171404,0.20497763
0.26,716.0943868333172,0.024275787
0.27,711.7592150907506,0.11242805
0.28,696.414770858773,0.02924579
0.29,705.5368731117306,0.012426909
0.3,710.0187390508625,0.041003417
0.31,704.7447920515465,0.21312472
0.32,700.3510483229902,0.41695443
0.33,688.2935105327658,0.50545585
0.34,683.8030117038021,0.070441246
0.35,662.7574681816538,0.0005109573
0.36,662.0664737416896,0.015721858
0.37,693.704514792213,0.004464339
0.38,710.8403257920909,0.03413692
0.39,702.1478676569815,0.5981086
0.4,697.5758239607721,0.5948681
0.41,687.5019142491095,0.4372749
0.42,679.6000657448703,0.09439654
0.43,679.5335757692004,0.013753939
0.44,680.4468934271445,0.0065757115
0.45,703.2415612582355,0.101436354
0.46,715.5028717796467,0.01815121
0.47,707.4260857295881,0.1556795
0.48,700.5800221866541,0.75990653
0.49,698.0533809405035,0.86525524
0.5,1210.4742248278355,0.30715287
0.51,1215.4249342208157,0.2655068
0.52,1243.0079656429386,0.074633345
0.53,1308.687027401545,0.087211736
0.54,1314.0680292336733,0.08284491
0.55,1316.9119277661198,0.08142441
0.56,1323.9528812122396,0.1580437
0.57,1319.4564568599683,0.24874938
0.58,1342.9951251564098,0.1070525
0.59,1338.1162603723133,0.022439867
0.6,1304.8777446135928,0.11662801
0.61,1312.123979640302,0.031215586
0.62,1317.5971945523454,0.00816186
0.63,1324.0165848351191,0.18348502
0.64,1320.026232267787,0.07796055
0.65,1320.3853502916472,0.08856478
0.66,1321.9985816695803,0.07861591
0.67,1320.1325408698196,0.14644049
0.68,1321.07253611941,0.20461628
0.69,1339.920073265597,0.2091175
0.7,1356.9713146515576,0.07989519
0.71,1353.7646281387263,0.010313219
0.72,1352.2365991510073,0.022460405
0.73,1291.7878056041138,0.04452157
0.74,1313.9771351326008,0.04492852
0.75,1317.3863216800587,0.030734664
0.76,1321.842708262754,0.057239838
0.77,1324.7184507241896,0.24878715
0.78,1317.5430861750197,0.1686121
0.79,1308.4267899287424,0.10903069
0.8,1316.675389352095,0.058112726
0.81,1320.8562431034138,0.038283024
0.82,1321.46745048263,0.14317594
0.83,1318.5309436320515,0.33568823
0.84,1306.6380859848618,0.13790844
0.85,1312.2174128316465,0.122677214
0.86,1321.0285905855337,0.07487384
0.87,1316.6295405583319,0.18264656
0.88,1318.7317404389246,0.35306284
0.89,1343.952154195356,0.090518266
0.9,1351.9859933605571,0.2876662
0.91,453.1550412132088,0.4043973
0.92,462.19781207650544,0.03753364
0.93,466.4638007786028,0.092695735
0.94,466.74103559749085,0.27229622
