time,frequency,confidence
0.0,590.3957407234229,0.47015464
0.01,595.4798406319763,0.014879416
0.02,1299.7725565691305,0.13133536
0.03,1303.9178410932323,0.11976217
0.04,1302.2753668489042,0.064349584
0.05,1294.0272357634458,0.009164957
0.06,1313.6497971159017,0.025623938
0.07,1327.5717301545137,0.27534798
0.08,1351.7044196024074,0.2783363
0.09,1357.005650552894,0.08987999
0.1,1409.3154129140416,0.06090835
0.11,1047.0416696929924,0.39712447
0.12,1045.6068276783046,0.05709202
0.13,1047.9327797893407,0.041677594
0.14,1048.663955094651,0.6044677
0.15,1049.7707688485414,0.2579467
0.16,1047.5253420370532,0.27381268
0.17,1025.054481586299,0.10066681
0.18,1037.6852008196536,0.0039334903
0.19,1045.7280118357803,0.13555843
0.2,1043.3952793439971,0.14836442
0.21,1045.8766865306407,0.11912374
0.22,1047.799290305576,0.20398292
0.23,1053.0052207393157,0.068269804
0.24,1046.6100850096955,0.13822316
0.25,1050.0360002207394,0.38987464
0.26,1039.0265548599084,0.011094341
0.27,1051.6850234404849,0.14382523
0.28,1045.8150133792037,0.12531635
0.29,1042.4025597343361,0.018779822
0.3,1045.5445801449698,0.031595197
0.31,1061.6236027957714,0.022107916
0.32,1052.8513247566043,0.060685556
0.33,1041.4105535112121,0.0093507115
0.34,1035.1550514425728,0.034372985
0.35,1051.072270224413,0.30915487
0.36,1052.3202666966947,0.18265238
0.37,1049.3379079499025,0.09555311
0.38,1044.956247313701,0.46851337
0.39,1036.9983975840996,0.004765178
0.4,1050.8395152215808,0.013819207
0.41,1044.2754266662125,0.037886832
0.42,1012.2752186514616,0.0083314665
0.43,1032.0357911896062,0.18484312
0.44,1035.3862895226289,0.11308485
0.45,1053.678462865866,0.6051269
0.46,1045.0236870662154,0.5031774
0.47,1041.6619088023826,0.21867825
0.48,1033.1671711381032,0.116677344
0.49,1046.9297701649866,0.095657036
0.5,1047.439998863533,0.19945024
0.51,1044.1431710690424,0.35799733
0.52,1039.7260983566507,0.08449067
0.53,1057.5269387342737,0.16421412
0.54,1061.5045864590202,0.016181968
0.55,1045.5481737282691,0.021269595
0.56,1042.8974395934686,0.08570559
0.57,1045.7372530848659,0.24138923
0.58,1019.9135015262455,0.0075879013
0.59,1042.7956588340123,0.32444283
0.6,1030.315830877004,0.17058928
0.61,1049.1661319109144,0.4515486
0.62,1049.3906486846813,0.08865474
0.63,1049.548489214338,0.21644764
0.64,1046.1914907661053,0.026306143
0.65,1047.6973767436655,0.6477417
0.66,1044.6352487780098,0.015627049
0.67,1047.3395646276692,0.05283182
0.68,1043.8709077348421,0.00830066
0.69,1053.2185812131117,0.09220971
0.7,1044.0956455859264,0.011037676
0.71,1064.5764078304128,0.007843649
0.72,1045.8192610535673,0.63377464
0.73,1046.8704961990657,0.1932609
0.74,1049.2676424166702,0.051375
0.75,1050.1862283670046,0.123573266
0.76,1036.9404630712647,0.0068787914
0.77,1055.5668318844796,0.06205445
0.78,1050.3907054913889,0.04832016
0.79,1039.8054097185654,0.08357465
0.8,1040.838799517118,0.24364857
0.81,1041.6455670338232,0.010797486
0.82,1058.7687063117583,0.0057305316
0.83,1054.6405967409592,0.068720154
0.84,1049.2668467474489,0.1833364
0.85,1047.9006425903472,0.021707725
0.86,1045.5858931109017,0.017767945
0.87,1048.4992607137062,0.009604847
0.88,1053.6516758968519,0.051591504
0.89,1048.1095650904285,0.20316717
0.9,1033.482389366459,0.009493947
0.91,1050.5334975395435,0.4518207
0.92,1045.0511677646089,0.2166135
0.93,1396.6663265036752,0.19182166
0.94,1395.2114200034632,0.07865076
0.95,1430.9394593957657,0.0015412471
0.96,1411.8427582332845,0.05007963
0.97,1401.42165959944,0.08839347
0.98,1369.2442083541678,0.087569974
0.99,1389.7336107096814,0.16251104
1.0,1396.6628615206723,0.0082083
1.01,1397.7661560208835,0.14256294
1.02,1401.4770673189516,0.19787934
1.03,1407.4959358713677,0.031839594
1.04,1370.7521479026648,0.02020918
1.05,1362.0014204893812,0.03597684
1.06,1353.8180712754715,0.24398704
1.07,1354.6431903205535,0.099187106
1.08,1408.0275540451205,0.033017658
1.09,1405.8620282672978,0.13576433
1.1,1407.6685326007293,0.16213398
1.11,1049.3207693348304,0.086909205
1.12,1044.2693995425664,0.3170726
1.13,1016.8905811236839,0.04252759
1.14,1055.793973738193,0.08768565
1.15,1051.2577629805955,0.19050375
1.16,1047.1720027551605,0.09975554
1.17,1046.5006844577388,0.58225375
1.18,1050.1682329446426,0.31701458
1.19,1314.76730938843,0.16139776
1.2,1320.7009280248699,0.30643466
1.21,1346.3269887803972,0.27714846
1.22,1361.7984773805936,0.121184886
1.23,1376.6145461499511,0.34375727
1.24,1412.8380736932086,0.05293715
1.25,1361.8446989011877,0.013127854
1.26,1421.7077800528366,0.046644446
1.27,1337.0545563742403,0.017605206
1.28,1326.8921469193322,0.10646029
1.29,1326.6764320104492,0.26830938
1.3,1337.72906253992,0.12065978
1.31,1363.0856948567155,0.23021598
1.32,1381.0507396857852,0.22811708
1.33,1391.6316016478468,0.0450118
1.34,1355.7100225210206,0.02596988
1.35,1315.247561296927,0.09939616
1.36,1303.8710501134585,0.10271013
1.37,1329.5135998464802,0.1937285
1.38,1333.9296720907223,0.20017906
1.39,1360.5494916686716,0.31449017
1.4,1350.8072018263279,0.15640903
1.41,1388.0924674893142,0.060538556
1.42,1411.4134370412926,0.061200652
1.43,1384.5503614425195,0.0037822255
1.44,1388.8945757057875,0.19847248
1.45,1390.1569304972961,0.08182836
1.46,1401.5559496702954,0.4318241
1.47,1395.0145766817516,0.032047663
1.48,1397.0110114871147,0.23405254
1.49,1352.3356598947935,0.027805075
1.5,1318.9184663784208,0.0097258305
1.51,1301.186217822777,0.020211687
1.52,1311.7052485570682,0.06960615
1.53,1332.8689910051592,0.11150135
1.54,1362.7568022400924,0.08131076
1.55,1375.7313849676798,0.1747323
1.56,1401.7754163467819,0.12457871
1.57,1047.2801745039112,0.4251035
1.58,1040.8436113116452,0.119752884
1.59,1048.2941780083318,0.72137123
1.6,1048.175328510803,0.026524747
1.61,1051.5669325046401,0.006680477
1.62,1053.756205250001,0.28248486
1.63,1049.2558355778526,0.07619905
1.64,1043.5341685696244,0.10804962
1.65,1041.566654009603,0.029401205
1.66,1051.588631640228,0.05838626
1.67,1053.1063127440714,0.038373057
1.68,1039.7497000751837,0.016357342
1.69,1038.2438450336465,0.054407727
1.7,1044.033188621591,0.13373987
1.71,1039.4779501567925,0.004389272
1.72,1054.7856069454065,0.072589904
1.73,1038.2218383855063,0.032107197
1.74,1021.7062264590197,0.004798226
1.75,1067.023872316659,0.085604146
1.76,1046.0367114891585,0.061646592
1.77,1046.0010285592718,0.12554696
1.78,1046.7741187363774,0.23731503
1.79,1050.4241714343693,0.059575107
1.8,1045.408864447785,0.26594427
1.81,1045.3295177205275,0.5193922
1.82,1019.3058556873183,0.02099417
1.83,1061.0743911341779,0.06204132
1.84,1043.7364740427706,0.20238936
1.85,1040.9093946903083,0.08517667
1.86,1044.1034043663865,0.12867753
1.87,1041.4532355237566,0.050116792
1.88,1061.4121519161981,0.059444405
1.89,1029.510205336822,0.063240014
1.9,1036.727023460037,0.0721337
1.91,1033.0721006923047,0.085950226
1.92,1060.6443973735143,0.020046905
1.93,1045.2052491062013,0.023788892
1.94,1045.6887271632443,0.2364411
1.95,1030.255738008943,0.07467631
1.96,1049.5509399992732,0.537444
1.97,1050.86211786299,0.3060257
1.98,1044.948037000087,0.4221996
1.99,1043.2590794809457,0.42814347
2.0,1023.1749351852126,0.067923434
2.01,1060.2175000147454,0.16336137
2.02,1052.165970304812,0.09303169
2.03,1072.9986307410966,0.036719874
2.04,1040.3915035258194,0.05105774
2.05,1044.355740674784,0.07294918
2.06,1040.6324428253722,0.0426369
2.07,1043.525086643272,0.033996973
2.08,1052.4340563315855,0.010275398
2.09,1046.5002096963433,0.03857291
2.1,1043.6424695410394,0.2026662
