time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,0.0,
0.34,1322.9491315089992,0.3191227
0.35,1322.0942371483716,0.08038205
0.36,1410.2015713812239,0.08778842
0.37,1421.118300301826,0.084288895
0.38,1410.1421858385377,0.10422446
0.39,1342.737927117985,0.0363429
0.4,1324.4577638222117,0.048373878
0.41,1300.327096076101,0.016540281
0.42,1314.3113488753502,0.020234546
0.43,1323.8980741652222,0.16975276
0.44,1313.3025875154513,0.16590527
0.45,1311.490757998441,0.14361764
0.46,1320.1494064282076,0.14218989
0.47,1333.2314136949408,0.19645485
0.48,1358.2243830008224,0.2005381
0.49,1348.8233044412696,0.20172153
0.5,1327.8496440571976,0.14141425
0.51,1313.828552750017,0.18762703
0.52,1304.1440834112332,0.044446647
0.53,1325.9319738611302,0.13447227
0.54,1344.0164927763471,0.14238994
0.55,1355.6254233832715,0.15676555
0.56,1386.4849045297983,0.02971021
0.57,1381.8314751155478,0.099223
0.58,1345.9611836600461,0.13148539
0.59,1313.6556011121165,0.07586183
0.6,1299.2766333221655,0.038920578
0.61,1296.659019059448,0.014271942
0.62,1315.0169506682882,0.031894475
0.63,1321.7764570104894,0.24339515
0.64,1330.5047216200742,0.17354558
0.65,1332.5429642782406,0.053222783
0.66,1305.7359917172514,0.10896592
0.67,1336.0110309731115,0.069760896
0.68,331.75840997354396,0.3667144
0.69,331.599969453526,0.35608804
0.7,328.18281608683066,0.18151277
0.71,317.8204625004992,0.40587115
0.72,302.976461168204,0.02572178
0.73,288.31130323525264,0.3720256
0.74,291.1051127150208,0.68698037
0.75,288.68376712071125,0.46305102
0.76,297.60735778076463,0.3546807
0.77,302.54444718589934,0.6631285
0.78,303.29814364656534,0.8234297
0.79,305.6402304141222,0.6639701
0.8,308.75708620031367,0.5436813
0.81,301.2434743504939,0.8153232
0.82,303.8342756195401,0.6442823
0.83,302.2611337717248,0.60778874
0.84,303.39756129217636,0.2305436
0.85,296.6389519271027,0.13939446
0.86,290.131311072052,0.5743734
0.87,294.58110595189316,0.8927339
0.88,296.33158895149273,0.87943953
0.89,297.37313881044986,0.9499595
0.9,297.6446874736666,0.9333926
