time,frequency,confidence
0.0,268.5881450743383,0.029514631
0.01,264.7898453610751,0.063137054
0.02,253.00391303925753,0.06548239
0.03,260.1992180356272,0.08263587
0.04,259.45438996690376,0.36916894
0.05,261.8034963008051,0.42214862
0.06,259.33957857121777,0.6179142
0.07,263.1255709332983,0.3192
0.08,265.57548180926125,0.26553082
0.09,256.87410534566357,0.010297564
0.1,260.8988277457636,0.15146649
0.11,259.82028729500576,0.062157344
0.12,264.3185684482978,0.078679465
0.13,272.9010669030213,0.06107241
0.14,267.21447306686844,0.16194105
0.15,265.91936197588836,0.17577168
0.16,267.53341402675665,0.35007796
0.17,266.2679618294001,0.58233726
0.18,262.2556868822627,0.032310367
0.19,354.81933870025966,0.08813307
0.2,352.0039457026885,0.45346126
0.21,351.4221514398759,0.77910817
0.22,350.04219806179526,0.6716362
0.23,442.36914716441186,0.20908625
0.24,444.7929105663986,0.1906015
0.25,440.1388895106271,0.04974664
0.26,440.2133674110882,0.56590605
0.27,442.1747540185403,0.58330977
0.28,443.13977855973286,0.30546865
0.29,444.073645147086,0.022358652
0.3,444.87283654137707,0.09509443
0.31,451.36065803573297,0.25226787
0.32,457.8671579147095,0.26760206
0.33,464.0387678236797,0.080720656
0.34,268.3005742847536,0.27542615
0.35,264.06470536158974,0.108653635
0.36,263.8596182338285,0.69459534
0.37,258.9999885920145,0.32698184
0.38,262.6517668665224,0.12555507
0.39,264.51425835053107,0.08943806
0.4,262.9312371441813,0.22302915
0.41,263.0633052394672,0.14950918
0.42,261.02897573616053,0.53037596
0.43,259.1171466162121,0.050766375
0.44,264.1267252109429,0.29867384
0.45,260.8348864468168,0.6658333
0.46,261.49866308477937,0.42729723
0.47,259.3645302537026,0.4679143
0.48,259.3270933368729,0.122563034
0.49,252.9044946106559,0.16052537
0.5,250.67313460476382,0.073338546
0.51,314.77615895467096,0.5000757
0.52,313.91221062048965,0.52399045
0.53,309.9704983189369,0.37404063
0.54,315.23962027392423,0.118615665
0.55,331.0263736077536,0.26600364
0.56,333.39051668705247,0.17523433
0.57,331.0770999406708,0.29997668
0.58,328.94355494020647,0.13549668
0.59,326.08985386239556,0.020902477
0.6,327.0220507251145,0.663866
0.61,318.2999670073229,0.123452045
0.62,324.15673668414206,0.46614197
0.63,336.4657401777081,0.007718727
0.64,339.37451679179856,0.21059725
0.65,339.2949541776796,0.0478945
0.66,341.6678878783403,0.052336555
0.67,337.0169910125817,0.11368071
0.68,333.52800837773935,0.09376457
0.69,290.27811415530726,0.36996406
0.7,291.8161840400727,0.5646236
0.71,290.4973801325241,0.7638382
0.72,292.155478479908,0.7127762
0.73,293.3447834604744,0.81730676
0.74,293.75213079181765,0.5966628
0.75,294.4311440006801,0.91495293
0.76,293.56432708204284,0.9443029
0.77,294.4847390492188,0.9725624
0.78,294.94676873705794,0.9695374
0.79,295.0690350720515,0.96784043
0.8,295.37112232209773,0.9582128
0.81,295.4695533899264,0.958646
0.82,295.9821328500103,0.92129123
0.83,295.81514423202265,0.92766535
0.84,295.9715144031698,0.91629875
0.85,295.9766142193792,0.91825616
0.86,295.9010827287337,0.92285115
0.87,295.64064591669904,0.9314039
0.88,295.26664501473226,0.93894225
0.89,294.9769285309654,0.9416301
0.9,294.97065041384815,0.9540203
0.91,294.93024513696,0.970499
0.92,295.04425506213175,0.9739812
0.93,295.41766008516,0.9639482
0.94,295.1524875236905,0.97592795
0.95,295.0032779927743,0.9839425
0.96,294.8345230240288,0.9820587
0.97,295.4849740810688,0.94331515
0.98,297.053103932549,0.84760356
0.99,298.78933085132866,0.66300756
1.0,297.15793957973636,0.37783453
1.01,296.51649102923216,0.29881886
1.02,295.90677533417204,0.21871525
1.03,295.2452454277974,0.24153066
1.04,297.1756630451711,0.18873405
1.05,296.0097921115257,0.19187593
1.06,294.8944553115881,0.1861697
1.07,293.0514275003854,0.2263897
1.08,293.66964966759326,0.40652558
1.09,293.7395179672652,0.45089182
1.1,292.16640882318006,0.807534
1.11,292.1458952786646,0.8687934
1.12,293.08085048019024,0.76862955
1.13,293.1773774511892,0.597344
1.14,294.2153452644631,0.7582346
1.15,294.37776297373006,0.5444555
1.16,448.5047090965728,0.6140287
1.17,457.77180689139186,0.768051
1.18,467.615756273296,0.9540251
1.19,469.3311094292743,0.9243829
1.2,468.5759932851995,0.79572743
1.21,466.9246585184981,0.66950035
1.22,925.7218275510216,0.85699385
1.23,923.6041483214783,0.95186824
1.24,922.8410576551541,0.9473864
1.25,926.6412162625959,0.9357348
1.26,936.6698467292608,0.96535516
1.27,941.3990607975085,0.8873911
1.28,938.664460801946,0.9503465
1.29,935.1824087848092,0.97645175
1.3,925.0257358287911,0.944375
1.31,917.5831307916817,0.9308556
1.32,914.8621669756822,0.96421856
1.33,921.5805704800498,0.9257078
1.34,928.5123636076344,0.89876485
1.35,936.802496188237,0.9674965
1.36,940.3676559892398,0.9023254
1.37,940.8069084362888,0.8971887
1.38,939.3231612608139,0.9311566
1.39,938.1067519264463,0.9651017
1.4,936.5473904951782,0.9817932
1.41,932.0779123095302,0.94217247
1.42,928.4667781700995,0.7348611
1.43,929.938606000733,0.8951264
1.44,933.1667773142331,0.7562315
1.45,911.9504766761929,0.58314025
1.46,898.1613947310245,0.82190734
1.47,898.462767040108,0.90915334
1.48,896.9806500055638,0.9421393
1.49,896.4428236622841,0.9494522
1.5,896.9604134977155,0.9413456
1.51,898.2664118622833,0.89882576
1.52,897.2870721378392,0.85173774
1.53,898.9879546125892,0.83584046
1.54,908.0060668875612,0.39249754
1.55,293.06753398129723,0.54550284
1.56,291.7098578324062,0.6269804
1.57,295.57784745414483,0.40302196
1.58,300.49012376006596,0.7571336
1.59,300.25471908112036,0.23362428
1.6,298.7366461309408,0.001785394
1.61,299.6470191204593,0.027336027
1.62,300.19661046468707,0.56272244
1.63,298.94686998426926,0.27867353
1.64,299.40695735909287,0.5783296
1.65,298.4839401576106,0.4915323
1.66,300.3050539083975,0.02109636
1.67,299.36413537048077,0.46480262
1.68,298.64709994467523,0.41459128
1.69,300.3152564694512,0.7589186
1.7,697.299845060149,0.39650092
1.71,703.3426216107637,0.8795942
1.72,703.961821423435,0.92264664
1.73,704.6401606148036,0.90041506
1.74,704.9313635185865,0.8855916
1.75,704.3037777269524,0.904993
1.76,702.6792601525989,0.933883
1.77,699.8442943153067,0.92912036
1.78,691.9789049362012,0.43020523
1.79,297.8640798979933,0.4280955
1.8,298.2910844342999,0.893423
1.81,298.6165706833168,0.9256866
1.82,298.9531901416997,0.86693466
1.83,300.1918277359687,0.79318345
1.84,309.6480938390477,0.56267333
1.85,314.71768638434975,0.71819305
1.86,314.9077390438038,0.78839767
1.87,314.0209094644786,0.8726408
1.88,312.69876809129386,0.9216318
1.89,305.7060303081614,0.48272792
1.9,300.2601918861602,0.34044805
1.91,297.0899024602135,0.008085634
1.92,295.2178646749855,0.0020570406
1.93,291.94379477535097,0.01657121
1.94,294.8448876693497,0.45543164
1.95,294.90244095944007,0.71181965
1.96,297.75132790859845,0.9472525
1.97,297.67467898670316,0.9521699
1.98,595.1655245935676,0.96498626
1.99,595.422840676551,0.98590994
2.0,594.6971734453355,0.97970486
2.01,594.4002531604777,0.97324556
2.02,594.3616040727641,0.97094846
2.03,593.2524301275072,0.91177845
2.04,294.4544450167,0.7764019
2.05,295.02592507592436,0.87572587
2.06,295.54755244686027,0.8784328
2.07,295.6235402275204,0.8981074
2.08,295.822902731884,0.6802582
2.09,524.0058187571535,0.17087239
2.1,525.6280011719264,0.9588121
2.11,524.7538840783251,0.98900735
2.12,524.921358120418,0.9923171
2.13,524.7187499141609,0.9859261
2.14,524.603741709834,0.9820968
2.15,526.3756064885628,0.96663296
2.16,527.0003929554836,0.9521145
2.17,525.8891327594524,0.97580713
2.18,525.2481647645902,0.601834
2.19,294.46419755440917,0.34606776
2.2,294.84822694803097,0.6123169
2.21,297.4647935797091,0.2743171
2.22,460.4298272735492,0.5944003
2.23,467.87467940626647,0.9643583
2.24,467.83776052874197,0.9837015
2.25,467.9371112049133,0.9862851
2.26,467.35454224392873,0.9848887
2.27,465.69121337807655,0.95180905
2.28,465.33998703196863,0.91284657
2.29,467.0698567604342,0.7418208
2.3,467.0915710891441,0.78101593
2.31,468.3120830163552,0.7249713
2.32,462.6093257225835,0.0316074
2.33,443.8006529262072,0.029240415
2.34,433.70164185644404,0.47900766
2.35,434.8588367232676,0.82962525
2.36,439.5813280089569,0.9296787
2.37,439.68887739725113,0.94104123
2.38,439.95260493749936,0.9551654
2.39,440.4531506889898,0.9751559
2.4,440.5808617490621,0.9779273
2.41,440.48884747702317,0.9708025
2.42,440.62540393696213,0.9708444
2.43,440.7199731566875,0.96656746
