time,frequency,confidence
0.0,1013.2911350951726,0.028870312
0.01,1021.4514237487925,0.06290095
0.02,1026.4444527725811,0.098596916
0.03,1025.676672320876,0.11657121
0.04,695.9999965584773,0.26105368
0.05,680.5839587430771,0.2808906
0.06,681.155993906031,0.20861684
0.07,711.376050350257,0.047760632
0.08,1423.9410117635316,0.08046025
0.09,1374.3255375116555,0.011310213
0.1,1426.5003115394268,0.065735236
0.11,1414.5001544844647,0.15754782
0.12,1428.782079982451,0.05160097
0.13,702.5297604266802,0.5283216
0.14,697.196558687159,0.6370469
0.15,690.0105454195904,0.44885164
0.16,683.7744553090586,0.4508079
0.17,676.2315207219899,0.32407814
0.18,668.0806966635539,0.29919276
0.19,1318.989950334883,0.016733322
0.2,1308.6261736542804,0.096722566
0.21,1319.1833796555638,0.218419
0.22,1319.9761500805946,0.21964812
0.23,1305.0431367764124,0.0070089377
0.24,1315.5498298814712,0.009093802
0.25,1311.6137654983515,0.14612383
0.26,1305.720898290448,0.010360722
0.27,1306.6908029967155,0.008277652
0.28,1313.723329986194,0.00944975
0.29,1298.0682508889665,0.003219395
0.3,1297.8334427026552,0.00026796755
0.31,1321.1837625936791,0.0020825397
0.32,1320.9741380774012,0.0025520849
0.33,1318.7345440407532,0.0034649938
0.34,1328.9470214929304,0.013652302
0.35,1325.7523795266761,0.017378123
0.36,1316.0797615497438,0.034208152
0.37,1321.189993987252,0.12444266
0.38,1318.5411099500147,0.31285524
0.39,1334.4097005138703,0.19922896
0.4,1337.9828880730756,0.07654605
0.41,1311.9049077284265,0.025397323
0.42,1311.7502077992933,0.2566304
0.43,1313.5253799143904,0.39168683
0.44,1317.4847515271458,0.2765009
0.45,1311.6013132789383,0.0039496887
0.46,1298.6451018320613,0.0010938826
0.47,1326.5032012198378,0.10467032
0.48,1320.6136531569964,0.24245805
0.49,1324.4852187638644,0.0436513
0.5,1336.701518318111,0.031026667
0.51,1302.828576605562,0.075145274
0.52,1314.0766471102927,0.13610253
0.53,1306.1847044465683,0.04666616
0.54,1323.4199879661055,0.10707783
0.55,1313.7095595076391,0.03524925
0.56,1310.0500782768395,0.018400181
0.57,1319.8400760767142,0.027688166
0.58,1315.1069977422842,0.14848466
0.59,1318.5339003524311,0.21811566
0.6,1330.0413004148454,0.09175657
0.61,1314.7397832711194,0.0012228796
0.62,1324.5406144049812,0.023793142
0.63,1317.458709700822,0.11353586
0.64,1287.233576702004,0.04361483
0.65,1303.3215085162915,0.009107791
0.66,1310.311106021146,0.0015857258
0.67,1321.553202280719,0.009625313
0.68,1326.8223297597324,0.034124993
0.69,1317.7700206701809,0.079444006
0.7,1325.0859302938195,0.20525938
0.71,1315.7927662778072,0.2109365
0.72,1310.4444603629527,0.068507634
0.73,1319.2839992467912,0.16121301
0.74,1313.3124240534696,0.06982378
