time,frequency,confidence
0.0,692.8591274106252,0.112659335
0.01,701.0277241816067,0.028268069
0.02,689.1248759733645,0.03129282
0.03,697.7640103153362,0.007824976
0.04,719.1184819778694,0.014767977
0.05,702.6815181368042,0.570044
0.06,695.0818691712367,0.2821852
0.07,667.5360207610308,0.028944964
0.08,703.7682051683668,0.0022865487
0.09,716.1520721196794,0.0033276617
0.1,703.0976983398931,0.5378525
0.11,701.1452589180506,0.2605408
0.12,688.0935717518464,0.41707152
0.13,686.5962473027664,0.45311576
0.14,668.8028984592418,0.01048444
0.15,714.9107737202189,0.00087400706
0.16,725.8953363676495,0.0007939281
0.17,709.242485088825,0.06165103
0.18,703.2224323976859,0.53229433
0.19,696.3619237398673,0.6022881
0.2,686.522138970355,0.534219
0.21,681.2292270702823,0.26113018
0.22,683.9343964285874,0.025246419
0.23,707.8514827892712,0.032049187
0.24,705.0281538736397,0.5052833
0.25,700.3460042687515,0.70480835
0.26,696.3688436180915,0.29422835
0.27,677.9191212807739,0.3117156
0.28,659.7017891117997,0.047240227
0.29,301.0932834697254,0.10885828
0.3,305.9413641796705,0.16383381
0.31,312.9057738567313,0.54042864
0.32,306.56360453825476,0.22483781
0.33,309.5530701699306,0.07283262
0.34,295.9372053115025,0.16678068
0.35,290.3457326036807,0.5336393
0.36,278.05869542176714,0.015761524
0.37,264.29706326085375,0.13070121
0.38,264.3185542313563,0.32704636
0.39,263.96249060517965,0.1165012
0.4,198.74961444532227,0.1578993
0.41,196.03850802020952,0.6251923
0.42,196.62045256630626,0.03053173
0.43,200.56916864213724,0.05217921
0.44,308.178421675843,0.10084874
0.45,306.21568254433805,0.15061732
0.46,307.73208419127167,0.048472706
0.47,317.12559829313085,0.03262984
0.48,311.1470801286125,0.09944792
0.49,309.29521707274426,0.30638924
0.5,318.41034511017034,0.3830637
0.51,327.84038700291603,0.008865311
0.52,333.09727278396343,0.07717453
0.53,336.39639263775257,0.11255177
0.54,330.64660772186085,0.68990624
0.55,525.001619866791,0.4105028
0.56,523.1885000030558,0.8327127
0.57,521.8627358267329,0.85539645
0.58,519.7211288410044,0.9317758
0.59,516.5592777030432,0.8347447
0.6,511.33454233119716,0.8550354
0.61,511.03748875212125,0.8594415
0.62,508.90057374990397,0.8892056
0.63,506.5241942845778,0.89097
0.64,510.31324228883653,0.7965433
0.65,514.0479183755139,0.87122315
0.66,517.552362590891,0.8912311
0.67,518.2695282345362,0.94423103
0.68,519.1549791050456,0.9394932
0.69,518.9792554185208,0.89903176
0.7,518.7146703440787,0.9164274
0.71,519.1876840363839,0.89311045
0.72,519.8433365289962,0.9082808
0.73,521.1415767306539,0.88378817
0.74,522.1999021514158,0.838042
0.75,522.3785513419903,0.81337816
0.76,522.6750384715482,0.8197848
0.77,523.3401243451094,0.78092504
0.78,523.6803178238553,0.7681982
0.79,523.569675756481,0.7368902
0.8,523.3749066794697,0.7952348
0.81,523.1469215834237,0.6226763
