time,frequency,confidence
0.0,1317.9681426413993,0.40325087
0.01,1322.9331367839538,0.3549585
0.02,1314.430023593777,0.19903779
0.03,1320.7195073278358,0.21044505
0.04,1317.8638582412004,0.3972018
0.05,1314.412761351653,0.27638447
0.06,1309.548298895963,0.34437293
0.07,1313.4299791518383,0.45444816
0.08,1315.0552213864862,0.23731337
0.09,882.7350459897424,0.03437484
0.1,859.333175438645,0.016281286
0.11,865.2337272129641,0.023028014
0.12,880.9406114843246,0.014134097
0.13,897.316647958163,0.015825603
0.14,888.9427514185803,0.01681784
0.15,883.1802742444511,0.0024729632
0.16,890.7457683074637,0.404457
0.17,896.2974242783082,0.043192428
0.18,896.7987641532478,0.014926732
0.19,898.002155108194,0.1082764
0.2,901.3413454494803,0.07097849
0.21,901.4158103605887,0.1263295
0.22,1318.1211910888678,0.34585175
0.23,1314.7953360654149,0.4568665
0.24,1318.5755242878756,0.3475824
0.25,1315.345183749954,0.18369353
0.26,1300.6477216464893,0.09592509
0.27,601.4997066480406,0.15885833
0.28,256.48092123381406,0.23089555
0.29,259.23543360619726,0.35841534
0.3,260.5172863294589,0.09958267
0.31,262.1596430280537,0.20695268
0.32,262.8570368961798,0.1664658
0.33,259.4548041735744,0.06312258
0.34,258.6438997426416,0.03346222
0.35,261.7342758319096,0.095406175
0.36,265.57958493620515,0.10049946
0.37,269.2893349599437,0.04229533
0.38,269.2441016586706,0.41627535
0.39,269.52494154513533,0.054926813
0.4,265.63695044291705,0.02629808
0.41,264.39346760871075,0.010370374
0.42,265.49636166795545,0.03565532
0.43,261.8658006593048,0.020720558
0.44,258.8222064809743,0.0022359872
0.45,259.2892067541545,0.008256892
0.46,258.31334143233113,0.021749342
0.47,263.1756319579512,0.037983082
0.48,260.12532131535795,0.50336903
0.49,259.93620143834653,0.4427849
0.5,258.4286885941934,0.20145254
0.51,260.3784233520611,0.04952546
0.52,416.1530380848887,0.10611914
0.53,407.34892592709923,0.55113333
0.54,411.3857734705318,0.91543454
0.55,413.3350103943261,0.933582
0.56,414.6299246873282,0.93678355
0.57,415.2777802411947,0.97077334
0.58,415.7368688194341,0.98169863
0.59,416.339878100242,0.98671585
0.6,416.5953169074288,0.9873934
0.61,416.7236393311531,0.9873475
0.62,416.85105677043055,0.98745686
0.63,417.1334125143307,0.98658437
0.64,417.23729593952794,0.9854248
0.65,417.2628385128238,0.98490673
0.66,417.5723099000919,0.98142195
0.67,417.73637482185893,0.9776999
0.68,418.2816600586192,0.968775
0.69,418.48117242838526,0.9627947
0.7,418.53841604178933,0.96021795
0.71,418.42283160890787,0.962577
0.72,419.00575497136765,0.9359676
0.73,419.21536923656555,0.9104292
0.74,419.4479661646099,0.75652856
0.75,207.73096224107388,0.51338804
0.76,207.05454291533658,0.66324854
0.77,206.5571192193622,0.9189079
0.78,205.8746350460287,0.9589748
0.79,205.0860414001424,0.95506203
0.8,205.1136989923184,0.94878066
0.81,204.62098744982822,0.90248483
0.82,204.62105637069072,0.8961834
0.83,204.35134485213536,0.8583166
0.84,204.19128128602523,0.85689867
0.85,203.82500673646547,0.76474565
0.86,204.07383295817402,0.82567054
0.87,204.9269615290745,0.95322067
0.88,205.5279596612827,0.96839046
0.89,205.53513213040887,0.9674181
0.9,205.8855482654455,0.9709217
0.91,205.9804630935707,0.97397536
0.92,205.64641238865653,0.97144055
0.93,205.1047506413073,0.9641668
0.94,205.29543102272225,0.9668384
0.95,205.52120245350167,0.9666462
0.96,205.51948714184888,0.95707387
0.97,205.90812350214304,0.96127063
0.98,206.13592850196233,0.95732987
0.99,206.5052165350192,0.94491845
1.0,206.92021746426622,0.9268975
1.01,206.91258687715776,0.92909896
1.02,206.94219201384794,0.9376123
1.03,207.14107786582042,0.9383305
1.04,207.27768286524793,0.89927787
1.05,207.6187199627432,0.72156596
1.06,207.76317017971434,0.4745764
1.07,208.06517035176552,0.06382574
1.08,208.3100528130068,0.14126794
1.09,207.90892712760328,0.93529266
1.1,207.39601273970345,0.85923684
1.11,206.9165455290917,0.8615408
1.12,206.24324314450948,0.9614571
1.13,206.03902713183857,0.9728546
1.14,206.06547403777412,0.9772903
1.15,206.09757302628864,0.9774435
1.16,206.62586684071982,0.95893896
1.17,206.55160021425561,0.9579562
1.18,206.65868360417252,0.95260954
1.19,206.8215055526555,0.9539501
1.2,206.79657720519577,0.96068466
1.21,206.96308765290578,0.9554699
1.22,207.01105195016876,0.9562715
1.23,207.19047745678222,0.95144653
1.24,207.18091575543377,0.948893
1.25,207.2535022385302,0.9515903
1.26,207.42014428797512,0.9646252
1.27,207.5138850893056,0.9608757
1.28,207.0521099922905,0.93421793
1.29,206.98508388092037,0.9352621
1.3,207.1480798360022,0.9538039
1.31,207.40073848714206,0.9650926
1.32,207.60648595153765,0.9696751
1.33,207.67153830822605,0.9694456
1.34,207.6570224142264,0.96634865
1.35,207.60636940139105,0.9632107
1.36,207.48317790951336,0.9551295
1.37,207.66557618117375,0.9660305
1.38,207.92115736015205,0.9736477
1.39,208.09074930869463,0.97129154
1.4,208.26403983167756,0.9656605
1.41,207.85236904145643,0.9545579
1.42,207.6921911430264,0.9523438
1.43,207.89714608212626,0.94633
1.44,207.82530457320942,0.9416666
1.45,208.21269860022002,0.9467557
1.46,208.2685081646468,0.95267516
1.47,207.88305535352706,0.9523675
1.48,207.83684517446392,0.95115674
1.49,207.89413590931147,0.95348895
1.5,207.70491675804863,0.9495254
1.51,207.39414998014445,0.94745123
1.52,207.44510205062755,0.9492041
1.53,207.1535094190148,0.93712133
1.54,207.05442884106668,0.9287443
1.55,207.4218521663688,0.9496986
1.56,207.61263640057228,0.95850736
1.57,207.96583146314137,0.9671458
1.58,207.68609225196386,0.96310455
1.59,207.36610588751506,0.95026064
1.6,207.1055788441204,0.94381106
1.61,206.963463712222,0.9337533
1.62,206.90270565039216,0.92253906
1.63,206.86878745723075,0.91251373
1.64,207.03447188483898,0.91732514
1.65,207.2225162645551,0.8970264
1.66,207.5442698825791,0.88337153
1.67,208.05396933232663,0.687224
1.68,208.5060890773574,0.6593574
1.69,208.5388463955211,0.9257049
1.7,208.2761415359366,0.95603263
1.71,208.2209994103641,0.96713537
1.72,207.9765132162069,0.9638732
1.73,208.0387886457965,0.95423615
1.74,207.60285380451052,0.9343303
1.75,207.8191731380716,0.93291485
1.76,207.9736382843373,0.9457805
1.77,207.92447175981525,0.94739795
1.78,207.7480415982858,0.94959724
1.79,207.7125961030211,0.9495435
1.8,207.657451472582,0.9419082
1.81,207.51582338496206,0.91874975
1.82,207.17705341275553,0.9400275
1.83,206.95774220720025,0.9531325
1.84,206.51329592419702,0.970117
1.85,206.901181704535,0.9557418
1.86,207.50349869163944,0.9159602
1.87,208.18345726448342,0.82494676
1.88,206.97843979389756,0.94115347
1.89,206.74131273804332,0.93666166
1.9,206.7148357495348,0.90386486
1.91,206.77760568123148,0.8823984
1.92,207.00860813153736,0.89244527
1.93,207.18032880813922,0.90381616
1.94,207.18536198437664,0.882217
1.95,207.26570407845557,0.8946333
1.96,207.3437155375891,0.9045638
1.97,207.75206843659802,0.8949524
1.98,207.99929833707722,0.88342845
1.99,208.47996133043083,0.90154785
2.0,208.77522014128675,0.9342527
2.01,208.76806797737987,0.9451366
2.02,208.71524930292696,0.9475621
2.03,208.19806222463563,0.93071574
2.04,207.82917472440775,0.899293
2.05,207.7261235819648,0.9396114
2.06,207.37816816538066,0.9355511
2.07,207.25221645897207,0.9281827
2.08,207.04829332756248,0.9177394
2.09,206.9732491894203,0.92949575
2.1,206.89252185211726,0.94006056
2.11,207.0597924976069,0.9362571
2.12,207.0655714420127,0.9462165
2.13,207.15121056644082,0.94096774
2.14,207.1261043505065,0.9384474
2.15,207.20174787191368,0.932908
2.16,207.2768453226978,0.9212897
2.17,207.16354175449032,0.93444425
2.18,207.09127857048833,0.9314129
2.19,206.89964096165752,0.8803418
2.2,202.7391278573831,0.42205077
2.21,200.84970623512646,0.7346497
2.22,198.92418481521986,0.94705963
2.23,198.11298706820025,0.91261846
2.24,198.2292546407268,0.8863811
2.25,198.2366081001996,0.75246835
2.26,198.17562952882088,0.57387364
2.27,198.3504695949244,0.37274215
2.28,198.32235986045916,0.15346354
2.29,198.43716040161036,0.00417172
2.3,198.75577107538942,0.08368627
2.31,198.8186027693418,0.025050895
2.32,198.4006214832232,0.81716657
2.33,198.62463080016795,0.9362416
2.34,201.04035582284217,0.72044086
