time,frequency,confidence
0.0,1176.004976085515,0.037314158
0.01,1187.6899592721234,0.0018374999
0.02,1328.8892585387425,0.18723494
0.03,1319.9458802452068,0.48038706
0.04,1329.7493849237233,0.054472137
0.05,1409.3894306002862,0.26743954
0.06,1360.4651543684963,0.032643203
0.07,1422.5628714012173,0.12314561
0.08,1350.6427355759579,0.02171218
0.09,1327.6648847614815,0.032838136
0.1,1333.8809624459432,0.14180239
0.11,1383.0299440754075,0.14350453
0.12,1352.5397669476415,0.1409367
0.13,1329.6131184337776,0.0394917
0.14,1317.1865124612668,0.0024187579
0.15,1289.0035634271667,0.024381729
0.16,1321.6653342853351,0.07833407
0.17,1320.86984949053,0.2225656
0.18,1331.9341180615825,0.1589354
0.19,1305.3685129017717,0.07805836
0.2,1054.2037357986262,0.21085462
0.21,1033.562134152069,0.010421028
0.22,1051.2363870146207,0.46168867
0.23,1051.6601482894364,0.15359226
0.24,1046.0275788069257,0.26787204
0.25,1041.564878916935,0.20447308
0.26,1013.4242700286031,0.0040905806
0.27,1058.772457609605,0.08819459
0.28,1049.4682929257917,0.12875372
0.29,1041.808752807556,0.049446587
0.3,1044.1743120013437,0.55064964
0.31,1029.1132891373545,0.12368524
0.32,1054.7938898293917,0.2731913
0.33,1044.1381838074385,0.046303004
0.34,1046.847947970573,0.007998218
0.35,1047.3884541579323,0.017899431
0.36,1055.9431415605113,0.027912734
0.37,1039.9829864246349,0.027094828
0.38,1048.4233541723547,0.17443651
0.39,1040.831381033048,0.01100951
0.4,1050.4311439768449,0.37733006
0.41,1041.9621322586768,0.07093694
0.42,1033.4347876555473,0.0618208
0.43,1039.7467752604118,0.20197242
0.44,1037.9883525159764,0.049981534
0.45,1026.1305451971223,0.012771014
0.46,1055.8339077945884,0.011241688
0.47,1057.4366927906453,0.05731007
0.48,1048.8376656494777,0.14226931
0.49,1043.214407925154,0.014987009
0.5,1031.6838040878392,0.00077583414
0.51,1051.2789829139297,0.11877544
0.52,1043.736804416324,0.13225982
0.53,1043.8389280378944,0.09787081
0.54,1042.9896177389119,0.14923434
0.55,1030.4912463948804,0.021553796
0.56,1040.057053448092,0.032817453
0.57,1042.2003807393403,0.050544858
0.58,1030.5176525080633,0.10038982
0.59,1041.878829239432,0.3004377
0.6,1034.5995269880339,0.13478842
0.61,1050.078471920821,0.22351111
0.62,1047.9838295832856,0.6910312
0.63,1043.61484608807,0.13048944
0.64,1045.6316417991147,0.5842396
0.65,1040.9263029692133,0.2902303
0.66,1064.7270180199528,0.03675443
0.67,1045.291461550206,0.043104645
0.68,1053.0690886958782,0.01762189
0.69,1044.2211581891363,0.3310883
0.7,1038.2128166723437,0.23421429
0.71,1023.0182789360126,0.09381611
