time,frequency,confidence
0.0,220.81147209511826,0.3235741
0.01,223.46760180076228,0.32325876
0.02,226.94989728355014,0.25935367
0.03,227.59099292924685,0.31977162
0.04,223.04451868343975,0.17808123
0.05,262.7507960109035,0.0031290178
0.06,261.2833620592084,0.00929584
0.07,264.9041383128223,0.11117494
0.08,264.30765978009276,0.060503177
0.09,265.1819964925757,0.03198982
0.1,260.6331119637312,0.0018877318
0.11,259.3291299904718,6.0716102e-05
0.12,260.2991650468009,0.001408134
0.13,261.760739432057,0.07571057
0.14,261.69343177027247,0.019040354
0.15,265.72327629540894,0.22518727
0.16,257.39489750068356,0.23409905
0.17,260.16385553167834,0.35132116
0.18,261.2739728157324,0.11783588
0.19,261.7694240476396,0.11592901
0.2,263.5736973414638,0.17121157
0.21,257.19803894195223,0.07073428
0.22,256.7839420147633,0.034266636
0.23,261.7064910771841,0.10628938
0.24,263.87831543064965,0.1265131
0.25,266.99556691577055,0.043739974
0.26,269.2055643083249,0.2991021
0.27,268.25313908186865,0.027958227
0.28,265.955082350128,0.019238308
0.29,263.83678977760144,0.006184784
0.3,265.77006809962666,0.036301415
0.31,261.9952053241618,0.026314527
0.32,259.47261586578696,0.0053186743
0.33,259.3056768340426,0.009233667
0.34,258.53534133486045,0.015959146
0.35,263.0712747187311,0.03466376
0.36,259.285498531769,0.44263968
0.37,259.22628632588385,0.36504295
0.38,259.54048422428025,0.42980063
0.39,256.84310004481625,0.105901524
0.4,263.38607060897164,0.20815077
0.41,261.401696514129,0.23930475
0.42,260.7266886629178,0.10736034
0.43,259.78392050690695,0.023410419
0.44,267.97399074512015,0.029954754
0.45,213.6040466010224,0.28841358
0.46,219.24702127288253,0.36306736
0.47,224.53083961958922,0.51387596
0.48,704.1906303388178,0.50015265
0.49,707.3892613770596,0.78579813
0.5,704.4756673698796,0.8725869
0.51,694.7369237305697,0.7256751
0.52,704.6190350077087,0.82283777
0.53,708.7205598126179,0.861453
0.54,709.4802279434747,0.98350126
0.55,708.2716720312061,0.98507625
0.56,708.0722204007851,0.98509234
0.57,708.0791553923372,0.9852284
0.58,708.0955104283902,0.9855444
0.59,707.9473476749745,0.9854168
0.6,708.169027193659,0.98836875
0.61,708.0651614224256,0.9852742
0.62,708.0207821086258,0.98180825
0.63,707.9496307419925,0.9803634
0.64,707.7677891363419,0.97617245
0.65,707.7959002378132,0.97393847
0.66,708.014027887798,0.9799412
0.67,708.2830574591168,0.98403984
0.68,708.4635078624772,0.98600787
0.69,708.3065035890859,0.9824541
0.7,708.0045416843159,0.9778782
0.71,707.9647369630843,0.9787088
0.72,707.6561909386827,0.9748369
0.73,707.2315893521438,0.96825075
0.74,706.6744822023439,0.9579326
0.75,706.1968326353842,0.94797146
0.76,706.2541699014201,0.94608027
0.77,706.2567848815465,0.94044316
0.78,706.5125227811774,0.93420583
0.79,706.260525178421,0.9346075
0.8,706.3894395227726,0.9361217
0.81,706.3916818743367,0.93642986
0.82,706.5235354257436,0.93657213
0.83,706.8172310662169,0.9375934
0.84,706.5892703067897,0.93167204
0.85,706.6812410606158,0.93348145
0.86,706.2685304631666,0.9200536
0.87,705.3316206834943,0.89865524
0.88,704.2361750202954,0.8777441
0.89,703.4986509809205,0.88663894
0.9,702.6741091056892,0.86635125
0.91,702.7473131414205,0.85514784
0.92,702.3082282334631,0.8617705
0.93,702.5513322331706,0.85041314
0.94,702.5026601995551,0.77990603
0.95,704.5005085547541,0.51566267
0.96,598.7912455219335,0.9282083
0.97,598.5202837521912,0.948624
0.98,600.9196309983114,0.8952325
0.99,606.4547679515607,0.3342686
1.0,618.9819957422527,0.012471135
1.01,608.3990064758218,0.45708895
1.02,618.8249542902827,0.33328784
1.03,632.3517053397591,0.6298922
1.04,630.7735579686337,0.68564427
1.05,626.267741579974,0.455717
1.06,621.1214374595896,0.178827
1.07,626.6329328085606,0.09087392
1.08,619.9616432676855,0.26554915
1.09,622.4298813708125,0.21706605
1.1,626.3088886354169,0.13149038
1.11,627.7623496521128,0.67137855
1.12,629.7909256050755,0.5069831
1.13,629.3462699490224,0.5690603
1.14,628.0463921063442,0.67228043
1.15,631.4723632709079,0.4461531
1.16,631.2906510063516,0.5341384
1.17,625.221148979118,0.43726528
1.18,625.8918129173967,0.13810164
1.19,625.5940357858207,0.28041744
1.2,624.0246656038173,0.40022022
1.21,627.3183140845929,0.29553768
1.22,625.817801694506,0.40223923
1.23,625.8661424868613,0.45092267
1.24,625.144739031076,0.16805585
1.25,626.2688847241665,0.34706807
1.26,630.209482748568,0.4538354
1.27,632.840272530346,0.57946783
1.28,631.7723890672928,0.6862621
1.29,625.2006633862301,0.28953952
1.3,628.0046935111637,0.59204865
1.31,619.183641860402,0.2638212
1.32,601.3527115811381,0.6132425
1.33,715.8743939821777,0.90677065
1.34,715.2483839896644,0.95654
1.35,713.2974043533987,0.9433179
1.36,710.8311748128156,0.9782683
1.37,707.4257655987949,0.9678638
1.38,705.4969881680038,0.9224783
1.39,705.9747758059144,0.9080041
1.4,706.4254014616415,0.9373555
1.41,708.7842840499299,0.97678
1.42,710.8077299030576,0.9612136
1.43,713.2838144079969,0.9177803
1.44,714.5634467617471,0.93181586
1.45,715.3653887464818,0.8665174
1.46,716.8049425327033,0.88943875
1.47,716.1258763253682,0.9529425
1.48,714.5816838281421,0.94557405
1.49,711.6380505096563,0.93999356
1.5,706.7952550664528,0.9496339
1.51,705.0303827208472,0.9036783
1.52,704.8223916562981,0.8127233
1.53,704.7915001650784,0.87527543
1.54,705.9716921743508,0.8649617
1.55,708.5327095679048,0.9717487
1.56,712.3422216817629,0.94027185
1.57,715.5463651713012,0.9473152
1.58,717.1449916544505,0.9704109
1.59,717.482297574369,0.90092963
1.6,716.9379458630117,0.93735874
1.61,716.2655875374164,0.9717209
1.62,715.2065832906385,0.9616012
1.63,712.8474669751903,0.93250895
1.64,711.1903168780952,0.96350026
1.65,710.4106090470473,0.9794265
1.66,710.3314059395159,0.9775484
1.67,711.6131053238506,0.95799756
1.68,715.2361799617017,0.9371736
1.69,723.1642260222703,0.78731984
1.7,729.7095670937944,0.2664777
1.71,719.1564619506134,0.024831219
1.72,864.0489187430387,0.36037138
1.73,881.6863081825052,0.47571334
1.74,697.0800138543834,0.6931722
1.75,713.91279822922,0.8427384
1.76,719.8871130441689,0.5550784
1.77,703.4309262581415,0.24293186
1.78,707.6421043078938,0.56875974
1.79,711.5473854834686,0.5079866
1.8,721.376119937641,0.2399439
1.81,727.8257011703091,0.23167492
1.82,738.9912166194518,0.122490354
1.83,288.2622367400161,0.27290523
1.84,292.0694644680151,0.8510642
1.85,293.4516670462688,0.7613518
1.86,296.83709531062476,0.7213695
1.87,707.4336147169879,0.55715567
1.88,709.8240541307146,0.84846646
1.89,605.3032198970645,0.12361624
1.9,611.9095672084879,0.29499862
