time,frequency,confidence
0.0,1021.14575692286,0.20405564
0.01,1019.4038512405058,0.04087457
0.02,1014.8261552502295,0.11084643
0.03,1025.8621753737882,0.09986267
0.04,1021.8511331327704,0.20927176
0.05,1057.483161707956,0.00061408815
0.06,1087.9718875787835,0.037235316
0.07,1095.3866017692899,0.07250836
0.08,1169.9704110515127,0.25687402
0.09,1177.6948713594743,0.21531962
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,0.0,
0.34,0.0,
0.35,1322.552785432746,0.22482309
0.36,1326.1433924180994,0.31568503
0.37,1322.5214676704863,0.027624987
0.38,1333.0538345333862,0.0033928226
0.39,1312.5855569757207,0.16503909
0.4,1312.4485587125514,0.23368481
0.41,1298.1650648163807,0.073055856
0.42,1326.9725469407867,0.097867884
0.43,1328.6657249758346,0.09975132
0.44,522.0191837956004,0.04340651
0.45,304.466345795874,0.08048925
0.46,305.06613468173293,0.30758998
0.47,301.8416556893074,0.5970444
0.48,299.5458664220964,0.036563486
0.49,292.94420573668594,0.0021750757
0.5,292.8335322957844,0.021714734
0.51,295.0840835589634,0.46895793
0.52,308.1622281447336,0.514226
0.53,306.11621747467063,0.23086822
0.54,315.119089962627,0.67395675
0.55,316.3111181448939,0.830826
0.56,316.71724634802996,0.82050365
0.57,316.2932268489653,0.38852093
0.58,315.05859223414006,0.2651895
0.59,317.10000308984115,0.28888756
0.6,316.3547915828449,0.51408595
0.61,316.2864927138637,0.7150028
0.62,316.69164252180656,0.8879539
0.63,316.947605729895,0.88829005
0.64,317.31959484469513,0.8995974
0.65,316.7083632280835,0.81118643
0.66,315.5588039204433,0.9149948
0.67,314.35397206717704,0.8751272
0.68,314.36936034380915,0.86437327
0.69,315.02292179038056,0.9021356
0.7,316.08932734155354,0.92691547
0.71,316.00973667362825,0.964067
0.72,316.60619194023536,0.9699368
0.73,316.7075366246088,0.9634604
0.74,314.62629220171755,0.8433053
0.75,314.06774328821945,0.61318403
0.76,315.0754678955006,0.85956997
0.77,316.2031936429657,0.8812485
0.78,315.9469691395307,0.8391297
0.79,316.0246354971564,0.93174756
0.8,316.2345034867233,0.94608605
0.81,316.08000930138274,0.94132
0.82,316.3143490557098,0.95627505
0.83,317.0188964376794,0.93213964
0.84,315.03445843191486,0.50344783
0.85,323.9467580332802,0.38779947
0.86,319.4045063841498,5.2614883e-05
0.87,313.2749819426132,0.5499596
0.88,312.2835469984902,0.7073987
0.89,317.4479989502548,0.5005854
0.9,315.2365825875166,0.34564877
0.91,398.95244397992514,0.7673391
0.92,398.7546239587712,0.9028067
0.93,399.3292474979787,0.72384423
0.94,313.9363725722921,0.2739242
0.95,314.40062774789016,0.3071734
0.96,317.06199482244074,0.043370724
0.97,315.5846392879866,0.04408428
0.98,315.7704554882516,0.636022
0.99,316.13701157268537,0.69983715
1.0,315.0085234579073,0.5012407
1.01,315.86505278669927,0.22612412
1.02,316.16959188263826,0.19309834
1.03,316.09346316529457,0.22575481
1.04,312.6820020550976,0.18781137
1.05,316.36329065107657,0.20644873
1.06,314.32747354016624,0.07458266
1.07,314.94325537509616,0.21990055
1.08,314.8934689291509,0.61812055
1.09,313.72283307613867,0.29763848
1.1,315.50017731669857,0.2845545
1.11,316.1205998443466,0.17727816
1.12,316.17166777708894,0.3339581
1.13,317.33376314292894,0.3066202
1.14,318.1795288680439,0.18726455
1.15,315.1876190799536,0.39217997
1.16,314.21283000471,0.52450067
1.17,314.05116867320834,0.7453612
1.18,315.6092780488768,0.9278364
1.19,315.98136699221595,0.94912416
1.2,316.54018471708946,0.9289573
1.21,316.6306221685155,0.7692407
1.22,316.8141176310936,0.8865844
1.23,316.1947223022257,0.9250177
1.24,313.4281884332404,0.6754954
1.25,314.7934917691651,0.8727298
1.26,314.6879987855881,0.92535913
1.27,314.7508942534661,0.94401544
1.28,315.87547528130744,0.9701663
1.29,316.07954711748863,0.85272837
1.3,315.95746717325403,0.70199555
1.31,318.24934486088347,0.3303989
1.32,317.81468041334045,0.70741767
1.33,317.1015426515597,0.8662422
1.34,315.17533899698066,0.36156276
1.35,317.11078673771124,0.3426698
1.36,308.76596510811964,0.47284806
1.37,400.05661807106515,0.5869152
1.38,400.16628020583545,0.35432166
1.39,398.72049242424316,0.89271814
1.4,398.0786679214171,0.8337245
1.41,398.194196823911,0.8581969
1.42,397.4706419831426,0.8977517
1.43,396.82916294795234,0.86291355
1.44,396.85469844670547,0.8223472
1.45,398.1401615568079,0.5936629
1.46,399.32089108989715,0.544648
1.47,399.95844702301224,0.21766335
1.48,398.4591665931964,0.57233244
1.49,396.420338294582,0.7694347
1.5,396.5605816359926,0.7969065
1.51,396.66632056727167,0.744704
1.52,397.2155297031441,0.64815784
1.53,317.52492487222753,0.72459114
1.54,316.82327746725423,0.6199905
1.55,315.4015286514718,0.845696
1.56,316.63277941270036,0.9190074
1.57,315.2682934810713,0.87908655
1.58,316.4927926654659,0.88340724
1.59,318.16483738651385,0.30241516
1.6,317.1554440260866,0.5470474
1.61,313.2273305758157,0.06905303
1.62,301.3141096444246,0.2773569
1.63,302.9557755724382,0.22306654
1.64,301.01255420143553,0.27085096
1.65,308.2290333831422,0.5027155
1.66,314.2295023964381,0.7196128
1.67,315.1326702307271,0.79846823
1.68,316.43785201556284,0.718119
1.69,316.4728989085183,0.61796325
1.7,316.422914388386,0.4443333
1.71,317.16508542321907,0.33056894
1.72,317.17391880742946,0.41664785
1.73,315.2638916118005,0.64625376
1.74,314.7274531190373,0.60686177
1.75,313.66501884704934,0.74209946
1.76,315.8081090038075,0.8690505
1.77,317.7015220668639,0.8693896
1.78,315.92668685556635,0.92579675
1.79,315.1905258431537,0.9395972
1.8,314.51882603635363,0.923355
1.81,313.8779807533615,0.87403256
1.82,314.4982226741061,0.80151683
1.83,316.5292869377867,0.80700624
1.84,316.13867654314663,0.93195945
1.85,316.67902025254693,0.6839445
1.86,315.30910562839233,0.79432195
1.87,314.2470792707758,0.7553615
1.88,313.82011473627523,0.61348027
1.89,312.53404144591616,0.73818666
1.9,314.30620081498125,0.8513271
1.91,310.9049857148204,0.7696745
1.92,310.52302017079506,0.67049617
1.93,356.85166082799134,0.70997715
1.94,357.4211179861561,0.5887442
1.95,358.3106084424239,0.6575206
1.96,358.60817847222216,0.7787208
1.97,358.2221713764392,0.83302945
1.98,358.4221966683207,0.788663
1.99,357.66649250406124,0.8784374
2.0,358.42133555816383,0.83101493
2.01,357.449668447888,0.85142225
2.02,357.7594022286161,0.77784926
2.03,356.6547087366394,0.72059643
2.04,359.1692946423773,0.6983276
2.05,357.93737665809863,0.7755487
2.06,358.55238428667286,0.8161373
2.07,358.66571432230705,0.31836674
2.08,356.79580121962834,0.37512198
2.09,238.54527681080162,0.49463382
2.1,238.36596410971697,0.5650155
2.11,237.84671391403077,0.59756374
2.12,238.334920181791,0.6512632
2.13,237.91057711464273,0.14005259
2.14,239.98890934287363,0.10567646
2.15,310.8177530876233,0.3143709
2.16,308.8176137690801,0.15395485
2.17,292.5933431964958,0.08611141
2.18,292.46801762105025,0.50857437
2.19,291.51945205748314,0.08792413
2.2,307.1465508245247,0.19444118
2.21,304.8146373841234,0.47007886
2.22,303.29198817046347,0.12991168
2.23,301.6317316191105,0.5901519
2.24,302.31910611228915,0.80618787
2.25,305.21741140150414,0.66562563
2.26,306.1189146824996,0.23433813
2.27,313.0887780139948,0.43359858
2.28,313.529501214258,0.484088
2.29,319.5667092776454,0.14982931
2.3,324.0289808125416,0.07219742
2.31,321.38189886756425,0.16085318
2.32,320.810323454798,0.07612506
2.33,311.4430977026011,0.25378963
2.34,306.8933411405503,0.35218185
2.35,308.42352815423004,0.107629314
2.36,306.80221891851045,0.013802068
2.37,304.997836583067,0.07604693
2.38,301.95633596317134,0.19068255
2.39,304.614665218986,0.11232718
2.4,306.3842027282904,0.08861235
2.41,305.3372266427267,0.36421743
2.42,306.4772975851098,0.17714867
2.43,317.4694336175892,0.10817818
2.44,317.7907416226014,0.32760978
2.45,318.26176017101704,0.25138965
2.46,314.9359757145387,0.3506706
2.47,311.0908029301836,0.073602736
2.48,315.30953661153274,0.0023162202
2.49,306.6253370787068,0.027934322
2.5,303.7185616484583,0.19335781
2.51,305.0359205570773,0.20484366
2.52,307.3423882022315,0.55552495
2.53,310.58710175701367,0.103287116
2.54,306.25368956666927,0.10350635
2.55,304.6093225231345,0.125099
2.56,304.54101035609665,0.35291806
2.57,303.35633952399,0.6146283
2.58,303.6857396632837,0.3801552
2.59,305.77245544422215,0.36706802
2.6,308.28393673675623,0.56218565
2.61,310.41058509461925,0.61738473
2.62,314.82629489457105,0.59043974
2.63,321.62743851964547,0.2553027
2.64,322.2579511851717,0.18243109
2.65,316.6210786750299,0.103314504
2.66,311.98240828476753,0.44890353
2.67,311.37169854289107,0.36464345
2.68,307.247290090427,0.42658898
2.69,307.07320370525804,0.3463766
2.7,312.1724943850511,0.2836939
2.71,307.640360543749,0.08599373
2.72,311.68474777870915,0.32047224
2.73,395.72358997665395,0.6984461
2.74,394.6812281908468,0.62868387
2.75,400.9067690754431,0.2247589
2.76,399.9809315470228,0.45814422
2.77,401.026468214657,0.119629145
2.78,397.62052617319557,0.23779677
2.79,396.9687501649968,0.30734614
2.8,396.17766814603306,0.68417394
2.81,395.16286922580554,0.8785104
2.82,394.715067176709,0.9163177
2.83,393.9677817636027,0.8734454
2.84,394.04598417159724,0.42314947
2.85,314.0255920300043,0.4841052
2.86,314.4672353511726,0.45689186
2.87,316.3363387527356,0.73044443
2.88,315.7449483915406,0.939724
2.89,315.92816079917316,0.9612631
2.9,315.1020486109435,0.8363526
2.91,315.60251660394607,0.8090595
2.92,315.30581522814697,0.4505814
2.93,316.0278482021189,0.67370766
2.94,315.4473100554017,0.8456033
2.95,315.1728148390383,0.9100636
2.96,314.9814050480642,0.9233679
2.97,313.6293663793856,0.83723086
2.98,314.1170145421322,0.46059412
2.99,318.46222010056516,0.080450475
3.0,319.457351941972,0.40182477
3.01,316.99849116427276,0.78750914
3.02,316.98653681762164,0.5513218
3.03,395.5028552269205,0.35382572
3.04,395.9951774597522,0.81758326
3.05,398.16963393243475,0.37828413
3.06,397.800206718101,0.5126536
3.07,405.9948044694703,0.025634559
3.08,398.2734072114587,0.3085416
3.09,396.90234702377575,0.1767144
3.1,398.7622816573984,0.19774283
3.11,397.7968699238669,0.50119245
3.12,397.115093436096,0.6903637
3.13,396.09853133891636,0.8721631
3.14,395.5486491144991,0.7925873
3.15,394.80744245824604,0.06290292
3.16,394.97146146298377,0.047759168
3.17,396.7515296242428,0.005249234
3.18,396.9703792445673,0.24472006
3.19,402.4328984844052,0.3994732
3.2,399.77729318105014,0.8209265
3.21,399.2749795653681,0.9393802
3.22,398.64862748174716,0.97750854
3.23,398.19130911311476,0.9819655
3.24,397.2943752195671,0.96732706
3.25,395.945423633232,0.89545614
3.26,394.7307138364873,0.9107081
3.27,394.0525693830006,0.84523845
3.28,392.48731196203465,0.5831757
3.29,395.9639546667837,0.8076306
3.3,398.60842509512815,0.936098
3.31,399.5741884068565,0.9310608
3.32,399.73852551223,0.92012346
3.33,398.46372120913713,0.96620095
3.34,396.6123870799056,0.9483683
3.35,395.10581265254933,0.92015696
3.36,394.29207269841874,0.94886446
3.37,394.75331558810745,0.93340355
3.38,396.51427017930234,0.86943525
3.39,396.4780472892928,0.782974
3.4,396.196349411459,0.7435026
3.41,315.10256500684613,0.5646077
3.42,315.27555362014505,0.89445543
3.43,314.94917392246225,0.9473826
3.44,314.9089156195525,0.9523065
3.45,314.5922948512715,0.80395377
3.46,314.5710568098448,0.8491071
3.47,314.9301411261042,0.60824394
3.48,315.399810485387,0.7024139
3.49,315.3423488018252,0.8406411
3.5,315.2627274272536,0.41984895
3.51,315.14293397292977,0.8991839
3.52,314.0352182801056,0.87494385
3.53,314.376464569291,0.78276277
3.54,315.59191649330603,0.014027085
3.55,316.9054535576942,0.0058410293
3.56,315.45135416645854,0.72450835
3.57,315.82943322303953,0.2974562
3.58,316.06572535788706,0.73353505
3.59,307.498809367761,0.15705216
3.6,310.81573115620364,0.80519634
3.61,312.38963293871495,0.93109
3.62,313.5615343803702,0.9445977
3.63,313.69047588843904,0.8536011
3.64,314.8928220881734,0.57201093
3.65,315.47544748569067,0.26959777
3.66,317.444490228455,0.212117
3.67,313.8866730832186,0.7941187
3.68,313.68487184378625,0.8843634
3.69,313.5767173784407,0.8948174
3.7,313.33234498473735,0.83275807
3.71,314.126620270143,0.8492652
3.72,314.30931935840755,0.8474961
3.73,316.62148614872103,0.7359117
3.74,314.31532492882104,0.8231517
3.75,314.43871962846356,0.86693513
3.76,314.613225161323,0.9285459
3.77,314.85265244642727,0.9035574
3.78,313.60576465056863,0.8090077
3.79,313.76519957198457,0.79628444
3.8,314.28556749987297,0.72143537
3.81,315.4951773233248,0.7236514
3.82,316.6759844253768,0.6412677
3.83,316.97703503139246,0.7418625
3.84,314.41416213521404,0.8049573
3.85,314.0989690093979,0.6932705
3.86,312.89110653097623,0.75686246
3.87,311.3658742466599,0.7788574
3.88,314.16416295522504,0.8966348
3.89,315.32710440317925,0.6289516
3.9,396.031100290333,0.29880947
3.91,395.29719726771555,0.73698586
3.92,394.52648367019844,0.9064538
3.93,393.8756733218712,0.83528775
3.94,312.75407502825533,0.34914988
3.95,312.37561512118543,0.61911196
3.96,312.9567970972835,0.759296
3.97,312.66291141992656,0.7501968
3.98,311.81158302653154,0.39460436
3.99,305.89324849586046,0.11002064
4.0,311.6451963969508,0.44185796
4.01,311.93122274585227,0.6359157
4.02,312.21030235282194,0.3895327
4.03,313.8697549390817,0.48903677
4.04,314.9774351837926,0.31244007
4.05,316.1130383703037,0.26351836
4.06,315.45082493283394,0.7843681
4.07,315.23874243995454,0.6024487
4.08,315.2077252465387,0.542703
4.09,316.4194304512845,0.28231052
4.1,317.00948372955304,0.5261135
4.11,314.800596815109,0.7341761
4.12,316.77324518444755,0.8601683
4.13,317.78987418283293,0.19683935
4.14,328.52819258993475,0.18254589
4.15,328.5802366794795,0.3882314
4.16,323.49750777988254,0.16915883
4.17,353.34900614604413,0.23247816
4.18,351.25914648136444,0.8294664
4.19,350.17928034426075,0.838491
4.2,349.4910132258141,0.6444489
4.21,350.70486661416896,0.9108762
4.22,352.0973248733265,0.90727013
4.23,352.43715041327994,0.8531776
4.24,353.0049576986244,0.8364385
4.25,353.31236620386403,0.8260399
4.26,352.21471875361146,0.8546054
4.27,351.6319361591035,0.89205027
4.28,349.810043460991,0.62413836
4.29,354.63281268989306,0.860101
4.3,353.08572224721587,0.6515778
4.31,352.90018381279964,0.78936625
4.32,354.08998851318785,0.91107035
4.33,352.806451295639,0.8719733
4.34,356.08977719826646,0.5892266
4.35,352.59325925662273,0.21460436
4.36,351.3012700865671,0.059902936
4.37,354.244796069019,0.08890287
4.38,353.0277426732638,0.12541358
4.39,349.63600069564734,0.44763985
4.4,351.118550858499,0.7104162
4.41,351.47143698787085,0.48746338
4.42,355.343128730088,0.5195159
4.43,349.1712100622937,0.6274855
4.44,296.01585829044075,0.21508197
4.45,298.7491054708136,0.115725346
4.46,287.1524762024281,0.17524014
4.47,293.8442733696529,0.89527744
4.48,298.4320931820716,0.33002868
4.49,316.46931641245214,0.16637911
4.5,316.30807769089563,0.68496674
4.51,315.619196496284,0.86622816
4.52,316.1780934245629,0.9338422
4.53,316.22184500849494,0.9579177
4.54,315.497384714757,0.96937424
4.55,315.6044447067098,0.9790493
4.56,315.29450040465923,0.977866
4.57,314.617112068389,0.9592525
4.58,313.4071301905358,0.9554063
4.59,313.04524280227287,0.96931714
4.6,312.9619435041183,0.967501
4.61,313.3720181307158,0.9549793
4.62,313.5088316101984,0.95584536
4.63,312.58505406472824,0.9734687
4.64,312.719010211321,0.9762393
4.65,313.6697203845071,0.95269454
4.66,313.28040078976045,0.96580184
4.67,312.8996103669069,0.97657573
4.68,313.5008791101759,0.96139556
4.69,313.59831536806206,0.95020175
4.7,313.4020767313671,0.96045077
4.71,313.7243300968553,0.9511846
4.72,313.01943997768,0.9654886
4.73,312.839016129539,0.9716229
4.74,313.4095914623111,0.95824355
4.75,313.637430825015,0.945313
4.76,313.266076985404,0.9654098
4.77,313.4386005758015,0.95479995
4.78,313.8620373372097,0.9325277
4.79,313.4541671954068,0.9571088
4.8,312.61031068357147,0.9770974
4.81,312.31902648999403,0.9763774
4.82,312.4899034905769,0.96777433
4.83,313.52037320906084,0.8904373
4.84,314.4867819703719,0.87517744
4.85,312.46525624230566,0.946179
4.86,311.5627128370897,0.93514115
4.87,313.28248231785545,0.95759326
4.88,313.4708218009057,0.95347553
4.89,313.32333726635335,0.9614372
4.9,312.8148862902207,0.9727851
4.91,312.843976398649,0.97328305
4.92,312.83580796315005,0.9690532
4.93,313.0417725776817,0.96345234
4.94,313.1755718843099,0.9617391
4.95,313.3822371979095,0.9572972
4.96,313.42985344429337,0.9519224
4.97,313.2685742445133,0.9619561
4.98,312.7634567081102,0.9628735
4.99,313.01338765373004,0.9351398
5.0,314.702644974496,0.8356094
5.01,308.63015817435337,0.2866997
5.02,793.1576521565628,0.6570556
5.03,795.1796176165362,0.97317183
5.04,794.8791566398768,0.9784466
5.05,797.1840837207517,0.98720723
5.06,797.6121369093739,0.9824827
5.07,797.1619423530682,0.9821983
5.08,796.5845457286258,0.98316276
5.09,794.7839782660003,0.9234746
5.1,792.1488445500888,0.7340835
5.11,790.9618390776257,0.6832536
5.12,473.43715133702227,0.3027415
5.13,473.47587434202615,0.87788296
5.14,473.1696297974016,0.88100934
5.15,473.89182865556666,0.8634964
5.16,473.8248381302986,0.8948757
5.17,474.48834603762384,0.8755089
5.18,475.2041439782007,0.64542985
5.19,794.6516053556709,0.17668901
5.2,796.1774289708665,0.21328495
5.21,795.9826131401949,0.13485524
5.22,793.3151747704943,0.22564365
5.23,793.5498184951649,0.45081168
5.24,795.1283920519681,0.8063188
5.25,796.0100112049774,0.9012593
5.26,796.543521522126,0.48166007
5.27,799.3650021484086,0.47604337
5.28,477.1594120004749,0.26760808
5.29,475.78447931807216,0.54452336
5.3,475.1697494138679,0.6612519
5.31,475.31786929588725,0.7449859
5.32,397.99006459024747,0.099333435
5.33,397.1350829985386,0.59198636
5.34,396.5949927133368,0.343307
5.35,390.65039902094276,0.5719384
5.36,390.8288456000106,0.20608784
5.37,316.2002032150145,0.1848478
5.38,319.20857052983786,0.122192144
5.39,317.7144155266792,0.13075855
5.4,316.6142237972774,0.5288459
5.41,315.9772731670555,0.80346406
5.42,315.89023914833484,0.64654225
5.43,316.2735820201056,0.3042683
5.44,314.4702413465061,0.7849691
5.45,311.3131283537826,0.43457624
5.46,320.2574087760698,0.03820535
5.47,326.1092276472292,0.022227645
5.48,325.30204641284377,0.016901985
5.49,324.4363077705836,0.01672425
5.5,316.5294353629365,0.6675584
5.51,314.9834391673429,0.9037361
5.52,314.7272112405223,0.89005196
5.53,315.06877936701216,0.8846853
5.54,316.1324025985131,0.57379466
5.55,317.47820767829216,0.27460414
5.56,317.9184941514926,0.20058854
5.57,393.4175236725764,0.6904673
5.58,392.16670712114313,0.79496145
5.59,391.81244790138464,0.4302246
5.6,392.4208229876863,0.8417426
5.61,472.3999512571387,0.7905444
5.62,470.99103841813917,0.8231643
5.63,473.05644569794816,0.90523344
5.64,473.8654220348079,0.9333567
5.65,472.83884147913614,0.9290891
5.66,470.85372180670345,0.8793989
5.67,471.0050775763041,0.80011284
5.68,471.1851144005113,0.8782908
5.69,471.4462648215445,0.8693012
5.7,472.2482454254054,0.61039156
5.71,473.94676301325745,0.12978385
5.72,473.86591924826854,0.05548328
5.73,473.6830879780681,0.04653198
5.74,472.9303187503418,0.1296788
5.75,471.58509308416484,0.25395054
5.76,471.2683086262518,0.063100494
5.77,471.72225186194885,0.08841544
5.78,471.98310448517714,0.38728634
5.79,471.9306609216284,0.64410126
5.8,472.0351414709377,0.40865117
5.81,474.19721956168297,0.5314229
5.82,475.1903731604625,0.67839164
5.83,475.7018756684821,0.61312044
5.84,476.22987552309235,0.8463704
5.85,474.64865201959344,0.9297092
5.86,475.2612252694641,0.08958778
5.87,316.849487447943,0.12755486
5.88,311.75706581986753,0.6183444
5.89,313.95923897935097,0.8253072
5.9,319.6561650904062,0.59280497
5.91,320.44788509803016,0.56980276
5.92,320.46838637613394,0.7475723
5.93,320.25550005540816,0.4206745
5.94,320.03482301031744,0.18249337
5.95,318.3636680470478,0.10681793
5.96,317.328945148521,0.16765736
5.97,317.3370377463425,0.48902023
5.98,314.77610921056174,0.54171765
5.99,311.54834184419633,0.23788445
6.0,315.0589429686763,0.8396233
6.01,315.7404712416514,0.86882347
6.02,317.8211751786633,0.8530507
6.03,315.8424146150966,0.015718117
6.04,315.5041845228096,0.068251364
6.05,311.705466886126,0.10371549
6.06,310.25404672494636,0.19183256
6.07,314.0877883071566,0.659878
6.08,314.55073734033954,0.38307238
6.09,307.0106491220043,0.03358836
6.1,304.4264436231258,0.046148665
6.11,305.4054265551965,0.14640306
6.12,306.7173242233381,0.08222037
6.13,317.77814707154283,0.33611917
6.14,321.12046651571177,0.69095653
6.15,322.17623604106745,0.019879613
6.16,295.12442807488003,0.11874265
6.17,297.8973991654546,0.47817856
6.18,296.82355854666287,0.6295414
6.19,294.9833918769354,0.44756132
6.2,234.72983294936753,0.45045653
6.21,234.6738247595408,0.49521634
6.22,234.4489852980894,0.62561655
6.23,234.52134807270386,0.78045076
6.24,234.8290262169958,0.68868524
6.25,234.33765418421476,0.76939136
6.26,234.52880961365548,0.539801
6.27,296.65046493225213,0.35298237
6.28,295.41251279503587,0.92073363
6.29,294.68826817870655,0.948736
6.3,295.3490910351369,0.917403
6.31,297.86851201510046,0.74882525
6.32,296.48045153791435,0.52966654
6.33,295.0144230696532,0.85181713
6.34,295.4945676538289,0.4952679
6.35,294.2912922878032,0.27757525
6.36,294.67403677571303,0.4055018
6.37,296.03126582319476,0.5358046
6.38,296.5933202561924,0.64638036
6.39,295.5416323840243,0.5439523
6.4,293.38699421328334,0.38792485
6.41,289.95069785853934,0.5049716
6.42,291.57291364247254,0.7258089
6.43,294.35261915821957,0.7630958
6.44,295.8765803099416,0.602528
6.45,294.9949492700075,0.57992476
6.46,302.5405883154641,0.22320928
6.47,304.0938853165212,0.3252342
6.48,368.48465929917523,0.20151208
6.49,376.99499264297697,0.88386303
6.5,376.4217789844869,0.8136236
6.51,378.1365659354394,0.2989828
6.52,376.82341070642735,0.24616641
6.53,375.4286346549137,0.41859013
6.54,637.6166056209279,0.33545548
6.55,638.6013578560705,0.7248236
6.56,640.2197132063646,0.81702644
6.57,643.0845982593773,0.33628085
6.58,640.0815071648937,0.7605914
