time,frequency,confidence
0.0,1320.4860330007684,0.02236749
0.01,1301.0067598562582,0.00012451663
0.02,1332.7304888453998,0.5196895
0.03,1320.5235995012022,0.45301542
0.04,1315.720300344353,0.10625028
0.05,1297.774202799652,0.021677636
0.06,1299.0893300011976,0.0045683575
0.07,1329.6818010837276,0.2398143
0.08,1345.1496640399027,0.17656998
0.09,1353.255877973734,0.24502683
0.1,1055.8921757331855,0.03618761
0.11,1047.6715026529016,0.066324584
0.12,1045.873865028692,0.032337967
0.13,1048.0114382488455,0.14406581
0.14,1041.4101345543256,0.37590525
0.15,1045.1826113124032,0.5340734
0.16,1019.6694910930516,0.005527299
0.17,1066.1718086511592,0.033416867
0.18,1035.8659395337672,0.008721098
0.19,1047.1143813173585,0.26337558
0.2,1029.3498816031633,0.0700988
0.21,1054.3047084350287,0.14996602
0.22,1054.3040924299326,0.2650895
0.23,1048.3144962945912,0.12637067
0.24,1046.2109476700446,0.14376004
0.25,1045.9979541204639,0.36927208
0.26,1040.593968456264,0.2887027
0.27,1045.8920153354247,0.57416403
0.28,1047.992547041499,0.083945185
0.29,1049.8282531380094,0.27757213
0.3,1045.7476322362843,0.1295865
0.31,1047.245034744727,0.23656316
0.32,1044.1784206879943,0.26781362
0.33,1041.975747303416,0.18457693
0.34,1305.8415598343372,0.08329444
0.35,1332.0257415429737,0.14921467
0.36,1333.320628814517,0.09351237
0.37,1338.8422091230748,0.047159865
0.38,1328.4527594211922,0.115721576
0.39,1048.418764917426,0.45250317
0.4,1048.3633472909958,0.12609278
0.41,1047.441412515058,0.14855257
0.42,1044.1726385263346,0.19330545
0.43,1008.8213998740137,0.022913706
0.44,1042.6214707993252,0.09921689
0.45,1047.3332738869296,0.3812485
0.46,1047.3268069347316,0.12997332
0.47,1048.6162968659728,0.04908982
0.48,1053.0133486386248,0.1574415
0.49,1050.8589817762659,0.16139038
0.5,1040.399913685126,0.01212688
0.51,1041.1093565754304,0.026881522
0.52,1031.006602314745,0.052063037
0.53,1052.374175028972,0.18504526
0.54,1050.626743075443,0.011915892
0.55,1052.3265345870068,0.3726882
0.56,1046.4612132231994,0.09953988
0.57,1045.44376579539,0.19169168
0.58,1059.17544996067,0.0028634188
0.59,1043.3320299863053,0.063910194
0.6,1005.5229484913818,0.019520596
0.61,1055.4225362910954,0.29676682
0.62,1040.714346606102,0.37077802
0.63,1024.040260630097,0.06458583
0.64,1046.567058944052,0.62587523
0.65,1039.3471598280028,0.007439054
0.66,1044.1356797227868,0.055108044
0.67,1043.5832653265359,0.11646569
0.68,1037.1116547221113,0.019268192
0.69,1057.4543112400233,0.412666
0.7,1045.0298251651898,0.08171566
0.71,1049.8660158252874,0.21116385
0.72,1051.6188326333959,0.116881475
0.73,1057.7454962077768,0.020334946
0.74,1052.0880785332647,0.03643408
0.75,1024.4493450448285,0.025759589
0.76,1027.6361822662539,0.1113043
0.77,1057.2665309985482,0.23088007
0.78,1046.0913170278127,0.12524353
0.79,1308.6621883475812,0.040116183
0.8,1321.6737427930616,0.22285727
0.81,1339.1414023949312,0.19950515
0.82,1379.6597537204152,0.1502741
0.83,1387.1376801891074,0.26312578
0.84,1398.2376065587155,0.11818134
0.85,1382.0931660152778,0.0040212823
0.86,1401.6728795209283,0.06541535
0.87,1343.5251116711313,0.021576714
0.88,1331.6494680099818,0.04030499
0.89,1347.2768299872773,0.25479215
0.9,1354.0467890333534,0.23017879
0.91,1346.8776492955,0.14293809
0.92,1394.0359717006866,0.29643068
0.93,1039.2305014523126,0.1566524
0.94,1041.6993896278889,0.26473108
0.95,1029.0986854135215,0.19171286
0.96,1049.8379609495487,0.72509515
0.97,1039.7258236119446,0.20236838
0.98,1046.3500258318704,0.5632065
0.99,1040.7221468167118,0.35899734
1.0,1024.378413092377,0.045018524
1.01,1051.7886418866444,0.1300953
1.02,1053.2714825337548,0.18510552
1.03,1052.5159984093832,0.12787257
1.04,1045.3352377282388,0.7536917
1.05,1050.8818666368174,0.06942113
1.06,1064.9830631952645,0.12525523
1.07,1034.4126348721666,0.038271677
1.08,1009.2379430292597,0.033272523
1.09,1047.016273030577,0.23286314
1.1,1036.1183802859284,0.15588765
1.11,1048.144498642419,0.5235046
1.12,1312.5319644717501,0.07326998
1.13,1328.6463858354625,0.05667224
1.14,1343.629106775684,0.08894332
1.15,1388.4287810668275,0.18125962
1.16,1381.9111677041267,0.10451904
1.17,1358.96201213021,0.3139843
1.18,1348.4193606182635,0.13028547
1.19,1373.3023010684533,0.044318426
1.2,1405.6547603922581,0.10035904
1.21,1406.3421135427884,0.099542506
1.22,1400.850019363765,0.0589767
1.23,1397.3807584131782,0.017258031
1.24,1353.070842706503,0.020186305
1.25,1342.0592579538957,0.14782475
1.26,1347.6303489960137,0.17982933
1.27,1404.1695498012134,0.46880242
1.28,1406.0971506780722,0.35698122
1.29,1401.8961795934338,0.12133657
1.3,1398.8956127683646,0.14849347
1.31,1400.0168706362879,0.16019197
1.32,1398.5101315932588,0.0012215013
1.33,1366.2097649258292,0.017971646
1.34,1415.839533756828,0.05437222
1.35,1396.7277566691328,0.11794507
1.36,1388.7328569105578,0.19053172
1.37,1382.9525133127954,0.18467732
1.38,1387.3850638551985,0.03776896
1.39,1392.9988424450423,0.040442508
1.4,1424.5312788929093,0.01351112
1.41,1419.0034152955125,0.037488215
1.42,1383.3555705886167,0.16591264
1.43,1387.9161414922696,0.087969355
1.44,1417.267023119021,0.10735685
1.45,1339.2042686660766,0.13944253
1.46,1326.100018124092,0.18692301
1.47,1325.8509811680192,0.055537965
1.48,1312.4046933083905,0.28425378
1.49,1323.1742950504747,0.2029426
1.5,1316.434168673362,0.19796938
1.51,1323.122807845173,0.294441
1.52,1346.081140792114,0.13046959
