time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,664.8132257502208,0.04370476
0.05,668.3054846825406,0.16587397
0.06,666.9634062274038,0.19666393
0.07,663.8042388504823,0.21094751
0.08,666.4897081022561,0.28113356
0.09,261.6231180481827,0.48040676
0.1,255.25241656151164,0.27471644
0.11,261.1320151132701,0.34140757
0.12,261.49258302335824,0.18153809
0.13,262.59888776945377,0.29626524
0.14,260.24171328803254,0.14277326
0.15,753.0738862057295,0.06648263
0.16,1311.8117736673764,0.30031794
0.17,1321.2610096813278,0.4335542
0.18,1323.015327325692,0.07069263
0.19,1327.5613275146147,0.021473596
0.2,1303.1740922183415,0.05487124
0.21,1312.5376754985712,0.12379441
0.22,1335.7497344703345,0.101499066
0.23,1381.1570932996108,0.07574629
0.24,1390.7185313641403,0.025109122
0.25,1413.2920145912592,0.06397737
0.26,1389.82141115554,0.09876707
0.27,1387.8528756157807,0.15821227
0.28,1400.846229004589,0.029527059
0.29,1401.3279070526355,0.35630625
0.3,1399.8091862121892,0.14719616
0.31,1398.6356138631731,0.24233283
0.32,461.61557799042185,0.021489758
0.33,464.550093994692,0.4095476
0.34,454.2435072803679,0.11111283
0.35,461.156662916066,0.020600295
0.36,452.37923833719674,0.065813035
0.37,384.60098070610866,0.44616953
0.38,387.38971354652926,0.42951462
0.39,387.99819200291756,0.86775494
0.4,389.4675189525385,0.96753323
0.41,391.59079235728984,0.9388125
0.42,392.1153056399117,0.9704248
0.43,392.3636740712789,0.9792853
0.44,392.04001352946216,0.96693736
0.45,391.9306658863636,0.9609528
0.46,391.8362561877214,0.9562084
0.47,392.32683605243125,0.97697586
0.48,393.4067190626374,0.9903632
0.49,395.0323883463343,0.9509236
0.5,396.8009614861009,0.965484
0.51,398.02547721677314,0.983521
0.52,398.0081723642194,0.9862445
0.53,397.0096412184123,0.97575516
0.54,395.74141532996407,0.9091444
0.55,394.3787750527599,0.97484934
0.56,393.122696650685,0.987643
0.57,391.9357377688219,0.9582321
0.58,390.8675716395926,0.90688235
0.59,390.2034167791809,0.9496201
0.6,390.2297031413854,0.9489122
0.61,391.3433159743027,0.9153845
0.62,392.9823779602461,0.9834801
0.63,395.00774825895127,0.9491353
0.64,396.63099503728756,0.9634548
0.65,397.85480963684535,0.9880086
0.66,398.5607174481504,0.9821102
0.67,397.7640486751329,0.9833377
0.68,396.2787018697023,0.9411302
0.69,394.7660907028757,0.95126504
0.7,393.8774089492824,0.9840401
0.71,393.73856852158997,0.9873038
0.72,394.15674022236306,0.98173714
0.73,394.76786693076724,0.9571689
0.74,395.9623321188518,0.9190204
0.75,396.8217372346726,0.9705166
0.76,397.6358355703013,0.98586756
