time,frequency,confidence
0.0,193.99885692951534,0.18667108
0.01,192.98190717760733,0.6170498
0.02,193.4951572593671,0.3887121
0.03,256.32799439371433,0.27978766
0.04,253.5182327057654,0.35501558
0.05,253.18483194626765,0.36808208
0.06,248.84423934922015,0.20816058
0.07,247.5799140115586,0.09657188
0.08,238.2516915154414,0.06858839
0.09,244.575086802635,0.017268524
0.1,254.9596527338902,0.06979799
0.11,255.56757263333054,0.06111531
0.12,253.13506802735472,0.6982352
0.13,257.1461890655581,0.13687648
0.14,253.32138753955098,0.2917921
0.15,251.46120547378348,0.424209
0.16,251.64068765312675,0.006647876
0.17,450.9892235501173,0.19337869
0.18,446.3886583502577,0.19554996
0.19,450.26789531155595,0.39494082
0.2,451.33722584679816,0.2588253
0.21,450.16779098931187,0.80563754
0.22,447.17793034583667,0.33234623
0.23,450.8847104886486,0.34489596
0.24,445.28759227955055,0.3021475
0.25,454.1859419333679,0.08650742
0.26,449.1648647472692,0.44349033
0.27,449.71404447390086,0.36725464
0.28,453.0765393302926,0.24439679
0.29,451.056160251144,0.05182955
0.3,443.21052384128734,0.034613263
0.31,449.7237357543852,0.16180179
0.32,445.414261506241,0.10034416
0.33,448.5479589237035,0.10611328
0.34,444.1735569010678,0.07049113
0.35,441.70509222471424,0.09445902
0.36,451.32032542529595,0.11525468
0.37,447.4261099621508,0.11277248
0.38,348.62282258448795,0.04411919
0.39,350.2109221518774,0.003416943
0.4,359.81864417136586,0.0011147684
0.41,364.03620294104564,0.005848045
0.42,376.94970855726586,0.11025158
0.43,377.3673885519146,0.018538468
0.44,389.26098146083075,0.06917825
0.45,397.6787521835064,0.078788735
0.46,394.32816264506255,0.64701813
0.47,396.82678506044505,0.4039526
0.48,401.05847982164846,0.824795
0.49,402.00399197212306,0.9458813
0.5,400.91446966932597,0.92978287
0.51,399.66564730984965,0.9441066
0.52,397.96586418776025,0.9826905
0.53,396.28775436643605,0.9469496
0.54,396.28918208084576,0.9437212
0.55,396.5825305926415,0.95999455
0.56,397.7118299326822,0.9876323
0.57,398.3919644215848,0.96808594
0.58,399.02222280020334,0.9368798
0.59,400.7270178091304,0.836426
0.6,399.6321508244388,0.89211535
0.61,398.30252644189557,0.9440759
0.62,398.15509886846337,0.9402179
0.63,398.5325827904862,0.8018647
0.64,398.5467811064524,0.8666726
0.65,394.6931668938362,0.58943635
0.66,467.41867384988257,0.83392113
0.67,472.36869426598344,0.9615176
0.68,474.3415326871028,0.9765038
0.69,474.687188489167,0.976075
0.7,474.73579696883974,0.9750615
0.71,474.74183011769213,0.9764191
0.72,474.6102612780715,0.97683877
0.73,473.8932025376656,0.9834682
0.74,472.237491128148,0.9525627
0.75,470.36815135497187,0.8639397
0.76,470.35433409268035,0.8878562
0.77,470.07625648867895,0.8070953
0.78,593.3204458511499,0.66846967
0.79,596.2464059070315,0.96439856
0.8,596.3966481617475,0.9827534
0.81,597.0367341129324,0.97963697
0.82,597.5004101269446,0.8396213
0.83,199.92067785769027,0.9244237
0.84,199.94201156947068,0.89086163
0.85,199.56523446324834,0.86864424
0.86,198.98078042730083,0.44272116
0.87,198.47232612240717,0.61925375
0.88,199.11862817966545,0.4824212
0.89,199.44272785950974,0.1746758
0.9,199.43957893646416,0.13033292
0.91,199.1489485438564,0.17573796
0.92,199.01833758335061,0.34637052
0.93,199.05191153014636,0.3607397
0.94,198.83722024633286,0.38945225
0.95,198.8665560536905,0.8567891
0.96,397.6255855144925,0.37160367
0.97,899.2145614616699,0.5315515
0.98,900.3448291513566,0.9566098
0.99,901.5765694694938,0.9815409
1.0,900.4627147639442,0.9704254
1.01,898.6167363730419,0.9276143
1.02,896.815954667072,0.95314
1.03,896.681962909853,0.9571842
1.04,896.8389239556842,0.9522331
1.05,899.0353818268538,0.93321645
1.06,900.9858693546447,0.89945966
1.07,916.0815170205221,0.689528
1.08,936.5141970497507,0.9209188
1.09,938.4452315627401,0.90583926
1.1,940.0555255375307,0.87786627
1.11,940.8290920373416,0.8777816
1.12,941.7472821119604,0.85206103
1.13,941.0610001191038,0.8731595
1.14,939.8555314879171,0.84619176
1.15,907.9175788209384,0.42694306
1.16,470.9517430592782,0.831799
1.17,471.35663309452985,0.8837241
1.18,471.75553461820726,0.33991385
1.19,760.7675479871082,0.69097555
1.2,761.0755109281731,0.96136606
1.21,760.8772218946751,0.9713476
1.22,758.308525919889,0.9692124
1.23,757.143785787197,0.9594743
1.24,769.9816157912182,0.55514926
1.25,884.3749630074695,0.88866836
1.26,888.4221353813252,0.20444442
1.27,898.9618126597773,0.78978044
1.28,904.3293045822542,0.98563486
1.29,903.8511610746822,0.99361753
1.3,903.1064525583386,0.99358094
1.31,901.6539555823954,0.9871057
1.32,902.4467787334526,0.9914458
1.33,903.4985651703514,0.99374723
1.34,901.4301209643951,0.9835745
1.35,904.0408055069586,0.98158526
1.36,907.3675063920377,0.92115444
1.37,785.8104080402202,0.69995874
1.38,790.3911665329382,0.7976009
1.39,793.5127204719607,0.9351275
1.4,793.1135595486112,0.93531424
1.41,792.6795808916995,0.9288852
1.42,792.2183226946752,0.91610545
1.43,790.4335761435614,0.93230116
1.44,790.1082557395769,0.9454729
1.45,788.0377997968465,0.80527335
1.46,786.2890463140459,0.8383262
1.47,604.7445429329796,0.8810706
1.48,607.0124814352275,0.8348368
1.49,606.6674195223235,0.8179043
1.5,605.7359608422037,0.90774584
1.51,603.121001648836,0.9551121
1.52,601.0594869354079,0.9101442
1.53,599.9170764969724,0.9207159
1.54,597.4822355050212,0.85450053
1.55,596.2858899410664,0.20227
1.56,459.6311939589999,0.36282423
1.57,460.4743070623595,0.8965222
1.58,464.1417399751571,0.9460881
1.59,463.9760887967194,0.9533309
