time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,1322.9104024301912,0.5289221
0.34,1308.9767247585744,0.110388726
0.35,1318.870026722054,0.20884648
0.36,1319.3168595987615,0.3951068
0.37,1312.4421066891832,0.21491714
0.38,1330.4955020411705,0.018832676
0.39,1330.1499030156274,0.012105335
0.4,1333.5963654156535,0.018956715
0.41,1324.751766513612,0.059600953
0.42,1325.7866970915811,0.037835006
0.43,1330.9193927357464,0.098304756
0.44,1335.9576497456014,0.25028047
0.45,1346.6007364542515,0.1055769
0.46,1376.548739775389,0.0864604
0.47,1387.600356496631,0.049641997
0.48,1398.4462828266128,0.09903022
0.49,1402.4679949229483,0.12719388
0.5,1409.6099003641298,0.1398919
0.51,1402.487081367056,0.036870576
0.52,1395.8441248462007,0.101011865
0.53,1401.9053514053053,0.07049792
0.54,1414.960204049437,0.017113168
0.55,1412.0522886272088,0.057439122
0.56,1400.5982167092375,0.20546809
0.57,1410.6807605537983,0.29145792
0.58,1403.1305274682406,0.3532972
0.59,1394.5867970981524,0.16598167
0.6,1351.443698367166,0.039049923
0.61,1349.2610225016233,0.059956715
0.62,1369.3339734762528,0.06552654
0.63,1392.571835055835,0.38115478
0.64,1382.0994783639044,0.11969567
0.65,1393.835607920961,0.19377257
0.66,1405.0112274495482,0.015286108
0.67,1409.0849898935699,0.36249298
0.68,1410.4371292377866,0.08062554
0.69,1404.425661906919,0.19332315
0.7,1377.2866930845478,0.02826002
0.71,1392.260551881127,0.17874202
0.72,1399.7630711586157,0.020556176
0.73,1407.1748163484406,0.13336733
0.74,1424.3219182094888,0.036754575
0.75,1399.9304762206607,0.124248564
0.76,1377.5336352103209,0.07156328
0.77,1401.0011144220916,0.21867834
0.78,1405.9247971576017,0.039077718
0.79,1401.736309388221,0.11404592
0.8,1408.8340695061224,0.012321899
0.81,1420.95676551853,0.02371506
0.82,1340.9858757772076,0.050137322
0.83,1350.080153875392,0.03847492
0.84,1406.7173535486522,0.011412059
0.85,1424.9827274927645,0.021147024
0.86,1422.593463954839,0.037145235
0.87,1411.7500618456033,0.16543292
0.88,699.8027657650475,0.19947067
0.89,696.9664520748273,0.20573424
