time,frequency,confidence
0.0,704.8903502456951,0.14620641
0.01,698.7593162309399,0.49930188
0.02,694.4421325137084,0.6657299
0.03,680.4169961025784,0.24762833
0.04,708.7279777709249,0.005044354
0.05,706.8138660420822,0.2600746
0.06,701.4127563258104,0.625788
0.07,699.2142889375741,0.7442418
0.08,693.3225816591305,0.40238413
0.09,695.7954127841209,0.20176187
0.1,684.3982357637813,0.24024522
0.11,681.7151099568034,0.21091548
0.12,698.7044182269541,0.014169208
0.13,721.2634467036887,0.032413315
0.14,714.0400990248725,0.014736663
0.15,699.4832849290551,0.0030157736
0.16,705.9891037648995,0.008882019
0.17,706.8671116887979,0.037367955
0.18,699.8105082920581,0.33907285
0.19,696.458150781054,0.5788222
0.2,685.5580766568561,0.05435406
0.21,684.2999711408352,0.15998596
0.22,669.0957811233137,0.07046832
0.23,704.1512843722113,0.07720623
0.24,705.2003673548652,0.32122663
0.25,699.3128836177668,0.81941694
0.26,697.0835568996473,0.79834896
0.27,687.2249521939875,0.3578519
0.28,679.6879016937951,0.2945773
0.29,679.2812674414091,0.10876664
0.3,709.1284113771952,0.0133093465
0.31,705.7227615296057,0.13313296
0.32,701.887265098066,0.62568706
0.33,700.0538198427655,0.6052877
0.34,689.3235214503629,0.4624046
0.35,682.7918301508386,0.35558888
0.36,669.6566061529657,0.029099703
0.37,705.6069747382571,0.01317138
0.38,710.3570817788725,0.012503358
0.39,700.6776916947807,0.642741
0.4,697.89001111557,0.8408114
0.41,686.8364588880854,0.38466385
0.42,675.2450772125518,0.21210285
0.43,1052.820231313021,0.01777109
0.44,1054.1173987143122,0.012960495
0.45,1062.8980194511046,0.019986987
0.46,290.66339303659913,0.35584906
0.47,290.7566877534608,0.49238232
0.48,289.82963133754174,0.57817966
0.49,297.81777790035244,0.056824025
0.5,295.35992231115296,0.34948298
0.51,301.29678471239936,0.07023919
0.52,296.3014910742747,0.0015327834
0.53,260.4815045058856,0.36716002
0.54,259.276552230754,0.35782367
0.55,264.84596883335826,0.66930306
0.56,262.7004972156017,0.8404402
0.57,262.95011126077725,0.95562106
0.58,262.43196620883737,0.81118196
0.59,262.21388272553867,0.81351715
0.6,261.31909614463916,0.7801533
0.61,263.09619791972506,0.64112866
0.62,261.0119716446395,0.86365306
0.63,262.4053448199157,0.9809585
0.64,263.13698890003235,0.9764057
0.65,263.3631493530387,0.9721034
0.66,263.57616396299824,0.9579073
0.67,263.50504683589713,0.9624864
0.68,263.65820676785665,0.9518693
0.69,264.25664056621883,0.90019137
