time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,0.0,
0.34,1323.2967601736686,0.5572362
0.35,1326.9145650528167,0.36302176
0.36,1310.6273586567731,0.1882155
0.37,1296.1577334178717,0.01903273
0.38,1306.5308877254247,0.0055425894
0.39,1318.8832387531295,0.3223128
0.4,1316.8176716630571,0.2778659
0.41,1306.2655426187061,0.15073624
0.42,1316.1872490386372,0.17904165
0.43,1316.3677945621002,0.14431347
0.44,1315.6090399677475,0.13287666
0.45,1310.3826048384335,0.1519383
0.46,1313.9288063796103,0.15247045
0.47,1319.0450991866428,0.19202158
0.48,1334.850547274107,0.2747278
0.49,1325.2550971432265,0.2533106
0.5,1344.9362021907166,0.070623
0.51,1328.8664880304816,0.014695346
0.52,1297.2065434328713,0.07079579
0.53,1321.2808223524667,0.15321137
0.54,1312.3104086921535,0.16955599
0.55,1321.0643792144278,0.21189488
0.56,1310.965832704286,0.029061183
0.57,1334.7621357818202,0.030704217
0.58,1324.4364740611009,0.085093416
0.59,1312.5955144311438,0.11344953
0.6,1300.8421331383133,0.10496112
0.61,1317.9371153980564,0.09690268
0.62,1317.525539902219,0.2559004
0.63,1302.6097314954802,0.3133391
0.64,1330.0809460240419,0.09800147
0.65,1319.1548454052793,0.109006375
0.66,1321.5573390779418,0.0028136857
0.67,1321.3266777022434,0.10990664
0.68,1306.3142778891065,0.114660546
0.69,1289.5145241648975,0.058305915
0.7,1314.9099066725498,0.0674218
0.71,1317.6394655965796,0.23889503
0.72,1328.1471330145052,0.2276988
0.73,1339.0129301815816,0.1388981
0.74,1312.3714026504877,0.1110688
0.75,1301.8584372328369,0.0073287943
0.76,1300.2649193050513,0.016548116
0.77,1328.1089637862372,0.1652948
0.78,1303.138210636811,0.1416463
0.79,1307.1776884648668,0.0026284955
0.8,1311.7297719758856,0.009879418
0.81,1294.7194551999191,0.034699045
0.82,1306.4779492787065,0.18174906
0.83,1312.1368864886074,0.3168587
0.84,1317.5623079312097,0.24512741
0.85,646.0178754434276,0.0448977
0.86,642.1060585849898,0.03648599
0.87,643.1535166982918,0.006777967
0.88,632.8615551419226,0.20613663
0.89,629.6486537366014,0.4511739
