time,frequency,confidence
0.0,692.9915776810578,0.23765157
0.01,693.4984269767301,0.022189002
0.02,732.102147818299,0.0053092954
0.03,708.9289639028165,0.047494553
0.04,700.7909927389954,0.19732955
0.05,697.7405038620594,0.041277837
0.06,695.0566671199192,0.39311695
0.07,688.9007243436952,0.19720879
0.08,674.3962735367606,0.5663658
0.09,665.9851354866462,0.061434265
0.1,704.2828667896663,0.0035301328
0.11,714.1049075414344,0.0024572168
0.12,704.621704161894,0.26214528
0.13,699.5526716193303,0.25211555
0.14,694.535063665289,0.5467254
0.15,687.4515135619134,0.44130445
0.16,678.4608358947025,0.080398016
0.17,674.3075816256925,0.05715029
0.18,669.6331831165846,0.17551397
0.19,1043.396837462521,0.11808788
0.2,1045.3250398749815,0.020788442
0.21,1037.9836829514318,0.08759383
0.22,1027.082768072597,0.027666193
0.23,1021.6122126655735,0.032044157
0.24,1059.0593840585861,0.07083908
0.25,1045.8596955804114,0.023920655
0.26,1050.742133638806,0.4004482
0.27,1046.7415648591352,0.20723145
0.28,1060.1378448378707,0.26637825
0.29,1048.8977906931102,0.6249505
0.3,1042.624406705988,0.23547824
0.31,1039.4688707027503,0.09273611
0.32,742.0517278293279,0.07427826
0.33,715.8226073172399,0.0719504
0.34,701.1330592116497,0.24134442
0.35,689.8166037166122,0.61639434
0.36,684.4837478030439,0.43292806
0.37,675.9627206288183,0.13505276
0.38,703.4946168773085,0.0124556525
0.39,710.0693599405663,0.012219386
0.4,703.9545521046977,0.36910918
0.41,702.0375948536391,0.08949442
0.42,688.2841369956241,0.108367726
0.43,690.1566144595234,0.4899083
0.44,681.9340517759923,0.1673412
0.45,705.1291721125381,0.167009
0.46,702.7527268999511,0.2620282
0.47,700.901743348416,0.058021184
0.48,286.4091107655917,0.16590145
0.49,276.51031494644326,0.2541685
0.5,281.7515907688335,0.5826305
0.51,286.43498533187875,0.11451529
0.52,282.0331050279831,0.033916485
0.53,280.5465760828906,0.0796006
0.54,288.71886979800803,0.21878874
0.55,289.20908606181905,0.0030529173
0.56,285.8623970472021,0.009360461
0.57,281.7864748368563,0.0020806636
0.58,287.36817597423567,0.0023731017
0.59,298.0460216158799,0.17585023
0.6,297.1737705723451,0.39808315
0.61,294.63865247431846,0.1615832
0.62,286.62628446057334,0.4889935
0.63,285.54341704767097,0.3097448
0.64,281.8045130686001,0.17466539
0.65,279.3810948152435,0.14463775
0.66,270.80053809166407,0.11340108
0.67,269.00566016191624,0.2188726
0.68,266.6084377927085,0.5715793
0.69,264.88954399620667,0.014991064
0.7,263.90142192684897,0.05793888
0.71,264.63330430814386,0.028952979
0.72,266.31712816893514,0.2301711
0.73,269.7665541743676,0.69263387
0.74,271.2850315623351,0.23936217
0.75,272.3542696841871,0.4676935
0.76,274.4847905376116,0.069221176
0.77,272.4653378793411,0.071605645
0.78,465.8063820338271,0.36447167
0.79,464.64276955622677,0.6255783
0.8,463.9098087590511,0.226472
0.81,477.85053925719797,0.4253267
0.82,934.2170929627089,0.73387086
0.83,932.8596577671613,0.8804217
0.84,931.722884304445,0.89710027
0.85,928.0518610642104,0.84476817
0.86,926.2733301124256,0.8084398
0.87,933.2322458482976,0.9584
0.88,936.356681729568,0.9562477
0.89,938.4995763276679,0.9533157
0.9,936.3861572167289,0.96932036
0.91,938.0938284907218,0.9622498
0.92,934.122662727052,0.97874385
0.93,929.7769120434075,0.9152193
0.94,930.6835068238644,0.9530027
0.95,929.6025453044526,0.91856325
0.96,929.0420638801953,0.9072358
0.97,929.6995368223725,0.9211534
0.98,929.4406669323633,0.9171924
0.99,929.1392045635123,0.92462385
1.0,928.9269474732343,0.9278081
1.01,928.7747396043753,0.93280756
1.02,928.5395698316349,0.9407587
1.03,928.2237621274551,0.94693595
1.04,926.5082553327021,0.97156334
1.05,925.4976403070148,0.9803966
1.06,924.7115546180337,0.9830214
1.07,925.4967526740835,0.97885567
1.08,925.8404714993035,0.97756505
1.09,925.8542253321519,0.9757917
1.1,924.706788141692,0.9813225
1.11,925.6989536304014,0.975024
1.12,926.744824915497,0.96974325
1.13,926.8982208111893,0.9680633
1.14,926.603672401192,0.9701094
1.15,926.4627920225532,0.9722015
1.16,926.796741263613,0.96705806
1.17,926.4660513120834,0.96793526
1.18,926.4982508681439,0.9688385
1.19,926.9562928271152,0.96559674
1.2,926.7546952295135,0.96846056
1.21,926.9792740788354,0.9666322
1.22,926.9765567742427,0.9684073
1.23,926.4380742817098,0.97278994
1.24,926.8573514865316,0.969862
1.25,926.4639267506536,0.9740778
1.26,926.4266346014667,0.9752853
1.27,926.1516331726388,0.97722864
1.28,926.515052283088,0.9752026
1.29,926.6796685563991,0.9737897
1.3,926.8994508121607,0.97107196
1.31,926.5956363729579,0.9747328
1.32,926.1429875185615,0.9787066
1.33,925.4218443675877,0.9827906
1.34,925.6531799319735,0.98162234
1.35,925.5745625534581,0.9821907
1.36,925.2909729935061,0.9824984
1.37,925.1530778619922,0.9836457
1.38,925.2630442209438,0.9824791
1.39,924.7327113466514,0.98327327
1.4,924.2015891115295,0.98475814
1.41,924.738700604962,0.98429966
1.42,924.8469778104828,0.9832682
1.43,924.2463913571498,0.9828707
1.44,924.4640392939186,0.9821988
1.45,925.0787923474076,0.98109424
1.46,925.8250691042678,0.97719985
1.47,924.8036687901673,0.9805431
1.48,922.9287375148256,0.9807185
1.49,923.2224028540652,0.9848183
1.5,923.9996054424648,0.98585355
1.51,924.2671515321531,0.9854441
1.52,924.6852432094543,0.983364
1.53,925.995030347825,0.9756216
1.54,927.5662075858002,0.9560663
1.55,927.1732894208902,0.963178
1.56,924.7620960220398,0.9797751
1.57,922.9314170135722,0.98160285
1.58,923.8295484064519,0.9851756
1.59,924.741843517854,0.9849342
1.6,925.3049337216264,0.98306286
1.61,926.1341033114614,0.9778146
1.62,927.3139086887842,0.9652163
1.63,928.2293124037653,0.9490273
1.64,927.9792497114869,0.951018
1.65,926.8701817871466,0.96238637
1.66,926.4324729892917,0.9705886
1.67,927.773099353659,0.9573382
1.68,928.1182539968837,0.95093536
1.69,927.9993808508127,0.9531451
1.7,927.2572149650305,0.9659257
1.71,925.8153584975018,0.9802025
1.72,924.2487814736199,0.9861385
1.73,923.7889110514938,0.9867474
1.74,923.8399649804647,0.9867975
1.75,924.2144636522278,0.98645186
1.76,924.8213416380656,0.98528534
1.77,925.8839892707625,0.9802281
1.78,927.0091828709512,0.96921164
1.79,928.4952474955016,0.94347215
1.8,929.5614799362679,0.9105612
1.81,930.1672322185563,0.88698053
1.82,930.3093401231303,0.88108116
1.83,929.4139833240739,0.9158183
1.84,928.5065374916796,0.94284594
1.85,926.8641840939864,0.97109073
1.86,925.214751356506,0.9829747
1.87,923.2576911216415,0.9861877
1.88,921.8865249697176,0.9838509
1.89,921.4284830768974,0.9806286
1.9,921.6876287030657,0.9788932
1.91,922.0240011338612,0.97464675
1.92,922.360142715334,0.9754893
1.93,923.6642611623433,0.9809027
1.94,924.5086390369229,0.9835263
1.95,924.8333421256858,0.9843093
1.96,925.4932734194942,0.98139715
1.97,927.182051935446,0.96570843
1.98,929.1229470525052,0.92389196
1.99,930.6516565341349,0.8697313
2.0,929.7979096070288,0.901919
2.01,928.4163840576766,0.9443943
2.02,926.3873648960787,0.97405416
2.03,924.8889114114962,0.9842466
2.04,923.7833880394542,0.986914
2.05,922.7501332036682,0.98677284
2.06,921.3831378120401,0.9798249
2.07,919.746172542609,0.95518833
2.08,918.1876405419162,0.906402
2.09,918.7070191894832,0.931164
2.1,920.733615242017,0.97093856
2.11,922.7261469129338,0.98448837
2.12,923.8538130607395,0.9864472
2.13,924.9125293976406,0.98388773
2.14,926.114563918472,0.9767696
2.15,927.8468899943022,0.9521395
2.16,929.342668222984,0.91278887
2.17,929.3270556588589,0.9140427
2.18,927.5087150669217,0.9615416
2.19,925.4437185470512,0.981486
2.2,923.4662886710755,0.9864965
2.21,921.6651873104117,0.98201275
2.22,919.2309638565735,0.9390989
2.23,915.2203706169303,0.9868081
2.24,913.7705220659842,0.99297184
2.25,915.632501316526,0.98744327
2.26,918.2583759866952,0.9508554
2.27,921.0633817153564,0.97319984
2.28,925.433275856388,0.97560424
2.29,928.1167837918847,0.9501415
2.3,928.5400726757975,0.93346703
2.31,928.359974215566,0.90885556
2.32,931.391582975889,0.9562031
2.33,931.4054194394708,0.96477604
2.34,929.8691056257824,0.9293867
2.35,926.81152747023,0.97036093
2.36,923.8012700360832,0.9837674
2.37,921.2271181786788,0.975203
2.38,919.3720886004976,0.94347787
2.39,919.3976885912723,0.9445395
2.4,919.3366466876681,0.94638616
2.41,919.8001045950913,0.9598971
2.42,922.2501578438527,0.983127
2.43,926.0049797258498,0.9773347
2.44,928.0411569819829,0.9511012
2.45,927.4786417689011,0.949206
2.46,928.6734878569571,0.9207416
2.47,931.4805039896697,0.96300495
2.48,933.1842744101953,0.9826042
2.49,932.9541098453005,0.9810921
2.5,931.1310622020113,0.9489159
2.51,928.7403213953177,0.926755
2.52,926.9609651360868,0.96583855
2.53,923.9856867982137,0.9818709
2.54,920.8814118233782,0.97064406
2.55,920.5244375899127,0.97283846
2.56,923.1740661423416,0.98641217
2.57,924.4357973635675,0.98602134
2.58,925.2609379442798,0.982989
2.59,926.9461916760395,0.968537
2.6,929.225717729114,0.92041
2.61,931.86807937361,0.9691395
2.62,932.845042072397,0.98024565
2.63,931.9607795532339,0.97437245
2.64,931.0841308153175,0.9599694
2.65,930.4027301760959,0.9353166
2.66,929.0205564510915,0.92542034
2.67,926.1678941460906,0.9699192
2.68,923.1388319958417,0.9776822
2.69,921.0410674726382,0.96798563
2.7,921.0675162447797,0.972099
2.71,922.0092902209713,0.98081803
2.72,923.3341584050435,0.9849445
2.73,925.14431642079,0.9825012
2.74,926.7844350714496,0.9679175
2.75,928.2041974653579,0.94110185
2.76,929.1078937211893,0.91500396
2.77,929.6908597480019,0.92214274
2.78,930.2116010326922,0.94046926
2.79,930.7744528494377,0.9527918
2.8,930.5840637622692,0.94826275
2.81,929.9532560496021,0.9272917
2.82,927.9602478910069,0.9540464
2.83,924.2412374679768,0.98264164
2.84,921.4962467466081,0.98021895
2.85,921.1304878027549,0.9792686
2.86,921.5148088006331,0.9791773
2.87,921.0141413447268,0.96748114
2.88,919.8337485306336,0.9461177
2.89,921.8642132325658,0.9735136
2.9,924.8670117454058,0.9792181
2.91,927.0628918136263,0.96694136
2.92,927.9232514186947,0.9544592
2.93,928.4839712280391,0.9315303
2.94,928.1787182072322,0.91110206
2.95,930.9368479848706,0.93666154
2.96,930.6847930242783,0.93911016
2.97,930.9597854446456,0.94064236
2.98,928.9516877494544,0.9294976
2.99,926.4524931338817,0.9758149
3.0,926.1690844160574,0.9762356
3.01,926.0274217193275,0.9760718
3.02,925.2543924485882,0.9773013
3.03,926.3114504540526,0.967107
3.04,930.4142901704973,0.9359911
3.05,934.5786441928419,0.9876245
3.06,935.391975130961,0.9893806
3.07,934.6720503328582,0.9882387
3.08,932.464006524637,0.9738549
3.09,929.3717912440319,0.908772
3.1,928.535684423442,0.8906165
3.11,930.4022278508477,0.935508
3.12,934.2427528946718,0.9779042
3.13,932.8464634690887,0.9717325
3.14,929.3950103871748,0.90910095
3.15,925.5955349973465,0.9588278
3.16,923.2731112371353,0.9458251
3.17,929.7452209085948,0.36513978
3.18,775.4967439908647,0.29657325
3.19,776.0572364194917,0.44443318
3.2,775.313404043236,0.78925055
3.21,777.1617710821004,0.9761947
3.22,779.8844505322729,0.9751863
3.23,780.6112359879496,0.95446473
3.24,780.9096893581616,0.945289
3.25,781.1623294190817,0.9361151
3.26,781.4913877422482,0.9206515
3.27,782.3083052463784,0.89355856
3.28,782.5503592508215,0.88866514
3.29,782.546700470631,0.8752204
3.3,782.3514058490684,0.88240945
3.31,781.5507330025787,0.9315648
3.32,781.1044293460485,0.9542572
3.33,780.8763288414032,0.96226007
3.34,781.9851069759336,0.9252395
3.35,783.9004042365713,0.9469787
3.36,784.9698836867058,0.9712342
3.37,785.0024810960983,0.9716941
3.38,785.6337991901047,0.98247015
3.39,786.0156389048666,0.98766464
3.4,786.8273832878255,0.9913686
3.41,786.6378088474329,0.99093
3.42,785.6288455910682,0.9848643
3.43,784.3308158238901,0.9649276
3.44,783.5914345156142,0.948038
3.45,783.334995648204,0.94102097
3.46,783.1899532621758,0.9369161
3.47,783.2919948050823,0.9392218
3.48,783.685521445138,0.94543004
3.49,783.9547156667107,0.9508929
3.5,783.9858214612696,0.9544645
3.51,784.6696105132062,0.9718
3.52,785.4390934478322,0.9848113
3.53,786.2366708613442,0.99095345
3.54,786.7479363671418,0.9922678
3.55,787.0989319013681,0.99097615
3.56,786.885549393961,0.9902783
3.57,786.4897526191594,0.9891629
3.58,785.6659985025974,0.9828881
3.59,784.0725241511483,0.9528488
3.6,782.3956607070495,0.9098504
3.61,781.1373997302499,0.8689158
3.62,781.2328946926598,0.8716613
3.63,781.705157852233,0.8842316
3.64,783.1391477290624,0.92632836
3.65,784.5156639679994,0.9590787
3.66,786.1615073307867,0.9842233
3.67,787.7142660520882,0.9883107
3.68,788.890424388597,0.9839998
3.69,790.2916325449414,0.9525468
3.7,791.1574929938196,0.9271377
3.71,792.3641720307817,0.8793916
3.72,792.5394318477009,0.86824286
3.73,792.1285641947511,0.87901795
3.74,788.8446311810883,0.971048
3.75,784.8249786805052,0.97082496
3.76,782.4077837199901,0.9128999
3.77,780.8076970168521,0.9645027
3.78,778.9183868241004,0.9928294
3.79,777.3838057158406,0.9931593
3.8,778.1617777132815,0.9947515
3.81,779.7915204994954,0.98792136
3.82,782.0873948394234,0.9265821
3.83,784.8907253081915,0.96769667
3.84,789.7909891279007,0.9612688
3.85,793.0525018585281,0.94543666
3.86,794.5131376689244,0.95959544
3.87,792.6504158859701,0.91807
3.88,791.2298703302845,0.91453004
3.89,789.4562975284232,0.9698223
3.9,785.548521222707,0.9800378
3.91,781.972802002531,0.92175424
3.92,779.9366277781355,0.9825571
3.93,777.789115342508,0.9935499
3.94,777.3986196322757,0.9940294
3.95,777.904676467157,0.9943047
3.96,779.9745893624531,0.9833999
3.97,782.224067537628,0.9188197
3.98,784.2365330196633,0.95571446
3.99,787.7426391988457,0.9839333
4.0,791.364646426555,0.91723514
4.01,792.7201590436208,0.8675455
4.02,793.4179707667448,0.833821
4.03,791.4881566175977,0.9108411
4.04,787.7095624412203,0.9870226
4.05,783.4857308992187,0.94380313
4.06,783.015289972018,0.92679614
4.07,783.6482337308162,0.9397798
4.08,783.6909072996929,0.9427815
4.09,785.4436516054745,0.9740606
4.1,788.4246431902453,0.97437346
4.11,791.6502148736693,0.89586526
