time,frequency,confidence
0.0,1324.9268084639848,0.021790612
0.01,1300.9022800405019,0.00027624087
0.02,1323.33607201472,0.24515139
0.03,1315.453723838902,0.19291753
0.04,1314.7296735882921,0.48627436
0.05,1035.0106245473198,0.028067058
0.06,1037.5561217026725,0.015554707
0.07,1043.5063620487274,0.12227847
0.08,1041.6203296665885,0.028458035
0.09,1043.8033279691847,0.2279093
0.1,1033.944909680476,0.03560139
0.11,1043.973966443552,0.24056193
0.12,1047.3001135980378,0.6583754
0.13,893.1982402334108,0.032169156
0.14,865.729310626334,0.17350683
0.15,873.4782849742198,0.14326258
0.16,878.2384660904307,0.08848258
0.17,887.8490301422175,0.06826503
0.18,892.8602625738243,0.04285346
0.19,711.6520846741884,0.018844156
0.2,698.9999888150295,0.62330455
0.21,697.4554080255352,0.6160274
0.22,691.0694279485416,0.018227212
0.23,688.6093671467414,0.038081955
0.24,701.9742026728306,0.048885707
0.25,702.0537123547809,0.1755989
0.26,704.3073541062166,0.25456294
0.27,700.9629394480917,0.48598352
0.28,699.7076626745519,0.35877612
0.29,897.283216415886,0.13275412
0.3,900.1903507480056,0.022110207
0.31,883.6856444721512,0.09685084
0.32,1293.8091833182966,0.038181625
0.33,1303.9975527979077,0.12610638
0.34,1321.6012295268724,0.25975952
0.35,1322.5648999779285,0.18700665
0.36,1323.9556312802206,0.094238326
0.37,1314.527291626465,0.024912583
0.38,1322.7834478551076,0.091820285
0.39,1327.6617793738828,0.18361099
0.4,1348.1547794415874,0.28381875
0.41,1367.1132198869059,0.12675627
0.42,1036.8744027995842,0.07988489
0.43,1039.8657043257206,0.06332078
0.44,1030.7223312275955,0.08326309
0.45,1002.70826654021,0.008541887
0.46,1064.908778862863,0.3087392
0.47,1049.3699771802696,0.22631226
0.48,1042.7927283155027,0.38965446
0.49,1046.5079800730373,0.600248
0.5,1045.398956258952,0.15149283
0.51,1046.31134387453,0.212007
0.52,1043.1528306755101,0.13864724
0.53,1034.8283665125857,0.001941975
0.54,1055.2621537002526,0.13549738
0.55,1048.5976688907117,0.080057345
0.56,1045.32472443037,0.11472589
0.57,1042.2807578766055,0.20369828
0.58,1033.388308801676,0.010517134
0.59,1052.0249497359712,0.52894294
0.6,1046.4425290276188,0.26416132
0.61,1031.9333960699928,0.045490865
0.62,1042.4845792474323,0.17390256
0.63,1039.3413455903183,0.11455276
0.64,1040.7624476422454,0.029405331
0.65,1043.5750878546305,0.26076537
0.66,1041.6922313985558,0.26391804
0.67,1047.2923573521373,0.15783776
0.68,1045.5385378479514,0.027627768
0.69,1078.3184982141602,0.0032548266
0.7,1051.060063371831,0.18120126
0.71,1048.2804116751836,0.08023429
0.72,1045.2691710267873,0.32472533
0.73,1030.9209223064477,0.064445086
0.74,1046.1852986532363,0.54751265
0.75,1045.7403093565651,0.397511
0.76,1045.1436743382574,0.45028093
0.77,1044.4258655634867,0.59340537
0.78,1043.5263115860857,0.07973945
0.79,1052.258951175871,0.2865864
0.8,1047.039928934027,0.12733138
0.81,1051.6263137983944,0.043704618
0.82,1062.4958088256508,0.056509413
0.83,1069.1157354748495,0.048420645
0.84,1023.4421076408264,0.028253488
0.85,1035.1716165409814,0.025944507
0.86,1015.9391532785098,0.058845237
0.87,1041.4760880694528,0.02871388
0.88,1051.6912343602785,0.3121959
0.89,1043.3687557926935,0.10558659
0.9,1044.8664421460796,0.18631363
0.91,1047.3325078411872,0.07966022
0.92,1059.8424082915592,0.14149661
0.93,1027.827300124865,0.008616905
0.94,1041.0183129222657,0.07647295
0.95,1034.0523890308916,0.08105502
0.96,1048.073357017156,0.073491044
0.97,1056.5160836604705,0.089504294
0.98,1052.2990297975757,0.500864
0.99,699.4195018985391,0.6918221
1.0,695.8447634875746,0.7524747
1.01,688.3843815848853,0.16713022
1.02,718.0013612480325,0.065268844
1.03,1041.587159671718,0.07391569
1.04,1054.1572872051229,0.033070046
1.05,1049.275459019011,0.12270996
1.06,1050.7020699523891,0.11030957
1.07,1047.5745022673393,0.045596845
1.08,1055.7640267372756,0.16799787
1.09,1048.985411670544,0.3665047
1.1,1046.1637359086735,0.23216258
1.11,1047.4739037690838,0.5704283
1.12,1048.1641003142997,0.107213825
1.13,1045.9191739837631,0.24343832
1.14,1043.2748955150596,0.15943027
1.15,1048.016416046134,0.027375942
1.16,1047.510074272865,0.033160914
1.17,1050.8102330426093,0.17759524
1.18,1049.6079302205715,0.16032825
1.19,1047.352383863296,0.122951746
1.2,1047.0277243133496,0.39207354
1.21,1051.8385476073936,0.06028917
1.22,1047.7268170484717,0.4544272
1.23,1044.3898285674322,0.4795528
1.24,1030.7137361840457,0.057180863
1.25,1046.3142644092716,0.5549977
1.26,1033.4915793565444,0.33353576
1.27,1045.0723070478452,0.14798082
1.28,1046.9396829449088,0.43800825
1.29,1042.4445789975064,0.05219556
1.3,1047.645369282679,0.067273065
1.31,1049.4491713726707,0.16586253
1.32,1054.8833309989548,0.14008635
1.33,1045.9238909501457,0.08600278
1.34,1047.9993370193206,0.2090272
1.35,1054.1665014670618,0.15327673
1.36,1045.0835453773082,0.16296697
1.37,1044.6847977162952,0.395534
1.38,1036.383197259071,0.08300849
1.39,1048.8558039001239,0.5423112
1.4,1048.3244150778323,0.15772636
1.41,1058.988845083584,0.1040038
1.42,1044.991814948779,0.024767943
1.43,1049.4537377516112,0.1136198
1.44,1050.8777497573246,0.019717649
1.45,1042.5112067997302,0.15196493
1.46,1027.6535954841395,0.010574994
1.47,1047.204492948324,0.05493173
1.48,1045.307059759306,0.037956364
1.49,1046.7228040771167,0.071570866
1.5,1033.0678810750574,0.0039561666
1.51,1047.2201013574652,0.6360117
1.52,1031.0091932907333,0.102235585
1.53,1044.5174285847731,0.16508175
1.54,1046.6352457300625,0.384126
1.55,1049.088075407267,0.3307106
1.56,1045.7755245240073,0.07990359
1.57,1047.8630446778495,0.30077726
1.58,1051.8132911978105,0.07146225
1.59,1046.7909789367893,0.19819377
1.6,1048.44395515091,0.3651641
1.61,1047.5507902831314,0.14095736
1.62,1045.605345775596,0.4158047
1.63,1046.2952251544766,0.21631844
1.64,1048.551616578527,0.015110618
1.65,1040.496674959672,0.026038848
1.66,1049.3365236056993,0.18503243
1.67,1044.8187949519083,0.20656925
1.68,1046.0133673866517,0.38983333
1.69,1044.2274903759467,0.48893154
1.7,1038.4257321119203,0.09956322
1.71,1045.8141132052554,0.096126944
1.72,1049.5903736159644,0.031087872
1.73,1043.1240695107076,0.05289498
1.74,1045.3868617121843,0.2248318
1.75,1036.2190834761195,0.059830803
1.76,1045.6103728470184,0.057688866
1.77,1048.256750762156,0.22684546
1.78,1323.7986589163488,0.018308697
1.79,1308.4628633919078,0.11530558
1.8,1323.3894765456926,0.19531906
1.81,1328.2117823286262,0.12818256
1.82,1326.5783698089833,0.07767992
1.83,1299.3149185485058,0.013168182
1.84,1285.7151210737538,0.025590226
1.85,1305.0492391669015,0.038809586
1.86,1319.8957440856275,0.1422195
1.87,1331.3856791599214,0.12557733
1.88,1308.4540696513839,0.040727068
1.89,1296.6421139158952,0.04916602
1.9,1318.340547227529,0.2610879
1.91,1319.0431126286085,0.2518628
1.92,1323.8572739123936,0.16718076
1.93,1296.3529427420451,0.084077045
1.94,1309.2959678944155,0.09526898
1.95,1321.9637440735255,0.25748336
1.96,1341.4897181620383,0.18875882
1.97,1348.915049632266,0.29285684
1.98,1045.6640210136293,0.061471965
1.99,1046.0234258341281,0.16147098
2.0,1046.8104515196756,0.7459566
2.01,1046.9800140481861,0.05175938
2.02,1048.1650319816338,0.15614694
2.03,1043.7265475750864,0.20851445
2.04,1070.409145308266,0.0030660306
2.05,1052.592076144818,0.108747296
2.06,1045.1255260688827,0.021835001
2.07,1051.137682395592,0.07503215
2.08,1051.4020137321309,0.026397025
2.09,1061.3131802742082,0.0056065475
2.1,1059.4475464374812,0.17726968
2.11,1045.548624231536,0.044506773
2.12,1046.5492088650626,0.20260897
2.13,1035.2771405699489,0.08736783
2.14,1053.1243004765636,0.12227794
2.15,1051.2423240488401,0.3287237
2.16,1046.182894471337,0.10150387
2.17,1044.06474848291,0.014948202
2.18,1048.9860455203657,0.4393426
2.19,1045.695452687929,0.10061815
2.2,1050.7027729993247,0.5090272
2.21,1046.8691569388607,0.2913473
2.22,1042.9013309061927,0.027299728
2.23,1047.626665806055,0.62437475
2.24,1051.5400314421008,0.14254521
2.25,1045.4362110238737,0.10952174
2.26,1042.9928666382632,0.29882312
2.27,1047.8204105446043,0.13757
2.28,1049.7574595373628,0.138442
2.29,1047.0736608888287,0.5846828
2.3,1045.5913741193185,0.05169133
2.31,1046.868071661265,0.23087145
2.32,1046.688961419948,0.21529368
2.33,293.1841024983286,0.11445567
2.34,291.62749938480954,0.3366456
2.35,290.857573422836,0.57382524
2.36,289.8216349250541,0.8621827
2.37,290.0735850791295,0.8957539
2.38,290.5460996053535,0.96004456
2.39,291.2074136706591,0.9794956
2.4,291.05188985427833,0.9758478
2.41,291.4079942473074,0.9871387
2.42,291.5906818053025,0.97816545
2.43,291.64766466767435,0.9816799
2.44,291.768266214955,0.97759676
2.45,291.69116052295976,0.98469734
2.46,291.68281423885827,0.98711383
2.47,291.7977549608584,0.9867263
2.48,291.89215321078547,0.9872311
2.49,291.7188842499846,0.9876652
2.5,291.6826836390207,0.98903346
2.51,291.72048101442675,0.98812824
2.52,291.5828041306164,0.9897781
2.53,291.7780590989971,0.9888763
2.54,291.93105382939234,0.9856559
2.55,291.8553779298367,0.9876758
2.56,291.7241721522408,0.98936266
2.57,291.7852606266213,0.9878203
2.58,291.73487442355594,0.987496
2.59,291.84804588258123,0.9855671
2.6,291.85292679933127,0.98706335
2.61,291.8785596954374,0.9878875
2.62,291.9506321190787,0.98715204
2.63,292.092915111342,0.9854473
2.64,292.08368184773013,0.9877785
2.65,292.1985233166421,0.9838611
2.66,292.3461793607712,0.9769523
2.67,292.0835242911176,0.9868745
2.68,292.0830364439416,0.98730785
2.69,291.790333539028,0.99185103
2.7,291.8780707502682,0.9902546
2.71,291.79451493506247,0.9914453
2.72,291.9100057210723,0.98917514
2.73,291.95390709155004,0.9890575
2.74,291.8390269730123,0.9911771
2.75,291.8957887776309,0.99089515
2.76,291.7995969581637,0.9924009
2.77,291.79345944630535,0.99243766
2.78,291.82087160193703,0.99217236
2.79,292.0565275250519,0.98775244
2.8,291.90414212884724,0.99069864
2.81,291.9104323430839,0.9905759
2.82,291.8554890663016,0.9910801
2.83,291.9087295499056,0.99047256
2.84,291.86453531771053,0.9907837
2.85,291.8972549720396,0.9915652
2.86,292.0471818248652,0.9879651
2.87,292.0172610104495,0.9883958
2.88,292.11532220759057,0.9847743
2.89,292.21386856076657,0.9808921
2.9,291.91265806484006,0.9897474
2.91,291.89978698249485,0.9899664
2.92,291.8754108766432,0.991495
2.93,291.9398985292353,0.9898365
2.94,291.92841062994404,0.988987
2.95,291.91742901152514,0.98783
2.96,292.1009054779579,0.9847912
2.97,292.0710688655196,0.98617214
2.98,292.0489863834406,0.9855783
2.99,291.974955391127,0.9888255
3.0,291.9891410848318,0.9868138
3.01,291.908339279283,0.9895912
3.02,291.7947231289996,0.99135536
3.03,291.90018779618447,0.98962224
3.04,291.9280644845126,0.99019825
3.05,291.9858690106031,0.9880179
3.06,291.9974547211066,0.98855644
3.07,291.89805785824177,0.988135
3.08,291.9970145233589,0.98594695
3.09,292.0114394771408,0.9859735
3.1,291.96241281307255,0.9874063
3.11,291.89220623099,0.9897278
3.12,291.9090246025273,0.9886602
3.13,291.8781991281161,0.98989534
3.14,291.75912480129443,0.99036354
3.15,291.72265024848775,0.99001116
3.16,291.78477001478484,0.9892994
3.17,291.7262690205142,0.9902795
3.18,291.8139476384958,0.9895431
3.19,291.82908664174585,0.9864727
3.2,291.9274384023825,0.98679197
3.21,291.88520404687114,0.987971
3.22,291.90981649275983,0.988891
3.23,292.0314396911806,0.98702127
3.24,291.99776134191023,0.98626846
3.25,291.98560493821395,0.9877023
3.26,292.0592248241977,0.98546916
3.27,291.8428435818463,0.9903474
3.28,291.9708786450452,0.9888516
3.29,292.00671752951087,0.98883015
3.3,292.01071073723676,0.9898121
3.31,292.13338641130457,0.9880228
3.32,291.9625112675694,0.9916971
3.33,292.1180149506973,0.98768693
3.34,292.02890383025556,0.9905376
3.35,292.1705868369456,0.9852895
3.36,292.2074140258406,0.98402864
3.37,292.1247211323079,0.98693526
3.38,292.18882846289034,0.98490137
3.39,292.10467941579105,0.9875288
3.4,292.22992799959565,0.9832851
3.41,292.07721542327687,0.9883293
3.42,292.10815541650766,0.9872727
3.43,292.1562541799921,0.9858559
3.44,291.97923147252436,0.98970056
3.45,291.9519055859389,0.9905185
3.46,291.996559004226,0.9891214
3.47,291.91945064871237,0.99021953
3.48,292.02875005016983,0.98868155
3.49,292.25706739623763,0.98000336
3.5,291.94975613649,0.9889226
3.51,291.79460491646523,0.98936146
3.52,291.79251049838035,0.9864138
3.53,291.8206613064027,0.9843724
3.54,291.9632451081352,0.98597264
3.55,291.93725949522576,0.9877648
3.56,291.93846885493946,0.9878028
3.57,291.8031287480856,0.98723525
3.58,291.9410605819608,0.98403394
3.59,291.65524871975674,0.9844914
3.6,291.6459122634687,0.98637867
3.61,291.7296444101624,0.9875594
3.62,291.8402830839491,0.9861887
3.63,291.882030134928,0.9867741
3.64,291.85985003334326,0.9882045
3.65,291.8899592960919,0.9867927
3.66,291.8073575210833,0.9893841
3.67,291.7297749411458,0.9899059
3.68,291.81594952460756,0.99015146
3.69,291.89564112483964,0.99048436
3.7,291.802071111016,0.9916152
3.71,291.8756693782581,0.99053067
3.72,291.98543761279007,0.9874784
3.73,291.97054194288825,0.98994523
3.74,292.0096927726178,0.9882705
3.75,291.9242550466059,0.9911712
3.76,292.03382758691,0.9886114
3.77,292.09178334146975,0.9875547
3.78,292.1352737503322,0.9858575
3.79,291.99527429744995,0.9887694
3.8,291.81419337028336,0.9898745
3.81,291.7793758839063,0.98844147
3.82,291.75930194291135,0.9867901
3.83,291.82119228226185,0.98877954
3.84,291.8625971007816,0.99229324
3.85,292.1427022317351,0.9866817
3.86,292.0635765247614,0.9881017
3.87,292.10701331546267,0.9858715
3.88,292.1360608496068,0.9859713
3.89,292.10556376402326,0.98674273
3.9,292.1865766225309,0.98381215
3.91,292.20740423084436,0.9847419
3.92,292.37211568945986,0.97586006
3.93,292.35181572780874,0.9776414
3.94,292.2692593361321,0.9813168
3.95,292.19288005116186,0.9851773
3.96,292.14019865305124,0.98614895
3.97,292.32991512006254,0.97929066
3.98,292.4194604712046,0.97395104
3.99,292.36361726954703,0.97632533
4.0,292.348192519802,0.97727615
4.01,292.4676914619136,0.9692351
4.02,292.32451652145824,0.97741574
4.03,292.35667115452605,0.97633606
4.04,292.22824314559085,0.98266625
4.05,292.2081774549999,0.98363173
4.06,292.2302555951064,0.9833144
4.07,292.13905398270845,0.9866853
4.08,292.20817166761617,0.9828098
4.09,292.1560086948027,0.98609424
4.1,292.18612196206345,0.98357046
4.11,292.2017909431386,0.98308164
4.12,292.004405960007,0.9862412
4.13,292.0409750698142,0.9852871
4.14,292.08656581459724,0.98243517
4.15,292.25880718398446,0.97603375
4.16,292.1243224434227,0.98352367
4.17,292.0825013884405,0.9848625
4.18,291.95883785136,0.986942
4.19,292.0444684560846,0.98384005
4.2,291.8918453858558,0.9859635
4.21,292.0053538817916,0.98142
4.22,291.9878013943826,0.9822624
4.23,291.8663308771018,0.98688406
4.24,291.7783316946848,0.98960716
4.25,291.95198906437923,0.987909
4.26,291.7838935041889,0.98959875
4.27,291.9390850680659,0.98806316
4.28,291.90810939560095,0.9884015
4.29,291.94358131521153,0.98876256
4.3,292.0227822394496,0.9865414
4.31,291.8693793828619,0.9887166
4.32,291.959222468074,0.9875442
4.33,291.9534327234853,0.9877685
4.34,291.8528192601018,0.98853683
4.35,291.8599543423988,0.9897461
4.36,291.7938253466805,0.99063677
4.37,291.87633542857276,0.99053127
4.38,292.0862942362404,0.9854859
4.39,292.1939975221715,0.98329306
4.4,292.20251835430366,0.98189986
4.41,292.2815804270193,0.9793021
4.42,291.9038802587979,0.9886397
4.43,291.45601044907363,0.99259275
4.44,291.0806737909275,0.99038905
4.45,290.70982577301555,0.98144364
4.46,290.94397628568055,0.98017037
4.47,290.95580162883084,0.9862693
4.48,291.3117324523068,0.99272764
4.49,291.7909649102418,0.9914443
4.5,291.84086974801664,0.99121207
4.51,291.8072818259724,0.99118817
4.52,291.7398213724724,0.9911773
4.53,291.9526431468019,0.9897035
4.54,291.9133010178665,0.9892352
4.55,291.9474336505399,0.9904295
4.56,291.74218968467693,0.9927417
4.57,291.65302289106296,0.9936028
4.58,291.7552907475977,0.9938693
4.59,291.89272001096197,0.9912798
4.6,291.9037713697043,0.99213976
4.61,291.82352428681605,0.9920661
4.62,291.96446740902496,0.99022347
4.63,292.0357098640635,0.9876444
4.64,291.97090658561257,0.98949265
4.65,291.78149893710713,0.9931011
4.66,291.73453847539236,0.99291444
4.67,291.8376094792318,0.9931115
4.68,291.9736142886816,0.9894667
4.69,291.91432962059827,0.99139494
4.7,291.84025335086284,0.9926847
4.71,291.79145606837017,0.9926553
4.72,291.84975521562484,0.9923477
4.73,291.84429001692115,0.9912628
4.74,291.8549231203407,0.99227506
4.75,291.96711715975584,0.98905176
4.76,291.8167810724326,0.9918383
4.77,291.9799253914331,0.9896198
4.78,292.05916826145256,0.9871302
4.79,291.96546203005886,0.99080956
4.8,291.9493505793689,0.9894918
4.81,291.8063179796312,0.9931478
4.82,291.9197888530213,0.9907871
4.83,291.7072440943752,0.9935616
4.84,291.7445259462345,0.99400747
4.85,291.64625804739944,0.99323976
4.86,291.5094318545638,0.9945739
4.87,291.6786534682391,0.99324894
