time,frequency,confidence
0.0,1322.1793272878444,0.017538741
0.01,1343.9125270962902,0.05932469
0.02,1322.9514075836364,0.14668973
0.03,1326.0567873769842,0.21823083
0.04,1321.976139013053,0.3080008
0.05,1330.1049301923354,0.08901823
0.06,1358.2064045605484,0.065599605
0.07,1314.976805516768,0.02240318
0.08,1313.962137832709,0.04905937
0.09,1043.203717888424,0.2356223
0.1,1033.0076630178505,0.11834556
0.11,1049.1014473070484,0.20435718
0.12,1047.9919372808765,0.20628989
0.13,1048.9518056981415,0.038121443
0.14,1036.5362963745374,0.07376272
0.15,1039.880985859517,0.077792555
0.16,1028.2788693135972,0.033434533
0.17,1043.6465827855714,0.07405255
0.18,1050.4940858712678,0.09347166
0.19,1046.9516424321434,0.35079214
0.2,1048.6663172390836,0.021786628
0.21,1036.505332440528,0.0030939456
0.22,1064.0161670914497,0.06934062
0.23,1044.6527721199313,0.04880187
0.24,1051.2694276059199,0.5562387
0.25,1048.8470906951322,0.3655638
0.26,1041.9802573882396,0.10286271
0.27,1029.5781626484502,0.043533232
0.28,1057.5926368756259,0.005116947
0.29,1063.2715785991554,0.04581008
0.3,1044.3537366976864,0.1589928
0.31,1039.5805463657289,0.042448048
0.32,1061.6736216208371,0.18448955
0.33,1049.8936797196752,0.51844084
0.34,1045.854930939959,0.09647734
0.35,1049.2063241090555,0.15315533
0.36,1058.291382142358,0.117526434
0.37,1049.1129133453687,0.2681314
0.38,1393.2006837631573,0.16848908
0.39,1384.305550565322,0.02888551
0.4,1397.9530780621126,0.047423266
0.41,1409.8703878448296,0.106909275
0.42,1401.7374139901099,0.40048605
0.43,1381.0963644489857,0.21454912
0.44,1347.7182265506635,0.020978805
0.45,1305.1001509103507,0.02378371
0.46,1321.2813022156959,0.11412908
0.47,1326.0520853072517,0.18658248
0.48,1366.3868840702735,0.19341794
0.49,1376.8622305635145,0.12071124
0.5,1399.9386984608439,0.082400426
0.51,1362.589013379404,0.016820066
0.52,1409.383853097896,0.080920465
0.53,1388.4103133249348,0.1134402
0.54,1398.3177763977417,0.23510796
0.55,1370.6563566140157,0.007156945
0.56,1397.8806113894577,0.2435372
0.57,1355.0523331953282,0.019956855
0.58,1330.0581587902007,0.02582559
0.59,1332.6404026327916,0.21674511
0.6,1347.2375518184203,0.13241717
0.61,1354.2961082618478,0.18709722
0.62,1400.3051747555096,0.04142675
0.63,1404.8884271045126,0.028015167
0.64,1399.43424153876,0.11950663
0.65,1405.5482051516165,0.12039017
0.66,1361.0127695079746,0.031536568
0.67,1381.7069218067343,0.0320914
0.68,1370.2255430685177,0.036775816
0.69,1404.202751361834,0.016023748
0.7,1395.947509014553,0.23328838
0.71,1355.4583078819273,0.17073493
0.72,1346.8024989512928,0.09703262
0.73,1333.7184236706105,0.009251613
0.74,1353.241893166436,0.12630849
0.75,1374.641779920636,0.15482143
0.76,1406.638856013581,0.08856074
0.77,1414.3274588961106,0.0072579933
0.78,1400.9992499778177,0.11031648
0.79,1387.449824579502,0.16426648
0.8,1384.3537338390568,0.15098001
0.81,1406.67212789233,0.024819687
0.82,1396.2993959422224,0.116643116
0.83,1394.008192437856,0.04780956
0.84,1386.3774325273064,0.08723933
0.85,1418.4487601483372,0.0032765886
0.86,1406.9845030088206,0.079552144
0.87,1398.627228789127,0.0881042
0.88,1385.466492161141,0.23025323
0.89,1380.6499752123702,0.041473377
0.9,1355.5386026947444,0.20308398
0.91,1353.6236998192205,0.24148908
0.92,1382.9993757767782,0.012209403
0.93,1407.7535542609633,0.043064497
0.94,1415.7261291328516,0.04985793
0.95,1402.2330663452117,0.19206394
0.96,1391.8317860778407,0.23151773
0.97,1384.7932895851488,0.10243197
0.98,1352.4679956688847,0.19573694
0.99,1333.9844055272952,0.019790977
1.0,1360.9551735953273,0.010374093
1.01,1355.652570145106,0.11514257
1.02,1385.3298130369533,0.0711834
1.03,1293.1474208757345,0.00445544
1.04,1319.0131150352315,0.13601004
1.05,1299.2501493859077,0.120833926
1.06,1326.1784066056873,0.25577667
1.07,1330.3652494876596,0.19255997
1.08,1345.4534792559787,0.063553624
1.09,1349.383445286267,0.09744142
1.1,1385.1336016554822,0.030818293
1.11,1381.4902240541198,0.0017887666
1.12,1392.0816975694313,0.001272227
1.13,1400.2990595134613,0.022856824
1.14,1400.564588067653,0.26215577
1.15,1380.7930476356719,0.012805249
1.16,1329.1950583583152,0.007595867
1.17,1322.452311977149,0.12631094
1.18,1322.8025096242668,0.22939023
1.19,1347.9353482744682,0.22208776
1.2,1366.964745728566,0.071890615
1.21,1405.903603369081,0.029108323
1.22,1407.2655619947816,0.07400702
1.23,1412.6190211841608,0.15998884
1.24,1405.0567920309993,0.024605935
1.25,1388.6144150161658,0.13174741
1.26,1366.0837019245091,0.042816915
1.27,1376.3246608491056,0.017805716
1.28,1389.5177203307999,0.016068341
1.29,1403.043355620202,0.03396527
1.3,1396.8828138573604,0.21003681
1.31,1402.6841133705248,0.06276337
1.32,1404.8948028830841,0.025668703
1.33,1395.9637645015382,0.05228397
1.34,1382.0714482729663,0.21048473
1.35,1391.0670701717472,0.018078826
1.36,1396.739249652119,0.04613823
1.37,1392.1570001449982,0.086267345
1.38,1398.335145915979,0.1686987
1.39,1345.5065076743708,0.015245076
1.4,1322.3077016734076,0.05630977
1.41,1318.9891573684877,0.31664768
1.42,1321.267236487429,0.22102976
1.43,1348.9682259434817,0.28080234
1.44,1360.5048580618982,0.080236554
1.45,1348.5332554064732,0.047302954
1.46,1361.8210231024543,0.27190533
1.47,1054.0596089549372,0.34878737
1.48,1052.3402399218412,0.1507423
1.49,1045.4054235098768,0.04501091
1.5,1038.9590502623873,0.123890355
1.51,1008.833285259828,0.042304814
1.52,1053.8957041751992,0.14015332
1.53,1037.4737607554823,0.21164131
1.54,1042.4991405848732,0.39807186
1.55,1046.518111569679,0.26956514
1.56,1045.464985300766,0.13196656
1.57,1030.928199856546,0.03683149
1.58,1022.1937623474553,0.003485557
1.59,1008.2879780103048,0.008855872
1.6,1049.9741428519221,0.07812477
1.61,1045.4293185714894,0.042558327
1.62,1044.439399510488,0.27737
1.63,1043.991137284215,0.030899798
1.64,1048.4099922682956,0.088819675
1.65,1043.7364000975688,0.03281907
1.66,1049.2738779148524,0.02233488
1.67,1052.2210619686123,0.027918989
1.68,1030.3727980851163,0.024090912
1.69,1038.8460527802827,0.01654468
1.7,1051.822125937166,0.08293336
1.71,1049.209942287324,0.042975456
1.72,1034.6607177771368,0.015651774
1.73,1047.6245364207743,0.26789793
1.74,1040.5267836621053,0.031313203
1.75,1043.6847984031945,0.28404427
1.76,1041.7239674541545,0.038533892
1.77,1044.4170157136448,0.01690075
1.78,1044.739166276752,0.10501183
1.79,1042.7171944400968,0.020751707
1.8,1046.1613304157972,0.02158487
1.81,1051.7458930130267,0.08279647
1.82,1045.1962322584616,0.07082387
1.83,1049.313231020806,0.6225082
1.84,1047.4499378343983,0.008896673
1.85,1049.799996398905,0.0151688205
1.86,1056.0286404623255,0.009825146
1.87,1046.049074892221,0.03966982
1.88,1043.76013272402,0.04301401
1.89,1050.0685803777633,0.19469121
1.9,1039.945782035964,0.13214177
1.91,1051.730165293145,0.31095067
1.92,1048.282448795762,0.115751274
1.93,1058.8181212667218,0.031160234
1.94,1058.0523378115943,0.07401107
1.95,1057.979706509979,0.008271876
1.96,1046.9471230368733,0.037624966
1.97,1053.2296548242366,0.094341986
1.98,1033.7414885893115,0.020472236
1.99,1048.3347404294673,0.22255738
2.0,1037.166782991002,0.1510431
2.01,1057.9357503399538,0.014585772
2.02,1052.7035383336713,0.013625366
2.03,1076.7583579599793,0.020963546
2.04,1043.180076782625,0.016706944
2.05,1044.6029422564245,0.74230236
2.06,1017.5199424519426,0.08551612
2.07,1052.5867458803004,0.3127831
2.08,1032.184647785484,0.16194586
2.09,1057.5355285722706,0.0738613
2.1,1049.364640038462,0.45607507
2.11,1049.2980819859351,0.09912364
2.12,1046.8224289786738,0.43852046
2.13,1035.0542813767725,0.080868736
2.14,1060.7644456644764,0.03128131
2.15,1283.9434384306487,0.023399042
2.16,1316.8726678613552,0.15084106
2.17,1335.8813732870588,0.19487746
2.18,1357.7003876655178,0.21333003
2.19,1355.480618128895,0.014025628
2.2,1374.8310791218973,0.033362128
2.21,1366.5510877426013,0.008848927
2.22,1405.3834888268918,0.09002133
2.23,1401.98089577262,0.01156616
2.24,1399.7367448044265,0.14495581
2.25,1363.430939133988,0.26150954
2.26,1051.8646016292255,0.2299147
2.27,1055.1628514435688,0.13529459
2.28,1048.995831109995,0.0771896
2.29,1049.1284123528117,0.11574007
2.3,1051.2080873055345,0.013284634
2.31,1076.4743060236717,0.027630763
2.32,1043.909367827262,0.014627927
2.33,1063.6924755832579,0.053059798
2.34,1053.3520855751026,0.15544598
