time,frequency,confidence
0.0,0.0,
0.01,0.0,
0.02,0.0,
0.03,0.0,
0.04,0.0,
0.05,0.0,
0.06,0.0,
0.07,0.0,
0.08,0.0,
0.09,0.0,
0.1,0.0,
0.11,0.0,
0.12,0.0,
0.13,0.0,
0.14,0.0,
0.15,0.0,
0.16,0.0,
0.17,0.0,
0.18,0.0,
0.19,0.0,
0.2,0.0,
0.21,0.0,
0.22,0.0,
0.23,0.0,
0.24,0.0,
0.25,0.0,
0.26,0.0,
0.27,0.0,
0.28,0.0,
0.29,0.0,
0.3,0.0,
0.31,0.0,
0.32,0.0,
0.33,0.0,
0.34,0.0,
0.35,0.0,
0.36,1321.4733692615787,0.13016695
0.37,1327.2341866423267,0.35116756
0.38,1312.0326017027744,0.22301024
0.39,1312.9551470675685,0.31985688
0.4,1287.6494447329133,0.030444209
0.41,1296.87053269742,0.061959114
0.42,1317.7948446595722,0.087692425
0.43,1321.0246823546277,0.17743015
0.44,1317.4602760123512,0.1947085
0.45,1317.869503677134,0.20575273
0.46,1324.6603600443243,0.08801465
0.47,1325.5226949145479,0.17708151
0.48,1297.8214098943508,0.035764042
0.49,1300.2537051369918,0.062497832
0.5,1319.995349868241,0.24076796
0.51,1326.9295900329994,0.27021948
0.52,1350.3475791878077,0.28456837
0.53,1350.2101952239123,0.11424641
0.54,1353.8210527381211,0.0025159542
0.55,1414.8164350129944,0.008734668
0.56,1410.2111598423135,0.11603584
0.57,1409.15151698553,0.19518949
0.58,1345.4516210168413,0.0155987255
0.59,1310.1182927327907,0.039335072
0.6,1307.8679714309483,0.03753633
0.61,1328.5690743801913,0.16028045
0.62,1314.647272501493,0.09695885
0.63,1215.722430744607,0.01484375
0.64,1194.7164391171227,0.0024144137
0.65,1221.9138540211982,0.05841066
0.66,1238.0764231353596,0.06228291
0.67,1248.300670123599,0.017625175
0.68,1303.390336176051,0.016049601
0.69,1315.2529061741236,0.16453786
0.7,1325.8609472645933,0.15750894
0.71,1314.4447391747506,0.21172951
0.72,443.7433224593528,0.05063271
0.73,454.9286200181163,0.1915396
0.74,446.2937273541904,0.59352267
0.75,446.4673079314418,0.32307085
0.76,437.1645580724486,0.10308607
0.77,463.45203763421716,0.25506935
0.78,1421.2123508387763,0.3440386
0.79,1419.2986454750874,0.8016889
0.8,1412.2251761428058,0.74549437
0.81,1407.8560648819398,0.745427
0.82,1408.1357415036744,0.7375305
0.83,1411.08251851755,0.67439157
0.84,1420.1053262601229,0.6803317
0.85,1429.719972104962,0.726181
0.86,1433.971353949298,0.642932
0.87,899.4073034359611,0.4443039
0.88,901.5152032002414,0.22098714
0.89,894.8415923261803,0.43667832
0.9,897.667633876989,0.6988593
0.91,896.0320857645546,0.045975223
