time,frequency,confidence
0.0,707.057991481961,0.016153494
0.01,702.6993473060163,0.30079594
0.02,699.7109580024592,0.2362524
0.03,689.7015601402348,0.3586293
0.04,1044.155521215816,0.02810731
0.05,1048.3961762068589,0.046411283
0.06,1051.5848318296557,0.41062045
0.07,1045.2259680371956,0.11115941
0.08,1053.6918584764185,0.08911845
0.09,1056.4564844121805,0.12959154
0.1,1051.025374535342,0.43360567
0.11,1047.9085765032596,0.10459363
0.12,1031.1569051771025,0.03590935
0.13,1058.3605390885375,0.005252639
0.14,1046.747454144018,0.11278457
0.15,1044.65493384934,0.07606169
0.16,1032.718417868382,0.025327675
0.17,709.0763519906199,0.030858714
0.18,692.0321654096505,0.40480205
0.19,689.4146666382976,0.43503916
0.2,730.3641347055124,0.0066225124
0.21,728.7624592957355,0.021605685
0.22,706.2939792132191,0.20331345
0.23,700.7553826774158,0.107660346
0.24,704.9036951072319,0.0069761057
0.25,731.6487987987501,0.04923528
0.26,702.7883966351883,0.3277843
0.27,697.6497148412018,0.4738762
0.28,690.358749034733,0.40608203
0.29,692.8443817915341,0.07593306
0.3,707.4399339745491,0.036997333
0.31,697.0448811661734,0.07254257
0.32,703.4650359779218,0.046040174
0.33,716.8337835373743,0.008277272
0.34,715.5777868276814,0.020230599
0.35,709.6856059196843,0.026264189
0.36,700.754293740489,0.6655121
0.37,706.529827756558,0.1679258
0.38,710.9532554212747,0.024830779
0.39,686.8479673732332,0.4453926
0.4,691.4951065650042,0.32649377
0.41,668.8160339373161,0.010660539
0.42,663.5940525884012,0.07594631
0.43,664.6238084677057,0.013814262
0.44,695.7318311866412,0.0042701843
0.45,717.5073946566284,0.012172166
0.46,707.5876610082263,0.0636236
0.47,700.3337674052444,0.005370629
0.48,714.2141340033811,0.011706247
0.49,709.6732086568829,0.1860119
0.5,701.5195544521065,0.698822
0.51,693.7025818585867,0.5093537
0.52,677.0391577500081,0.40347382
0.53,663.6113437897877,0.19356392
0.54,655.5163443118812,0.059176423
0.55,677.303013884511,0.005724289
0.56,698.0980295496562,0.01339232
0.57,690.5362042580507,0.005038924
0.58,723.8805221000275,0.017917361
0.59,710.4307385209064,0.123809546
0.6,703.4325010218714,0.1359826
0.61,707.5993891651135,0.009976489
0.62,723.471142864357,0.0122927185
0.63,697.2528552009901,0.3638002
0.64,687.4659146087089,0.2374614
0.65,681.0629339698936,0.3166746
0.66,668.9368929940473,0.0033144683
0.67,655.4089326580798,0.30183768
0.68,669.9234566552274,0.08989207
0.69,661.6651465088192,0.1396593
0.7,657.6211085545754,0.025962954
0.71,656.1285412906225,0.04424357
0.72,664.8324745354882,0.006367645
0.73,708.6763705358704,0.008015819
0.74,702.2647187792394,0.18535888
0.75,696.8440071037796,0.44116822
0.76,684.4056907332752,0.28388396
0.77,693.4944571969522,0.059866406
0.78,723.008792469222,0.003598708
0.79,711.5923439283198,0.13270304
0.8,1344.3710220107919,0.17286023
0.81,1358.1308726902932,0.3095862
0.82,694.7424667298418,0.080659166
0.83,682.5144351747981,0.07881027
0.84,682.9913599711039,0.081460044
0.85,708.6608026603963,0.14176793
0.86,700.1943344582793,0.90247345
0.87,698.6968977586372,0.5159027
0.88,718.9425489082478,0.05776228
0.89,449.0175788671556,0.048410792
0.9,455.63129797580484,0.42157236
0.91,457.1700995586706,0.025154514
0.92,440.7358466259435,0.24671985
0.93,456.2913640562965,0.030602198
0.94,452.834365720939,0.0051341234
0.95,449.6143853765451,0.028387187
0.96,449.1991618032126,0.019322628
0.97,448.41703597647256,0.059136268
0.98,440.7901612460636,0.01466854
0.99,439.8247933278999,0.053333372
1.0,351.7451516943829,0.2618467
1.01,348.17782309454435,0.017633094
1.02,355.9490149133286,0.29139885
1.03,351.6751661293278,0.29328126
1.04,355.2341411710636,0.07050836
1.05,344.73624269162724,0.042738933
1.06,337.0049359962901,0.19512275
1.07,332.5216639842825,0.18988284
1.08,337.4728362961833,0.0368045
1.09,336.80331833912646,0.0070541794
1.1,333.5977405626652,0.55970633
1.11,340.54312274985443,0.049300857
1.12,229.73894519624582,0.23234685
1.13,233.26753507547394,0.17448747
1.14,242.40011234762719,0.33789712
1.15,239.6480890141321,0.13139944
1.16,243.6308343589539,0.5099747
1.17,253.0914028579272,0.60183275
1.18,254.17590417877176,0.5411771
1.19,259.19084465236386,0.29310116
1.2,905.209899678319,0.16598722
1.21,916.8718352168354,0.2365508
1.22,909.849161358639,0.8325989
1.23,912.5440930481739,0.88594395
1.24,909.7061050609194,0.9151455
1.25,911.6914000720597,0.90232164
1.26,911.1234149856423,0.8294506
1.27,907.3063273009818,0.87385774
1.28,906.0477831483724,0.7339995
1.29,897.2795113127943,0.73469526
1.3,893.1057768661974,0.90099466
1.31,890.9231844084684,0.883754
1.32,900.7370880034507,0.6107914
1.33,936.9548132578591,0.2945088
1.34,908.6361734132197,0.85021377
1.35,916.9052341005953,0.7750285
1.36,917.4241128546771,0.79810244
1.37,913.6532881823669,0.91010463
1.38,925.8514419434684,0.4410227
1.39,922.5225999473884,0.67848414
1.4,918.323288863149,0.80587125
1.41,914.7787997019453,0.90337867
1.42,900.5524313780097,0.8376385
1.43,901.9616160038914,0.51526344
1.44,898.3388495601093,0.71014696
1.45,916.6496466189552,0.7519911
1.46,921.5016952170299,0.87903404
