time,frequency,confidence
0.0,440.15529046073436,0.08483125
0.01,444.85901293095503,0.17108805
0.02,445.59040565567375,0.20167692
0.03,443.4521346577585,0.2587896
0.04,440.03735430363605,0.30709994
0.05,441.4107357982857,0.06481926
0.06,438.77615454056695,0.16925253
0.07,434.35904205410225,0.2545212
0.08,442.60282843851377,0.16447641
0.09,440.02323668384435,0.29040438
0.1,436.77639099167465,0.02655535
0.11,441.21557956282294,0.09328985
0.12,888.9559259427717,0.08316843
0.13,891.7084686597342,0.29944634
0.14,895.8233442508661,0.1561005
0.15,895.4815263741502,0.069774434
0.16,889.1323975851317,0.06881503
0.17,1309.3833783643822,0.33660087
0.18,1313.8051326501156,0.45055154
0.19,1314.5927133672424,0.3253028
0.2,1322.8004678664565,0.21582668
0.21,448.81485028008933,0.24681698
0.22,449.4010017029508,0.1577659
0.23,441.54822041250213,0.22550872
0.24,440.9395693278739,0.11239819
0.25,441.27619342851085,0.06887084
0.26,440.59788895811255,0.050147533
0.27,440.2917972138752,0.021696817
0.28,902.0125340005943,0.30016503
0.29,887.8533761386019,0.049626265
0.3,888.9021234407579,0.01562809
0.31,902.7001614137492,0.09868071
0.32,897.0507304064508,0.07089206
0.33,900.0154879826212,0.27259737
0.34,1306.1751339936984,0.08225474
0.35,1308.653543419587,0.25922787
0.36,1315.831951604811,0.36171195
0.37,1316.5957778582572,0.39518762
0.38,1308.1714023480736,0.31968087
0.39,1318.3490722926579,0.27226362
0.4,1319.4695497189875,0.33261675
0.41,897.3153038628571,0.17095557
0.42,893.9953168510576,0.025668113
0.43,885.2178683946228,0.022506068
0.44,901.3337592769948,0.110487826
0.45,901.9691274282234,0.11294975
0.46,924.8781027613452,0.00059356785
0.47,889.5119750014693,0.38597623
0.48,893.1889190893089,0.37132293
0.49,899.8250524180339,0.019936645
0.5,906.6398891229836,0.76557785
0.51,913.560973212339,0.021114869
0.52,919.785472064529,0.0038429545
0.53,927.1652289563598,0.085722394
0.54,922.1079750774936,0.6795222
0.55,915.051969649296,0.9501871
0.56,912.9115569551533,0.9652918
0.57,910.2341021605213,0.9120623
0.58,911.4908604926346,0.78732646
0.59,916.456410668658,0.6569708
0.6,912.5155849394544,0.9313362
0.61,913.2809386805827,0.92482066
0.62,925.6295743121883,0.6540432
0.63,924.416090003934,0.82683444
0.64,926.5574557489504,0.49201715
0.65,926.5363335882844,0.20813206
0.66,922.0933831090008,0.18799055
0.67,923.4361826166366,0.11817551
0.68,922.3355762827958,0.71291614
0.69,912.2238513706295,0.94942814
0.7,909.6658483035885,0.91179144
0.71,909.245406064744,0.36607644
0.72,895.9718999076833,0.2805502
0.73,898.6626026758254,0.66436553
0.74,892.8155091414687,0.2913603
0.75,902.5443563453183,0.7783703
0.76,905.6958545358401,0.62612206
0.77,903.335208850513,0.61388326
0.78,908.847488243005,0.8516987
0.79,908.8962899337164,0.7206688
0.8,902.3304493378384,0.06869686
0.81,904.7705316310384,0.24190335
0.82,905.8747978946408,0.7883867
0.83,901.5205388150757,0.086170584
0.84,899.7887942440235,0.2791539
0.85,894.7626750616029,0.8029509
0.86,886.4514932517027,0.71838737
0.87,890.2196702819517,0.7459203
0.88,887.8928619296647,0.22029291
0.89,895.1687962525466,0.4714961
0.9,900.9961932898124,0.5353085
0.91,904.7461256577319,0.778806
0.92,907.3345626920727,0.87736344
0.93,908.730147309284,0.78928006
0.94,910.4564315855231,0.7580924
0.95,909.2387827738072,0.7653245
0.96,903.5405442004992,0.87071145
0.97,901.4443709327237,0.8755344
0.98,915.2969806910282,0.12086328
0.99,890.3942973634543,0.80075574
1.0,887.3609209117906,0.770623
1.01,881.6250491826155,0.49830762
1.02,882.4871176549575,0.29585797
1.03,883.3510934254433,0.5400757
1.04,897.8570292330777,0.60959303
1.05,897.481972963722,0.12538981
1.06,897.157049320492,0.40412068
1.07,897.3904129792937,0.7317725
1.08,900.0453461357955,0.6857153
1.09,895.1438282365584,0.60285896
1.1,896.72602652376,0.6652853
1.11,897.4481953743867,0.5267068
1.12,901.876321798464,0.2367254
1.13,899.8222164710128,0.12838998
1.14,893.9344981823945,0.6388211
1.15,891.467844781155,0.4718795
1.16,892.3215381069172,0.70658576
1.17,902.8640225091368,0.7890898
1.18,901.3108726246684,0.8561434
1.19,902.3241978305209,0.876561
1.2,904.1554906744647,0.93158925
1.21,907.0515784893678,0.9274708
1.22,909.390423720919,0.90148264
1.23,910.3384622135711,0.8686376
1.24,909.2814785173348,0.90156305
1.25,906.591592838655,0.8060005
1.26,903.7320995246569,0.7599183
1.27,904.563057749424,0.97714394
1.28,908.0859425153914,0.91928613
1.29,905.5965625657084,0.6742448
1.3,868.7175234395511,0.51490176
1.31,806.3252459504712,0.6449238
1.32,806.0254429029221,0.9745296
1.33,805.9851557236564,0.9789803
1.34,804.1081048861009,0.9714452
1.35,799.2604158450257,0.9331098
1.36,797.4680616387145,0.9759222
1.37,795.6275051019237,0.7868009
1.38,800.7521211072311,0.88908297
1.39,802.7895204719204,0.96293443
1.4,805.6145951329927,0.97590303
1.41,808.126736795552,0.8897287
1.42,811.956282114187,0.92175597
1.43,814.0889182220712,0.9660068
1.44,813.6839365894416,0.9688612
1.45,812.5484803072652,0.9498864
1.46,808.3678468091975,0.9413216
1.47,804.4898061738901,0.9757519
1.48,801.2386407121932,0.9169945
1.49,800.2587693355229,0.8811957
1.5,798.9485443410443,0.83568054
1.51,799.6050507836128,0.7359726
1.52,800.7307665440467,0.8477146
1.53,803.9049167968608,0.96741104
1.54,807.3100459721076,0.96062624
1.55,811.6539521248912,0.924762
1.56,816.0998497823003,0.9632988
1.57,816.4666058636924,0.96018255
1.58,817.4411394073873,0.93188244
1.59,814.970606219937,0.9723779
1.6,812.8746959356614,0.97141784
1.61,811.0737708302413,0.92897
1.62,806.0802658100467,0.969858
1.63,798.5652210363536,0.95617646
1.64,797.6445287199004,0.9809045
1.65,797.3323696532499,0.8729089
1.66,800.965810625904,0.9033816
1.67,805.7309659662427,0.97678113
