time,frequency,confidence
0.0,1165.5862427134296,0.0666015
0.01,1176.4975435704305,0.024514843
0.02,1192.3862199464497,0.06261977
0.03,1225.1791410030123,0.07901094
0.04,1242.5573659888466,0.05244359
0.05,1332.0224497066697,0.053042334
0.06,1323.1745420439074,0.20759265
0.07,710.2793132253662,0.028188255
0.08,695.9637921834417,0.40104306
0.09,691.00843626158,0.48338705
0.1,674.9336009870333,0.31457075
0.11,662.7980070699366,0.060808428
0.12,629.6200083573503,0.043692965
0.13,635.4954968023322,0.025921183
0.14,656.0930607388026,0.59066087
0.15,666.6908393291426,0.5387712
0.16,672.3785031752188,0.4352257
0.17,671.8082416321512,0.55046135
0.18,670.0392173044821,0.6128049
0.19,671.5516729461335,0.677735
0.2,677.1299379567968,0.22483258
0.21,685.0004075931172,0.13846809
0.22,1308.3045203195675,0.114713736
0.23,1289.3874415392334,0.04577144
0.24,1308.7781965751337,0.0662219
0.25,1318.6781117836254,0.25143233
0.26,673.2368486854848,0.11785874
0.27,671.5279704086704,0.33539787
0.28,665.5860705941527,0.038465507
0.29,680.4844107708946,0.29221347
0.3,670.6832648728413,0.09522442
0.31,675.7680810325566,0.2799158
0.32,660.5678138019515,0.014886184
0.33,668.6396695450023,0.01791376
0.34,694.6774222622456,0.02785087
0.35,671.7768811592232,0.04852368
0.36,702.7876005542041,0.09463245
0.37,692.6395833283106,0.16425897
0.38,675.803065479234,0.23272604
0.39,691.4527444795781,0.5172068
0.4,685.036954451678,0.45855325
0.41,683.8238471542167,0.38292998
0.42,663.5791384268668,0.2351883
0.43,1214.5138529092155,0.43692306
0.44,1247.6748778849778,0.011844054
0.45,1315.2332308394766,0.0613869
0.46,1332.2316943497449,0.1414773
0.47,1346.6030709122851,0.21242668
0.48,1351.4026267663826,0.004427268
0.49,1365.0160187602135,0.06227228
0.5,1381.963914565101,0.057393186
0.51,1374.6170396286075,0.015085127
0.52,1364.6024543126596,0.0035153897
0.53,1402.435930680204,0.012504058
0.54,1407.4583451705562,0.07552575
0.55,1409.7172573601804,0.11758088
0.56,1416.871877866925,0.024736935
0.57,1413.4797973553284,0.038836613
0.58,1400.8025638557438,0.048859395
0.59,1394.3101767867186,0.15221174
0.6,1378.9726674193234,0.06363758
0.61,1358.587225591913,0.0353511
0.62,1359.946569618273,0.2796743
0.63,1353.2912523649381,0.016171927
0.64,1408.044806595594,0.091542736
0.65,1424.744670938178,0.022990895
0.66,1420.5333999847255,0.1787203
0.67,1414.773238771521,0.29814267
0.68,701.3007417775702,0.7104211
0.69,695.7626942504413,0.13402507
0.7,687.5550211056407,0.43790966
0.71,685.4640057797133,0.50681716
0.72,681.598519264707,0.23641261
0.73,1209.7449310722443,0.4439975
0.74,1240.1676056516462,0.05423859
0.75,1228.1344247169452,0.03646071
0.76,1240.7942912810613,0.012501885
0.77,703.8416679671564,0.4321098
0.78,700.8059704007259,0.62938935
0.79,696.3248405778439,0.519898
0.8,689.6568826912783,0.56869876
0.81,688.1540911722185,0.39478514
0.82,684.0265682085142,0.36051187
0.83,674.3700152379024,0.1298109
0.84,698.6817982277246,0.08076477
0.85,709.0630473902291,0.009887873
0.86,705.689758180366,0.2447657
0.87,701.0204281474461,0.77175397
0.88,696.9441302908631,0.7610157
0.89,686.227276957577,0.4698258
0.9,683.6782695404111,0.2249937
0.91,675.6197199328022,0.3894267
0.92,672.9879487868077,0.24212956
0.93,678.3606824330238,0.03591272
0.94,706.9015691751092,0.05894719
0.95,701.9347158089683,0.54007846
0.96,698.7878394755926,0.05611608
0.97,690.9846138319754,0.008051534
0.98,706.1625456735452,0.040213704
0.99,696.2108335829072,0.28013444
1.0,695.1459866592061,0.43696097
1.01,684.7290586800683,0.4242676
1.02,1213.7096938372833,0.2626235
1.03,1246.373606496114,0.07045534
1.04,1304.5618282002854,0.04280319
1.05,1328.4883637455052,0.16315603
1.06,1341.8163237686804,0.19466448
1.07,1420.9215392981534,0.040400714
1.08,1400.1705610471022,0.16275953
1.09,1388.5666100559506,0.04425557
1.1,1388.1683458256405,0.23083867
