time,frequency,confidence
0.0,259.4530322448985,0.4021
0.01,261.71331395321806,0.24294345
0.02,260.8777233813897,0.27311492
0.03,261.9392547132643,0.31740764
0.04,261.49751489443497,0.111308604
0.05,697.3415782221298,0.26941517
0.06,710.5697638524526,0.021069694
0.07,706.4030982527005,0.084800735
0.08,694.6498315695054,0.39881775
0.09,685.1048419149581,0.25562972
0.1,723.4561529702944,0.005272083
0.11,727.8936241115855,0.0051487377
0.12,715.2286360742003,0.0073088505
0.13,704.8531649662825,0.10703296
0.14,701.4839433413034,0.6043732
0.15,699.7886656448261,0.34299836
0.16,690.4670100478058,0.56382835
0.17,685.9293587581446,0.44040313
0.18,673.9186136200678,0.35678956
0.19,668.9364137555704,0.12652473
0.2,663.532552646389,0.044399615
0.21,685.1466773028527,0.013828717
0.22,713.9162436466655,0.0032878576
0.23,705.8302665817303,0.09601592
0.24,700.7193927391774,0.54668176
0.25,697.54849282547,0.67577684
0.26,687.6134759111901,0.06426995
0.27,677.4029520597653,0.11773977
0.28,678.9015276545842,0.11327918
0.29,681.8453134367282,0.063476875
0.3,677.8857072611927,0.003119076
0.31,705.9090786846258,0.030308552
0.32,702.9578955405766,0.11327969
0.33,697.1852596014911,0.5728185
0.34,688.4755437277497,0.4785977
0.35,665.9146548116614,0.24167135
0.36,672.268932085275,0.015904063
0.37,714.8248235327516,0.0064860503
0.38,705.1899497034561,0.3191116
0.39,699.714589099624,0.73378134
0.4,694.3857719647067,0.52903867
0.41,686.4810981282283,0.22641249
0.42,725.1130704305946,0.006617016
0.43,713.6933212836448,0.0100937355
0.44,710.5022309971171,0.0071174554
0.45,722.1624624813325,0.053443756
0.46,700.0442369128849,0.20863467
0.47,697.2868141375521,0.74237794
0.48,691.0361859821252,0.5235832
0.49,675.428343011155,0.28955054
0.5,670.6678620389512,0.18242982
0.51,707.6223123272166,0.02348612
0.52,706.2902765101722,0.24709679
0.53,701.4181262919951,0.81777376
0.54,700.9491459803323,0.7135132
0.55,694.5586397523571,0.113290615
0.56,686.5258132158729,0.16778111
0.57,688.5781914748973,0.18387212
0.58,679.4646180582945,0.33603126
0.59,692.3038659623586,0.0037026168
0.6,677.5333545725006,0.04571381
0.61,701.4936437316808,0.03432147
0.62,725.5723144279729,0.0016864937
0.63,708.9994158441241,0.07572329
0.64,701.6618209749088,0.6571138
0.65,699.1404321566087,0.84217745
0.66,693.6778118418254,0.6080772
0.67,689.9954137730267,0.509975
0.68,686.9119692587428,0.42551413
0.69,673.1610719076558,0.4387244
0.7,666.11285657363,0.27467313
0.71,483.3425261348252,0.024261886
0.72,470.24903432918,0.042051263
0.73,464.75590911942663,0.14554645
0.74,444.68349348831475,0.34682742
0.75,463.4892405144257,0.09040475
0.76,451.10449374691206,0.5680527
0.77,462.7716694686934,0.8050621
0.78,469.08239361127835,0.9682055
0.79,469.85093346620886,0.9566543
0.8,470.075652600132,0.94218504
0.81,470.33615163439936,0.92602086
0.82,470.6557967269302,0.9074072
0.83,470.8387115658205,0.886809
0.84,470.8183305969479,0.88577855
0.85,470.8538308625588,0.8845575
0.86,470.9425551254042,0.8810954
0.87,470.83649613163675,0.89083135
0.88,470.5958767398527,0.90477335
0.89,470.18204477202823,0.9325112
0.9,469.7750797110987,0.9562932
0.91,469.4508134383027,0.9704316
0.92,469.60523901376547,0.9642023
0.93,470.219500791257,0.93191296
0.94,470.471529295522,0.91827315
0.95,470.0969521391633,0.9380623
0.96,469.2912750175913,0.9725524
0.97,469.1021305698034,0.978453
0.98,469.32185937906536,0.9754013
0.99,469.1975141373211,0.9765453
1.0,469.26837296732754,0.9735631
1.01,469.55644147334567,0.96236825
1.02,469.9205043811673,0.942961
1.03,470.1480074113581,0.9294946
1.04,469.77525502434435,0.94833195
1.05,468.8979734747025,0.9757515
1.06,467.6461356439065,0.98513526
1.07,466.6804886556498,0.9793985
1.08,467.0643779049147,0.98547494
1.09,468.13612821559843,0.98841023
1.1,469.1434352969986,0.97983253
1.11,469.3605172183715,0.9750079
1.12,469.62592506814553,0.96778464
1.13,469.76406748908397,0.9628333
1.14,469.7531751633309,0.9635962
1.15,469.49632070434996,0.97119784
1.16,469.36578665828995,0.97525966
1.17,469.4165884994828,0.97541785
1.18,469.51123236876475,0.97157043
1.19,469.72335554044696,0.9651629
1.2,469.9313397588884,0.9565769
1.21,470.06959834134807,0.9471578
1.22,469.91694849330065,0.9552613
1.23,469.5832567173914,0.9680415
1.24,469.2202662646047,0.9767229
1.25,469.46641978084494,0.97060734
1.26,469.5339462911711,0.96910244
1.27,469.6583309628318,0.9600477
1.28,469.74458813893074,0.95841646
1.29,469.7379891979693,0.9566158
1.3,469.8241597428562,0.9492238
1.31,470.39694073934476,0.914292
1.32,470.7374501764839,0.8954292
1.33,470.61395749022256,0.90915334
1.34,470.0933400197392,0.9381592
1.35,470.2201077907824,0.93299747
1.36,470.9347351731865,0.9222216
1.37,471.05331179808167,0.9228346
1.38,471.14812775023887,0.91390294
1.39,470.5971721672196,0.81671375
1.4,469.6397574341564,0.009843102
1.41,607.3631835882724,0.015074199
1.42,616.7393288894954,0.8415523
1.43,623.596658445832,0.9649082
1.44,625.0797738058088,0.98444504
1.45,624.9156606356398,0.98924106
1.46,624.0631945607352,0.9897613
1.47,622.9560532921101,0.9830594
1.48,622.5690044431129,0.97838116
1.49,622.278869536977,0.9725592
1.5,621.9585423562144,0.96417344
1.51,622.1011596928885,0.96565664
1.52,622.129867685549,0.96766204
1.53,622.1173717680874,0.9682515
1.54,621.8014689471752,0.96250486
1.55,621.6107352967479,0.95441604
1.56,621.9933942402912,0.9671651
1.57,622.3614568010518,0.9754976
1.58,622.4099536342187,0.9779432
1.59,622.5906487602925,0.9816274
1.6,622.4721549111753,0.9789514
1.61,622.5866010199643,0.98108953
1.62,622.6979222565412,0.98271286
1.63,622.7570782017751,0.9835376
1.64,622.9315415559026,0.98460716
1.65,622.9414861205337,0.984914
1.66,622.9800287763893,0.9851761
1.67,623.1463909839019,0.9869986
1.68,622.9111716240623,0.9845014
1.69,622.3996762943199,0.97723186
1.7,622.1648629782849,0.9712568
1.71,621.7869391210146,0.9611518
1.72,621.7656851527636,0.9611496
1.73,621.8325610287424,0.96152914
1.74,621.9986742379391,0.96701336
1.75,622.4483814173752,0.97556794
1.76,623.027381145714,0.98345965
1.77,623.8020635760633,0.97889245
1.78,626.4164350425126,0.9566405
1.79,626.9830310530679,0.94937754
1.8,626.4970758466102,0.970426
1.81,626.6259830696486,0.9715711
1.82,626.2441785879921,0.9715066
1.83,624.5327390852991,0.9773266
1.84,623.2881972982894,0.9665953
1.85,624.5492354022765,0.98638994
1.86,625.0500383096319,0.9886841
1.87,624.9220963571415,0.9880973
1.88,624.9426848684826,0.9786012
1.89,626.3055885680133,0.9461239
1.9,627.2619438417198,0.9114034
1.91,627.5908752910343,0.9120006
1.92,625.942235060049,0.9683206
1.93,625.4453198796499,0.9800148
1.94,626.48993524408,0.969106
1.95,626.6127040665526,0.9570744
1.96,625.8977605002361,0.9681084
1.97,623.3411087306596,0.96890223
1.98,624.4650940795038,0.9874445
1.99,625.9864499382544,0.9699204
2.0,627.3872954236494,0.9186386
2.01,626.1918846391004,0.9657984
2.02,625.9251324517468,0.9725823
2.03,628.5468540458251,0.9266005
2.04,630.9970546866863,0.96350026
2.05,627.681324653353,0.9138979
2.06,624.7271846381865,0.9780594
2.07,624.1412833972047,0.9879645
2.08,622.5469075947641,0.97261244
2.09,621.4372719175069,0.94171554
2.1,621.6138498210008,0.94839555
2.11,623.0405693323137,0.97845995
2.12,623.9613710520422,0.9805177
2.13,626.125312292261,0.97347414
2.14,626.1719971632987,0.9718764
2.15,624.7472102711218,0.98270124
2.16,624.4843268724761,0.9866007
2.17,624.7936183463174,0.98212874
2.18,626.4179879861704,0.95585865
2.19,628.8251403281946,0.85057735
2.2,629.4215820495275,0.8063786
2.21,627.3683038817568,0.93612933
2.22,625.61189754085,0.9762403
2.23,623.3183574240279,0.9670191
2.24,622.7053204040967,0.9514286
2.25,623.7870602903289,0.9793769
2.26,624.2118505690919,0.9875475
2.27,622.9391068717612,0.9773218
2.28,623.7350423657502,0.98348916
2.29,625.7914881325395,0.96597046
2.3,625.280020937219,0.9706218
2.31,623.7640253408974,0.9755013
2.32,623.5084417549722,0.98481816
2.33,623.1689740972434,0.9796933
2.34,624.3684701832124,0.9807817
2.35,626.7466764976351,0.9442469
2.36,626.7073793339662,0.9479553
2.37,625.5821941510673,0.9779959
2.38,625.0933974383943,0.98573214
2.39,624.8948357602178,0.96679705
2.4,625.2545511146357,0.95813054
2.41,623.9882165186743,0.91303563
2.42,621.0877276434541,0.52647525
2.43,621.7289710269607,0.76829463
2.44,623.5118472227734,0.6316452
2.45,624.2274688855778,0.9073788
2.46,622.0214989708837,0.77634686
2.47,623.8932604223145,0.76329345
2.48,394.4670595140581,0.081234835
2.49,388.78928965381147,0.4305542
2.5,232.13753487042734,0.4843706
2.51,232.52750725495557,0.7988898
2.52,230.51265098912216,0.90665394
2.53,232.116066552111,0.9218833
2.54,233.819016669699,0.96919817
2.55,233.87206182569983,0.9756974
2.56,233.43385014443498,0.9723592
2.57,233.59890377534995,0.9793497
2.58,233.63337979816347,0.98349977
2.59,233.44512428316352,0.9822298
2.6,233.40417183096108,0.981666
2.61,233.69339480679582,0.9854424
2.62,233.99315675690923,0.98301274
2.63,233.91354321760704,0.9827314
2.64,233.86816209892987,0.9828706
2.65,233.77254350298296,0.9816906
2.66,233.86955891979375,0.9822854
2.67,233.97326267138922,0.9815516
2.68,234.06400151775688,0.9805288
2.69,234.16890645020274,0.981005
2.7,233.9520187760232,0.9801261
2.71,233.94759046486757,0.9806698
2.72,234.16986937482596,0.98141015
2.73,234.32116321281904,0.97844416
2.74,234.54507182477096,0.97209597
2.75,234.76649888158985,0.958701
2.76,234.88998735275712,0.9423868
2.77,234.73978987896075,0.9403038
2.78,235.18181776571674,0.9236296
2.79,235.14847175369962,0.92558926
2.8,235.19863251699388,0.9131683
2.81,234.9947861290748,0.92474866
2.82,234.60221691961127,0.93851066
2.83,234.5182413184081,0.945191
2.84,234.47553139692099,0.9390986
2.85,235.79172832533243,0.53656685
2.86,259.9321775942853,0.4813394
2.87,260.53575310677013,0.8037146
2.88,261.8448831207806,0.960741
2.89,263.0983993830761,0.9738836
2.9,263.45273275509294,0.96196467
2.91,263.2323273529307,0.9667177
2.92,263.73977282532195,0.9410744
2.93,264.3852457736207,0.9150451
2.94,265.7882297377589,0.68303347
2.95,287.77588303017177,0.25490752
