time,frequency,confidence
0.0,289.8812074306806,0.21486744
0.01,288.39052330485407,0.10193463
0.02,292.57448051532754,0.2266302
0.03,291.18375433701493,0.11114284
0.04,288.6964645651308,0.17195892
0.05,286.5939433496058,0.14033376
0.06,287.4019466332533,0.32936177
0.07,286.0256520506892,0.2387684
0.08,291.0665576773624,0.28337175
0.09,301.7766973901762,0.02756976
0.1,299.9834430410109,0.011963105
0.11,291.02493596823024,0.12816563
0.12,290.5638422644596,0.20076956
0.13,289.8019626010848,0.050186772
0.14,296.3069597632236,0.25861135
0.15,303.23029345936857,0.0005933588
0.16,302.82212052242596,0.00022266949
0.17,294.6104497664029,0.0076801325
0.18,293.6445506072731,0.36608088
0.19,450.8302811117544,0.33138078
0.2,447.52725073115994,0.39699554
0.21,446.2497194471978,0.91672903
0.22,447.4153436757002,0.97461945
0.23,446.111721395862,0.98538476
0.24,445.12970671060157,0.96534526
0.25,444.66147937803584,0.946162
0.26,443.7359931183785,0.9265684
0.27,442.3447473569246,0.99111193
0.28,441.35367779921916,0.9957009
0.29,441.08059979477304,0.9936521
0.3,440.8195511059298,0.9886874
0.31,440.54745154345625,0.9783716
0.32,440.7583221532848,0.986604
0.33,441.4724021096336,0.99575484
0.34,442.43816673295726,0.98675287
0.35,444.0623848273459,0.9030727
0.36,444.6661680190805,0.94837195
0.37,445.2796339167815,0.97227705
0.38,445.41718441361763,0.9727358
0.39,445.0969450946429,0.96301246
0.4,444.4026726667239,0.92864007
0.41,443.81517121433546,0.91767937
0.42,443.95460858697095,0.91182154
0.43,443.8154736080562,0.9210299
0.44,442.98278553174976,0.96694124
0.45,443.3177157937309,0.9524379
0.46,443.83729538813554,0.9190876
0.47,444.5957674995887,0.8616195
0.48,444.2909062984074,0.8809529
0.49,442.7527985876781,0.9734841
0.5,442.62859923596466,0.9811235
0.51,442.494506723921,0.9871286
0.52,442.39534141424093,0.9887975
0.53,442.79853707059607,0.97527426
0.54,443.5804629874719,0.94148874
0.55,443.8794598607354,0.92655873
0.56,443.57176144149315,0.94188565
0.57,442.7888126029936,0.974877
0.58,442.63216967185207,0.9740813
0.59,442.5809142367302,0.9206539
0.6,442.9123428943675,0.9364329
0.61,441.7905767080094,0.89759964
0.62,442.9063562407348,0.9178827
0.63,446.1535629343847,0.9861312
0.64,446.4798451479115,0.9932173
0.65,446.5839533308854,0.9938061
0.66,446.5561294844954,0.993419
0.67,446.0607878511913,0.9893198
0.68,444.91127027792623,0.94001895
0.69,444.1108164560248,0.8916522
0.7,445.11295564589835,0.89322925
0.71,443.8605007430764,0.83059853
0.72,446.46462193264506,0.9891756
0.73,446.8122564996544,0.99355835
0.74,447.0720572282419,0.9933374
0.75,446.9682440557704,0.9937441
0.76,447.16451293853584,0.9924306
0.77,447.483950731762,0.9881876
0.78,447.6366647341953,0.9831065
0.79,447.788138529042,0.9716834
0.8,444.95580020598845,0.908428
0.81,532.3249198699109,0.9286188
0.82,534.1111000100886,0.9139849
0.83,534.5183625002969,0.8971378
0.84,534.8849990258367,0.873686
0.85,534.168031557546,0.9104589
0.86,534.1190701709312,0.91485894
0.87,534.175444169978,0.91382694
0.88,534.3586982082468,0.9062084
0.89,534.1870901269765,0.91371
0.9,532.790403355187,0.95800436
0.91,530.3691147326563,0.9634181
0.92,526.3689505390892,0.9079188
0.93,526.3124086754945,0.741036
0.94,522.280542169792,0.52783865
0.95,501.87176119714877,0.57358485
0.96,499.3444213243142,0.50702775
0.97,497.7004885922574,0.7972247
0.98,495.98316546042804,0.78665334
0.99,494.1193608263429,0.7702899
1.0,489.1589037306527,0.343475
1.01,450.5682557430538,0.5833866
1.02,446.4369287723403,0.98652864
1.03,446.5373453980196,0.9916535
1.04,446.43520543704057,0.9920513
1.05,446.2830581234407,0.9918833
1.06,445.92594936433295,0.98664075
1.07,445.3377951787456,0.95940256
1.08,444.5523722066084,0.92272437
1.09,445.04077205061554,0.938673
1.1,446.7869147185439,0.18363738
1.11,674.515351902681,0.6774153
1.12,675.1703357383867,0.87525386
1.13,675.6411615715534,0.9816149
1.14,675.3838004421405,0.98368615
1.15,673.2807922160407,0.9279098
1.16,670.1502301199292,0.98108804
1.17,666.7958433167878,0.96722823
1.18,665.4342577742751,0.92545456
1.19,665.797890008392,0.9362258
1.2,666.1070470033825,0.948023
1.21,666.0662930936326,0.9509516
1.22,666.5690694859984,0.96582496
1.23,667.0219462998166,0.97800136
1.24,668.895763738624,0.99179137
1.25,671.0929147296754,0.9713486
1.26,671.8314378321704,0.94321734
1.27,672.1810531540837,0.9377983
1.28,672.384528698077,0.93340385
1.29,671.8842749452937,0.95228976
1.3,671.9813607870656,0.9358273
1.31,673.1994352146828,0.89071804
1.32,673.2291212822105,0.90632254
1.33,672.9935163992677,0.9111106
1.34,672.7708622950288,0.9129421
1.35,671.7101537399919,0.93676764
1.36,669.8571196565116,0.98648083
1.37,669.9793777786198,0.98403317
1.38,671.0596372749685,0.972841
