time,frequency,confidence
0.0,1180.1064360182268,0.19367586
0.01,1188.6578530481042,0.030093176
0.02,1333.5323664480184,0.36876762
0.03,1310.4409601590469,0.28366047
0.04,1062.9773695929114,0.043764755
0.05,1053.5076779552437,0.25429508
0.06,1048.0950882077418,0.40025216
0.07,1046.6909870143932,0.35713607
0.08,1050.6086208143481,0.062213328
0.09,1056.8643423594847,0.010541651
0.1,1050.3751570541274,0.016391981
0.11,1054.8965146198775,0.021456625
0.12,1041.1809620990698,0.055294935
0.13,1056.9923026783672,0.050316673
0.14,1050.4193451877857,0.072767965
0.15,1045.7259843640286,0.01231228
0.16,1025.6092364494796,0.0017390298
0.17,1006.5970000252571,0.0012846347
0.18,1050.5408023374437,0.18904306
0.19,1044.5761231985825,0.017264811
0.2,1048.5661248374804,0.018816227
0.21,1055.559754701336,0.06163818
0.22,1058.15504219081,0.08447173
0.23,1045.5330923314846,0.26541498
0.24,1052.0046342243386,0.061906997
0.25,1051.1740580809872,0.09503618
0.26,1058.1246022049763,0.21912421
0.27,1046.6933837053994,0.022542268
0.28,1050.9962129599412,0.47592616
0.29,1044.282419385559,0.010715951
0.3,1048.2657738675036,0.034670167
0.31,1315.4069354453532,0.081893496
0.32,1294.2521219692492,0.09250328
0.33,1327.5714385764852,0.33493778
0.34,1321.5880074463262,0.23724748
0.35,1344.7509162554547,0.17797963
0.36,1354.1243069527152,0.14296573
0.37,1379.133944864535,0.10852702
0.38,1348.9169671724653,0.09782196
0.39,1409.0860050190417,0.06924848
0.4,1358.1788122383937,0.0012884088
0.41,1396.8822139450324,0.11279781
0.42,1356.9720914662125,0.08330044
0.43,1393.9050031444085,0.013321122
0.44,1401.9375298975046,0.0050153024
0.45,1400.9713017735198,0.07068777
0.46,1394.5627861988974,0.16697237
0.47,1394.9078356194314,0.05801649
0.48,1392.9054861815957,0.03869914
0.49,1392.7024468120367,0.021345157
0.5,1392.310724352042,0.015830036
0.51,1369.6554228812383,0.04352542
0.52,1380.5684345785346,0.20302005
0.53,1384.2967554092513,0.15584691
0.54,1344.1548268385582,0.12353646
0.55,1348.6720101198257,0.041944038
0.56,1415.9346625198348,0.05383767
0.57,1357.5406117023056,0.009232982
0.58,1321.6298337672958,0.07015572
0.59,1331.218515595957,0.12781344
0.6,1384.0726014210563,0.19328299
0.61,1350.274781771277,0.18225373
0.62,1340.7936210470089,0.031030295
0.63,1325.145585704704,0.0078014773
0.64,1303.425803513242,0.033675585
0.65,1330.230767910692,0.07145741
0.66,1326.886309958222,0.189834
0.67,1348.2048734950004,0.20528199
0.68,1368.005346021547,0.00658598
0.69,1378.0397341987345,0.20628622
0.7,1344.7100817277008,0.22731496
0.71,1047.4107130830653,0.5036895
0.72,1049.8863812830025,0.2487248
0.73,1046.3670138505274,0.3306074
0.74,1037.463610425251,0.14009923
0.75,1017.5545964181333,0.0030006217
0.76,1070.157932475665,0.04669335
0.77,1045.5911078143242,0.16146563
0.78,1044.2507004825704,0.10877096
0.79,1043.9330686810283,0.49421945
0.8,1026.3374148962926,0.051069435
0.81,1048.8945378300355,0.2408865
0.82,1036.3629756978166,0.017991953
0.83,1047.4147179990139,0.019184018
0.84,1049.8053272908485,0.012925747
0.85,1052.0059845542276,0.046783753
0.86,1047.29201603982,0.4192855
0.87,1035.734610839245,0.17550358
0.88,1040.7772602339858,0.027036382
0.89,1040.4553720675915,0.110433415
0.9,1030.9389150304326,0.04316893
0.91,1029.7689199234317,0.064892136
0.92,1034.7110767790045,0.05364369
0.93,1043.9202058289877,0.013730414
0.94,1032.342723363166,0.0031958492
0.95,1058.8680685821462,0.031937335
0.96,1051.8545900556344,0.3632748
0.97,1043.7875478020621,0.08061713
0.98,1045.9688898424802,0.022592358
0.99,1046.8852322252494,0.009395896
1.0,1061.0391292455565,0.13643186
1.01,1043.9742579494957,0.08593601
1.02,1041.6554120108076,0.012620379
1.03,1044.6663579488802,0.034684274
1.04,1041.5116474645315,0.07363659
1.05,1044.627151792856,0.12293759
1.06,1036.8850754108619,0.066357285
1.07,1039.6425135484144,0.16645761
1.08,1043.4978792970767,0.3391497
1.09,1034.9265539553303,0.078534186
1.1,1049.197124039959,0.4224923
1.11,1047.7878874615253,0.2791932
1.12,1046.0179902191014,0.071249805
1.13,1045.0304542808126,0.60431486
1.14,1042.3041476963456,0.10135577
1.15,1049.3812931685818,0.06872453
1.16,1044.6631453030632,0.04772988
1.17,1056.466534045266,0.024511723
1.18,1041.4536698910802,0.4261502
1.19,1031.2148045969348,0.11061587
1.2,1045.360600029333,0.09967119
1.21,1043.182251157971,0.09371633
1.22,1044.5073500918277,0.069413744
1.23,1045.1899926925846,0.055741552
1.24,1043.509843727889,0.2250026
1.25,1019.6535561942989,0.0541884
1.26,1062.6902873944928,0.16861318
1.27,1049.2794218643212,0.12696737
1.28,1046.8383076723685,0.3528234
1.29,1045.1363759439632,0.42734542
1.3,1036.415195176986,0.0034995521
1.31,1051.9467567498523,0.09823779
1.32,1040.2247443658066,0.031551525
1.33,1050.1697756201286,0.09873235
1.34,1048.9821612646024,0.59291804
1.35,1044.4057647533477,0.11371384
1.36,1042.8631998376316,0.07682476
1.37,1052.1267722542016,0.037247755
1.38,1061.3743271110304,0.07201362
1.39,1045.0650149393782,0.2090483
1.4,1038.7169234946666,0.3098134
1.41,1032.039760697091,0.015080141
1.42,1051.3481702050833,0.5041055
1.43,1043.8952742670965,0.27636066
1.44,1046.6437013778457,0.11575831
1.45,1054.149252471727,0.13768233
1.46,1049.7627272750683,0.1515751
1.47,1397.8700944998786,0.18868507
1.48,1391.7955235673935,0.050260935
1.49,1396.8172637468538,0.04798604
1.5,1407.318591921328,0.03849834
1.51,1384.0106025964599,0.2047343
1.52,1378.9153395611631,0.30706233
1.53,1357.0158984725954,0.035904787
1.54,1287.8903137159546,0.03834894
1.55,1318.0901227927993,0.09682768
1.56,1323.5294663200734,0.1644058
1.57,1351.145260157932,0.1692662
1.58,1361.2853037623236,0.16470015
1.59,1400.5765328613686,0.11484498
1.6,1359.2172197018374,0.007871902
1.61,1401.9684396301784,0.14683475
1.62,1395.1719299620843,0.0672084
1.63,1396.617906244312,0.4981319
1.64,1349.6332791008388,0.006651864
1.65,1375.4843663799916,0.02545561
1.66,1327.5057700657792,0.041444678
1.67,1312.987266274914,0.05445462
1.68,1320.021982368291,0.22146182
1.69,1317.3373699044064,0.23734689
1.7,1344.8684023689725,0.12675811
1.71,1308.551516195532,0.003898794
1.72,1297.5491451024159,0.009128039
1.73,1315.6171668640602,0.10292429
1.74,1322.8378567342677,0.21040975
1.75,1318.3473806554807,0.38864404
1.76,1314.7815661132495,0.030162575
1.77,1352.7293160047245,0.04502857
1.78,1419.8189332413788,0.096691966
1.79,1397.4203996224187,0.14906143
1.8,1383.0384982207418,0.17444517
1.81,1360.2182889073465,0.09183133
1.82,1390.6697300255796,0.02732168
1.83,1373.348862487545,0.07263992
1.84,1367.9179153058246,0.12274945
1.85,1399.2121471268708,0.12040814
1.86,1413.5375478024616,0.013096306
1.87,1391.9042477221954,0.0887361
1.88,1388.646009767547,0.23879927
1.89,1378.3492646105024,0.21191116
1.9,1410.3543507064696,0.008889948
1.91,1395.2880236312978,0.07593446
1.92,1395.3077883673407,0.08884731
1.93,1379.3124173084102,0.054277614
1.94,1415.2445542900546,0.007252025
1.95,1418.3227055179643,0.019958628
1.96,1400.823300531025,0.18012887
